cumatrixid,cumatrixtitle,cumatrixitemid,cumatrixitemtitle,cumatrixgrpids,cumatrixtags,posterid,pvnum,visitduration,accSubscribeNum,logdate
0000015AF9C38B46000000046375706F795F72656C656173654355,鴻觀,0000015E7F7B238F000000B36375706F795F72656C656173654349,鴻觀 第141期 納粹分裂源自路線鬥爭,"['InternationalFinance_tw', 'business_tw', 'finance_tw']","['商業', '財經', '金融']",6CA10149,1,18,43,2019-06-23
0000015B70D18D1C000000046375706F795F72656C656173654355,復興設計,0000015B70E79D56000000D86375706F795F72656C656173654349,復興設計學院╱素描水彩班-水壺繪製,"['Hipster_tw', 'design_tw']","['設計作品', '設計學院', '電腦繪圖']",F4810138,1,4,40,2019-06-23
0000015B70D18D1C000000046375706F795F72656C656173654355,復興設計,0000015B70E7C771000000D96375706F795F72656C656173654349,復興設計學院╱工業設計班-麥克筆彩繪越野車表現技法,"['Hipster_tw', 'design_tw']","['設計作品', '設計學院', '電腦繪圖']",F4810138,2,180,40,2019-06-23
0000015B79CBA59D000000066375706F795F72656C656173654355,【Joeman九件事】網路人物誌,0000015B79FD16F2000001DD6375706F795F72656C656173654349,【Joeman九件事】身價十位數的男人 鍾培生專訪,"['GamePlayer_tw', 'Game_tw', 'business_tw', 'GameInformation_tw', 'InternetCelebrity_tw']",['empty'],49910145,1,13,11,2019-06-23
0000015B95102473000000156375706F795F72656C656173654355,Nightblue3 官方中譯版,0000016971E8272B000195956375706F795F72656C656173654349,「Nightblue3精華」*全新造型* 尊爵不凡絨毛飛斯 打野教學！4打5狂收19個人頭 這是史上最酷的造型！(中文字幕) -LoL 英雄聯盟,"['Game_tw', 'LoL_tw']","['Nightblue', '英雄聯盟', '遊戲影片']",49910145,1,3,17,2019-06-23
0000015BD94483BB000000316375706F795F72656C656173654355,Mii 黃小米,0000016AD081A76200001FD96375706F795F72656C656173654349,你們決定我的彩妝#3。適合春夏的粉色系開架妝容🌸 Choose My Makeup Today｜黃小米Mii,"['Hedonism_tw', 'life_tw', 'beautysalon_tw']","['保養', '彩妝', '旅遊']",D2510143,1,0,1,2019-06-23
0000015BFC8C74DB000000036375706F795F72656C656173654355,U-CAR 汽車網站,000001697724CED900019DE46375706F795F72656C656173654349,【實測】Toyota RAV4 Hybrid 油耗表現如何？平均油耗實測見真章！(中文字幕) | U-CAR 售後頻道 (2.5L Hybrid旗艦型 2WD、油電混合動力),"['life_tw', 'car_tw']","['汽車', '消費', '車款']",D1010139,2,76,8,2019-06-23
0000015C3A83A82A000000086375706F795F72656C656173654355,袁騰飛-五千年系列,0000015C3A88CE85000002D76375706F795F72656C656173654349,人文初祖,"['Reading_tw', 'ReadNovel_tw']","['中華文明', '歷史', '袁騰飛']",9B310147,1,4,19,2019-06-23
0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015C9A34A1620000060E6375706F795F72656C656173654349,分手了怎麼辦？如何擺脫負面情緒？,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1,20,49,2019-06-23
0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015C9A3ACDB80000060F6375706F795F72656C656173654349,再深的感情，不懂珍惜也會斷,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1,7,49,2019-06-23
