cumatrixid,cumatrixtitle,cumatrixitemid,cumatrixitemtitle,cumatrixgrpids,cumatrixtags,posterid,pvnum,visitduration,accSubscribeNum,logdate,loghour
0000015C8A687A98000000026375706F795F72656C656173654355,Astor 街頭時尚,0000016248D6E30F000010CB6375706F795F72656C656173654349,Astor│近期購入與喜歡的淘寶飾品 2018上集(項鍊、戒指),"['Hedonism_tw', 'life_tw', 'beautysalon_tw']","['健康飲食', '美妝', '購物']",D2510143,1,0,28,2019-07-07,0
00000168FF4AF517000000036375706F795F72656C656173654355,林軒田_機器學習技法 Machine Learning Techniques,00000168FF601CCA000000836375706F795F72656C656173654349,Linear Support Vector Machine (SVM) :: Course Introduction ,"['tech_tw', 'robot_tw']",['機器學習'],B0310653,2,15,28,2019-07-07,0
00000168FF4AF517000000036375706F795F72656C656173654355,林軒田_機器學習技法 Machine Learning Techniques,00000168FF602F8C0000008C6375706F795F72656C656173654349,Kernel Trick ,"['tech_tw', 'robot_tw']",['機器學習'],B0310653,2,6,28,2019-07-07,0
0000015CCB6E61F80000000A6375706F795F72656C656173654355,Mickeyworks米哥開封體驗,0000015CD756A5DA000002256375706F795F72656C656173654349,Macbook Pro 2017 拆封和我購買它唯一的理由,"['3CExpert_tw', 'tech_tw', '3c_tw']","['生活', '產品體驗', '科技產品']",97210140,1,0,35,2019-07-07,11
0000015CCB568012000000086375706F795F72656C656173654355,花媽家說故事,0000015CD5E51B4A000001EE6375706F795F72656C656173654349,神奇掃帚出租中（上）,"['Babyhome_tw', 'life_tw', 'parenting_tw']","['故事', '親子', '閱讀']",FA910146,1,800,17,2019-07-07,13
0000015CCB568012000000086375706F795F72656C656173654355,花媽家說故事,0000015CD5E5AF82000001EF6375706F795F72656C656173654349,神奇掃帚出租中（下）,"['Babyhome_tw', 'life_tw', 'parenting_tw']","['故事', '親子', '閱讀']",FA910146,2,12,17,2019-07-07,13
0000015CCB568012000000086375706F795F72656C656173654355,花媽家說故事,0000015CD5E63DB2000001F06375706F795F72656C656173654349,偷養一隻貓（上）,"['Babyhome_tw', 'life_tw', 'parenting_tw']","['故事', '親子', '閱讀']",FA910146,1,6,17,2019-07-07,13
0000015C8339F3F10000000B6375706F795F72656C656173654355,翔麟-Minecraft系列,000001697953F5D10001A17F6375706F795F72656C656173654349,用吸塵器抓鬼※MC小地圖※煩人的鬼怪 這些鬼也太可愛了,"['GamePlayer_tw', 'Game_tw', 'GameInformation_tw']","['Minecraft', '遊戲', '遊戲實況']",D1010139,1,6,10,2019-07-07,16
0000015BAA8791210000001B6375706F795F72656C656173654355,阿滴英文,0000015BE246A799000018456375706F795F72656C656173654349,阿滴英文｜Killing spree? Pentakill? 秒懂英雄聯盟連殺系統英文單字,"['WhiteCollar_tw', 'business_tw', 'career_tw']","['學習', '教學', '英文']",D1010139,1,0,55,2019-07-07,18
0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015C9A915095000006246375706F795F72656C656173654349,做最幸福的男人，9個小技巧讓女人對你上癮,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1,0,46,2019-07-07,18
0000015BFC5B3A2C000000026375706F795F72656C656173654355,全民瘋車Bar,000001694F3E32FD00015F596375706F795F72656C656173654349,Mazda CX-5 怡塵女友會喜歡休旅車嗎？ft.邢雨龍&小Andy  - 試駕 廖怡塵 【全民瘋車Bar】120,"['life_tw', 'car_tw']","['汽車', '消費', '生活']",D1010139,1,85,3,2019-07-08,0
0000016209FC8F0B000000046375706F795F72656C656173654355,8分鐘理財學堂,00000162185635C50000001E6375706F795F72656C656173654349,如何經營自己的第一張股票,"['WhiteCollar_tw', 'business_tw']","['期權', '期貨', '股票']",B0310653,1,0,68,2019-07-08,0
0000015B7B51C50D000000086375706F795F72656C656173654355,M.E.魔競,0000015B7B62EE960000035B6375706F795F72656C656173654349,【GodJJ】實況精華─EZ你還是去打後期吧,"['GamePlayer_tw', 'Game_tw', 'GameInformation_tw']","['實況主', '數位影音', '遊戲']",49910145,2,7,16,2019-07-08,1
0000015B7B51C50D000000086375706F795F72656C656173654355,M.E.魔競,0000015B7B6496A3000003666375706F795F72656C656173654349,【GodJJ】實況精華─最猛克黎思妲秀操作,"['GamePlayer_tw', 'Game_tw', 'GameInformation_tw']","['實況主', '數位影音', '遊戲']",49910145,1,11,16,2019-07-08,1
0000015B7B51C50D000000086375706F795F72656C656173654355,M.E.魔競,00000162BF0084ED00000B836375706F795F72656C656173654349,小莓電台【唱歌聊天】｜貝莉莓 2018/03/25,"['GamePlayer_tw', 'Game_tw', 'GameInformation_tw']","['實況主', '數位影音', '遊戲']",49910145,1,618,16,2019-07-08,1
