cumatrixid,cumatrixtitle,cumatrixitemid,cumatrixitemtitle,cumatrixgrpids,cumatrixtags,posterid,pvnum,visitduration,accSubscribeNum,logdate,loghour
000001628AA23F3D000000016375706F795F72656C656173654355,艾蜜莉-自由之路｜投資新手9堂課,000001628AA4D63C000000016375706F795F72656C656173654349,我完全不懂投資，要怎麼開始？,"['WhiteCollar_tw', 'business_tw', 'FinancialManagement_tw']","['價值投資法', '投資理財', '艾蜜莉']",B0310653,1,0,49,2019-07-17,13
0000015B4CAE3332000000036375706F795F72656C656173654355,艾瑪讀繪本,0000015B4E310269000006B36375706F795F72656C656173654349,"【艾瑪讀繪本】Watch Your Step, Mr. Rabbit!","['Reading_tw', '_UNDEF_', 'PictureBook_tw']","['書籍', '繪本', '閱讀']",FA910146,1,0,30,2019-07-17,14
0000015B70A6BD8F000000036375706F795F72656C656173654355,b-crossTV平面設計頻道,0000015B70BE9A58000000976375706F795F72656C656173654349,著名LOGO設計背後的秘密【商標設計】【標識設計】【LOGO設計欣賞】【b crossTV平面設計頻道】,"['Hipster_tw', 'design_tw', 'graphic_design_tw']","['平面設計', '設計', '設計平台']",F4810138,1,0,48,2019-07-17,14
0000015B70A6BD8F000000036375706F795F72656C656173654355,b-crossTV平面設計頻道,0000015B70BED622000000986375706F795F72656C656173654349,【Photoshop】【教學】【初學】【字體加粗效果】【影子效果】【stroke effect】【shadow effect】【效果圖層】【layer style】b crossTV平面設計頻道】,"['Hipster_tw', 'design_tw', 'graphic_design_tw']","['平面設計', '設計', '設計平台']",F4810138,1,256,48,2019-07-17,14
00000162BE7534B3000000086375706F795F72656C656173654355,區塊鏈的前世今生與未來,00000162BE75EA9C0000006C6375706F795F72656C656173654349,Blockchain 源起 1-1｜區塊鏈從何而來?,"['tech_tw', 'BlockChain_tw']","['blockchain', '區塊鏈', '杜宏毅']",B0310653,1,487,68,2019-07-17,14
00000162BE7534B3000000086375706F795F72656C656173654355,區塊鏈的前世今生與未來,00000162BE76A94A0000006D6375706F795F72656C656173654349,Blockchain 源起 1-2｜區塊鏈如何運作？,"['tech_tw', 'BlockChain_tw']","['blockchain', '區塊鏈', '杜宏毅']",B0310653,1,1,68,2019-07-17,14
00000162BE7534B3000000086375706F795F72656C656173654355,區塊鏈的前世今生與未來,00000162BE773F160000006E6375706F795F72656C656173654349,Blockchain 技術 2-1｜如何確保每個節點的帳本都不會被竄改？,"['tech_tw', 'BlockChain_tw']","['blockchain', '區塊鏈', '杜宏毅']",B0310653,1,330,68,2019-07-17,14
00000162BE7534B3000000086375706F795F72656C656173654355,區塊鏈的前世今生與未來,00000162BE77EADA0000006F6375706F795F72656C656173654349,Blockchain 技術 2-2｜資料同步發生衝突時如何解決？,"['tech_tw', 'BlockChain_tw']","['blockchain', '區塊鏈', '杜宏毅']",B0310653,1,0,68,2019-07-17,14
00000162BE7534B3000000086375706F795F72656C656173654355,區塊鏈的前世今生與未來,00000162BE78BAA2000000706375706F795F72656C656173654349,Blockchain 技術 2-3｜區塊鏈技術總結,"['tech_tw', 'BlockChain_tw']","['blockchain', '區塊鏈', '杜宏毅']",B0310653,1,1091,68,2019-07-17,16
00000162BE7534B3000000086375706F795F72656C656173654355,區塊鏈的前世今生與未來,00000162BE792F7D000000716375706F795F72656C656173654349,Blockchain 理念 3-1｜為什麼要去中心化(Decentralization),"['tech_tw', 'BlockChain_tw']","['blockchain', '區塊鏈', '杜宏毅']",B0310653,1,445,68,2019-07-17,16
00000162BE7534B3000000086375706F795F72656C656173654355,區塊鏈的前世今生與未來,00000162BE79B3CD000000726375706F795F72656C656173654349,Blockchain 理念 3-2｜去中心化模式的適用情境─為什麼要去中心化,"['tech_tw', 'BlockChain_tw']","['blockchain', '區塊鏈', '杜宏毅']",B0310653,2,652,68,2019-07-17,16
00000162BE7534B3000000086375706F795F72656C656173654355,區塊鏈的前世今生與未來,00000162BE7B02BA000000736375706F795F72656C656173654349,Blockchain 理念 3-3｜為什麼原生型區塊鏈要採用匿名制(Anonymous),"['tech_tw', 'BlockChain_tw']","['blockchain', '區塊鏈', '杜宏毅']",B0310653,2,18,68,2019-07-17,16
00000162BE7534B3000000086375706F795F72656C656173654355,區塊鏈的前世今生與未來,00000162BE7B9913000000746375706F795F72656C656173654349,Blockchain 理念 3-4｜為什麼原生型區塊鏈不採用實名制,"['tech_tw', 'BlockChain_tw']","['blockchain', '區塊鏈', '杜宏毅']",B0310653,1,0,68,2019-07-17,16
00000165AD08BC70000000026375706F795F70726572656C656173654355,莫煩_Python3 基礎學 零基礎必修Python入門實作,00000165AD4C7863000000036375706F795F70726572656C656173654349,python基礎 1 安裝,"['tech_tw', 'robot_tw']",['python'],B0310653,1,48,85,2019-07-17,16
0000016883BC542C000000026375706F795F72656C656173654355,林軒田_機器學習入門必學 Machine Learning Foundations,0000016883E0F90A0000003F6375706F795F72656C656173654349,Course Introduction ,"['tech_tw', 'robot_tw']",['機器學習'],B0310653,1,10,21,2019-07-17,16
000001694CF469DD000000086375706F795F72656C656173654355,李宏毅_深度學習進階,000001694D02D227000001566375706F795F72656C656173654349,Review：Basic Structures for Deep Learning Models (Part I),"['tech_tw', 'robot_tw']",['empty'],6CA10149,3,168,3,2019-07-17,16
0000015C3A83A82A000000086375706F795F72656C656173654355,袁騰飛-五千年系列,0000015C3AEC845A000003596375706F795F72656C656173654349,張良奇遇得兵書,"['Reading_tw', 'ReadNovel_tw']","['中華文明', '歷史', '袁騰飛']",9B310147,1,12,18,2019-07-17,17
00000165B2B2925D000000016375706F795F70726572656C656173654355,莫煩_把玩你的數據 機器學習Numpy & Pandas,00000165B2ED04A4000000016375706F795F70726572656C656173654349,1. numpy & pandas 有什麼用? ,"['tech_tw', 'robot_tw']","['matplotlib', 'numpy', 'pandas', 'python']",B0310653,3,33,20,2019-07-17,17
00000165B2B2925D000000016375706F795F70726572656C656173654355,莫煩_把玩你的數據 機器學習Numpy & Pandas,00000165B303BF92000000146375706F795F70726572656C656173654349,Matplotlib 2. 安裝,"['tech_tw', 'robot_tw']","['matplotlib', 'numpy', 'pandas', 'python']",B0310653,1,4,20,2019-07-17,17
000001699E6396C0000000046375706F795F72656C656173654355,李宏毅_基礎線性代數,000001699E69A90F0000001B6375706F795F72656C656173654349,Linear Algebra Lecture 1：What are we going to learn?,"['tech_tw', 'robot_tw']",['empty'],6CA10149,1,9,8,2019-07-17,17
000001699E6396C0000000046375706F795F72656C656173654355,李宏毅_基礎線性代數,000001699E76E46A000000116375706F795F72656C656173654349,Linear Algebra Lecture 31-2：Gram-Schmidt Process,"['tech_tw', 'robot_tw']",['empty'],6CA10149,1,15,8,2019-07-17,17
000001623C92A4E8000000036375706F795F72656C656173654355,夯翻鼠|投資理財FQ,00000162B637AEEB000041676375706F795F72656C656173654349,大牛不爽領股利？股票除權息的各種股民～怎麼操作一次看懂 |夯翻鼠FQ13 投資理財,"['WhiteCollar_tw', 'business_tw']","['ETF', '投資教學', '理財知識']",B0310653,1,4,39,2019-07-17,21
000001697FC08CA7000000036375706F795F72656C656173654355,李宏毅 _對抗生成網路 GAN,000001697FC30B8E000000116375706F795F72656C656173654349,Introduction,"['tech_tw', 'robot_tw']",['empty'],6CA10149,1,3,2,2019-07-17,23
0000015CD0001417000000016375706F795F72656C656173654355,Mira's Garden-我的韓國生活,0000016C01C683200000A4BE6375706F795F72656C656173654349,很多人都說是韓國抄中國? 第一次在韓國看韓醫? 跟中醫有什麼不同？[韓國必知] ]| Mira 咪拉,"['Babyhome_tw', 'CityTour_tw', 'Hedonism_tw', 'life_tw', 'TravelLife_tw']","['文化', '旅遊', '韓國']",D2510143,1,2,20,2019-07-18,9
0000015C8339F3F10000000B6375706F795F72656C656173654355,翔麟-Minecraft系列,000001697953F5D10001A17F6375706F795F72656C656173654349,用吸塵器抓鬼※MC小地圖※煩人的鬼怪 這些鬼也太可愛了,"['GamePlayer_tw', 'Game_tw', 'GameInformation_tw']","['Minecraft', '遊戲', '遊戲實況']",D1010139,1,4,10,2019-07-18,12
0000015CCB648C7D000000096375706F795F72656C656173654355,和之夢,000001642329BBCA000008086375706F795F72656C656173654349,农业致富不靠金克拉全靠这些难闻的“土”？,"['Babyhome_tw', 'CityTour_tw', 'Hedonism_tw', 'life_tw', 'TravelLife_tw']","['旅行', '海外中國人', '風土民情']",F4810138,1,3,17,2019-07-18,12
0000015B4CAE3332000000036375706F795F72656C656173654355,艾瑪讀繪本,0000015B4E310269000006B36375706F795F72656C656173654349,"【艾瑪讀繪本】Watch Your Step, Mr. Rabbit!","['Reading_tw', '_UNDEF_', 'PictureBook_tw']","['書籍', '繪本', '閱讀']",FA910146,1,0,30,2019-07-18,13
00000166D3C9E54E000000016375706F795F70726572656C656173654355,莫煩_搭建我的神經網路 深度學習必學Tensorflow,000001685AEBF0E60000003E6375706F795F72656C656173654349,Tensorflow 26 遷移學習 Transfer Learning (神經網絡 教學教程tutorial),"['tech_tw', 'robot_tw']","['Tensorflow', 'Transfer learning', '神經網路', '遷移學習']",B0310653,1,1536,8,2019-07-18,15
000001661A14B2E2000000016375706F795F70726572656C656173654355,莫煩_有趣的機器學習 新手入門聖經,00000166396980B80000000E6375706F795F70726572656C656173654349,怎樣區分好用的特徵 (深度學習)? ,['empty'],['empty'],B0310653,1,41,34,2019-07-18,16
00000166D3C9E54E000000016375706F795F70726572656C656173654355,莫煩_搭建我的神經網路 深度學習必學Tensorflow,00000166F1FBC7D5000000016375706F795F70726572656C656173654349,科普: 人工神經網絡 VS 生物神經網絡 - YouTube,"['tech_tw', 'robot_tw']","['Tensorflow', 'Transfer learning', '神經網路', '遷移學習']",B0310653,2,436,8,2019-07-18,16
00000168E4E001DA000000016375706F795F72656C656173654355, 李宏毅_機器學習基礎與應用,00000168E4F24C29000000026375706F795F72656C656173654349,ML Lecture 0-1：Introduction of  Machine Learning ,['empty'],['empty'],B0310653,2,14,23,2019-07-18,16
000001661A14B2E2000000016375706F795F70726572656C656173654355,莫煩_有趣的機器學習 新手入門聖經,00000166399E4AE6000000156375706F795F70726572656C656173654349,什麼是強化學習? ,['empty'],['empty'],B0310653,1,0,34,2019-07-18,18
0000015BD94483BB000000316375706F795F72656C656173654355,Mii 黃小米,000001648A3BC17000001EFB6375706F795F72656C656173654349,2018美妝空空賞。竟然上半年就用了將近30樣！Empty Products｜黃小米Mii,"['Hedonism_tw', 'life_tw', 'beautysalon_tw']","['保養', '彩妝', '旅遊']",D2510143,1,0,1,2019-07-18,19
0000015CCB568012000000086375706F795F72656C656173654355,花媽家說故事,0000015E7FAB0237000000F06375706F795F72656C656173654349,阿魯武士（下）,"['Babyhome_tw', 'life_tw', 'parenting_tw']","['故事', '親子', '閱讀']",FA910146,1,0,17,2019-07-18,21
0000015BFC8C74DB000000036375706F795F72656C656173654355,U-CAR 汽車網站,0000015BFD22D8A7000004C26375706F795F72656C656173654349,BMW X5 xDrive40e 插電式？要去哪裡充？ | U-CAR 新車試駕,"['life_tw', 'car_tw']","['汽車', '消費', '車款']",D1010139,1,2,8,2019-07-19,0
0000015BFC8C74DB000000036375706F795F72656C656173654355,U-CAR 汽車網站,0000015BFD23622F000004C36375706F795F72656C656173654349,6款市場主流SUV集評：後裔的挑戰 | U-CAR 集體評比,"['life_tw', 'car_tw']","['汽車', '消費', '車款']",D1010139,1,0,8,2019-07-19,0
0000015C3A83A82A000000086375706F795F72656C656173654355,袁騰飛-五千年系列,0000015C3AEB2118000003526375706F795F72656C656173654349,皇帝稱號是怎麼來的？,"['Reading_tw', 'ReadNovel_tw']","['中華文明', '歷史', '袁騰飛']",9B310147,1,18,18,2019-07-19,6
0000015C3A83A82A000000086375706F795F72656C656173654355,袁騰飛-五千年系列,0000015C3AEB52C4000003536375706F795F72656C656173654349,焚書坑儒的真相,"['Reading_tw', 'ReadNovel_tw']","['中華文明', '歷史', '袁騰飛']",9B310147,1,11,18,2019-07-19,6
0000015C8339F3F10000000B6375706F795F72656C656173654355,翔麟-Minecraft系列,000001659DACB504000018676375706F795F72656C656173654349,擊殺巫妖Boss※SevTech: Ages※Minecraft 時代發展模組包 Ep.39,"['GamePlayer_tw', 'Game_tw', 'GameInformation_tw']","['Minecraft', '遊戲', '遊戲實況']",D1010139,1,0,10,2019-07-19,8
0000015C9B785571000000086375706F795F72656C656173654355,茶杯の黑橡木群島系列,00000161EC6EE41C0000D84C6375706F795F72656C656173654349,【Minecraft】茶杯生存Ep139 來自地獄的超炫跑車🔥🔥【當個創世神】,"['GamePlayer_tw', 'Game_tw', 'GameInformation_tw']","['實況', '遊戲', '遊戲情報']",49910145,1,0,15,2019-07-19,9
0000015B722CA75F000000056375706F795F72656C656173654355,米娜朗讀,0000015B72388C42000001266375706F795F72656C656173654349,台灣怪談-鄰居的命【米娜朗讀】,"['Reading_tw', '_UNDEF_', 'ReadNovel_tw']","['小說', '書籍', '閱讀']",33510142,1,0,17,2019-07-19,15
0000015BAA8791210000001B6375706F795F72656C656173654355,阿滴英文,0000015D95F5CA6C0000017F6375706F795F72656C656173654349,阿滴英文｜卡拉OK? 拉麵? 源自日本的英文單字（2分鐘英語教室）,"['WhiteCollar_tw', 'business_tw', 'career_tw']","['學習', '教學', '英文']",D1010139,1,0,55,2019-07-19,16
0000015BD94483BB000000316375706F795F72656C656173654355,Mii 黃小米,000001648A3BC17000001EFB6375706F795F72656C656173654349,2018美妝空空賞。竟然上半年就用了將近30樣！Empty Products｜黃小米Mii,"['Hedonism_tw', 'life_tw', 'beautysalon_tw']","['保養', '彩妝', '旅遊']",D2510143,1,0,1,2019-07-19,16
0000015BAA8791210000001B6375706F795F72656C656173654355,阿滴英文,0000016C0541BB360000A93E6375706F795F72656C656173654349,🎹絕對都聽過! 這些古典名曲你猜的到幾首? ft. 官大為,"['WhiteCollar_tw', 'business_tw', 'career_tw']","['學習', '教學', '英文']",D1010139,2,844,55,2019-07-19,20
0000015BAA8791210000001B6375706F795F72656C656173654355,阿滴英文,0000015BAA91CA6200000D926375706F795F72656C656173654349,阿滴英文｜這是一部完全正常的平台介紹影片（iTalki線上一對一英文家教）,"['WhiteCollar_tw', 'business_tw', 'career_tw']","['學習', '教學', '英文']",D1010139,1,20,55,2019-07-19,21
0000015BAA8791210000001B6375706F795F72656C656173654355,阿滴英文,0000016B9911EAAD00002C106375706F795F72656C656173654349,單字太多?文法難學? 這樣學英文最有效! feat. Eric,"['WhiteCollar_tw', 'business_tw', 'career_tw']","['學習', '教學', '英文']",D1010139,2,627,55,2019-07-19,21
0000015BAA8791210000001B6375706F795F72656C656173654355,阿滴英文,0000016C0541BB360000A93E6375706F795F72656C656173654349,🎹絕對都聽過! 這些古典名曲你猜的到幾首? ft. 官大為,"['WhiteCollar_tw', 'business_tw', 'career_tw']","['學習', '教學', '英文']",D1010139,1,3,55,2019-07-19,21
0000015C9B785571000000086375706F795F72656C656173654355,茶杯の黑橡木群島系列,000001653EF47122000008C76375706F795F72656C656173654349,【Minecraft】茶杯生存Ep186 天阿!!我得到了第一把三叉戟了!🔱【當個創世神】,"['GamePlayer_tw', 'Game_tw', 'GameInformation_tw']","['實況', '遊戲', '遊戲情報']",49910145,1,0,15,2019-07-19,22
0000015BFC5B3A2C000000026375706F795F72656C656173654355,全民瘋車Bar,0000015BFC68DF7A000004056375706F795F72656C656173654349,SUZUKI BALENO 發表會 - 廖怡塵,"['life_tw', 'car_tw']","['汽車', '消費', '生活']",D1010139,1,22,3,2019-07-19,23
0000015BFC5B3A2C000000026375706F795F72656C656173654355,全民瘋車Bar,0000015BFC69DD1C000004066375706F795F72656C656173654349,Skoda Superb Sportline 發表會 - 廖怡塵,"['life_tw', 'car_tw']","['汽車', '消費', '生活']",D1010139,2,145,3,2019-07-19,23
0000015BFC5B3A2C000000026375706F795F72656C656173654355,全民瘋車Bar,0000015BFC6CC3CB0000040D6375706F795F72656C656173654349,SKODA NEW OCTAVIA發表會 - 廖怡塵,"['life_tw', 'car_tw']","['汽車', '消費', '生活']",D1010139,1,84,3,2019-07-19,23
