cumatrixid,cumatrixtitle,cumatrixitemid,cumatrixitemtitle,cumatrixgrpids,cumatrixtags,posterid,pvnum,visitduration,accSubscribeNum,logdate
0000016A61A250D6000000016375706F795F72656C656173654355,"企業大數據認證( Enterprise Big Data Certification, EBDC ) ",0000016B6CC280D1000000086375706F795F72656C656173654349,2019年7月說明會與課程資訊,"['WhiteCollar_tw', 'business_tw', 'tech_tw', 'management_tw', 'robot_tw']",['empty'],C4410729,2,21,28,2019-06-30
0000016A61A250D6000000016375706F795F72656C656173654355,"企業大數據認證( Enterprise Big Data Certification, EBDC ) ",0000016BA77CB74A000000026375706F795F72656C656173654349,啤酒與尿布是傳奇典範，還是純粹的以訛傳訛？,"['WhiteCollar_tw', 'business_tw', 'tech_tw', 'management_tw', 'robot_tw']",['empty'],C4410729,1,26,28,2019-06-30
0000015B70A6BD8F000000036375706F795F72656C656173654355,b-crossTV平面設計頻道,0000015B70C300AF000000A66375706F795F72656C656173654349,【平面設計】設計元素【點】的分享_element of design principle [dot]【教學教室】,"['Hipster_tw', 'design_tw', 'graphic_design_tw']","['平面設計', '設計', '設計平台']",F4810138,1,0,48,2019-07-01
0000015B70A6BD8F000000036375706F795F72656C656173654355,b-crossTV平面設計頻道,00000166FF7E202A00000B246375706F795F72656C656173654349,創意決定一切 三個超有效創意點子 大揭秘！【b-crossTV平面設計頻道】feat  Koji Eyetalk 日本藥妝 雙眼皮膠,"['Hipster_tw', 'design_tw', 'graphic_design_tw']","['平面設計', '設計', '設計平台']",F4810138,1,8,48,2019-07-01
0000015C9B785571000000086375706F795F72656C656173654355,茶杯の黑橡木群島系列,00000160E9DCBCE8000000F86375706F795F72656C656173654349,【Minecraft】茶杯生存Ep118 首次挑戰凋零王!【當個創世神】,"['GamePlayer_tw', 'Game_tw', 'GameInformation_tw']","['實況', '遊戲', '遊戲情報']",49910145,1,10,15,2019-07-01
0000015C9B785571000000086375706F795F72656C656173654355,茶杯の黑橡木群島系列,00000160E9DCBE70000000F96375706F795F72656C656173654349,【限時塗鴉】茶杯到底在畫什麼?,"['GamePlayer_tw', 'Game_tw', 'GameInformation_tw']","['實況', '遊戲', '遊戲情報']",49910145,1,8,15,2019-07-01
0000015CCB648C7D000000096375706F795F72656C656173654355,和之夢,0000015CCFFF2C53000000086375706F795F72656C656173654349,為了成為中國人而瀕臨崩潰的日本小夥,"['Babyhome_tw', 'CityTour_tw', 'Hedonism_tw', 'life_tw', 'TravelLife_tw']","['旅行', '海外中國人', '風土民情']",F4810138,1,0,17,2019-07-01
0000015CCB648C7D000000096375706F795F72656C656173654355,和之夢,0000015CD052E4B2000000AE6375706F795F72656C656173654349,超級日本通的中國姑娘,"['Babyhome_tw', 'CityTour_tw', 'Hedonism_tw', 'life_tw', 'TravelLife_tw']","['旅行', '海外中國人', '風土民情']",F4810138,1,877,17,2019-07-01
0000015CD0001417000000016375706F795F72656C656173654355,Mira's Garden-我的韓國生活,0000015CD02545820000006F6375706F795F72656C656173654349,韓國旅行常用手機Apps,"['Babyhome_tw', 'CityTour_tw', 'Hedonism_tw', 'life_tw', 'TravelLife_tw']","['文化', '旅遊', '韓國']",D2510143,1,9,20,2019-07-01
0000015CD0001417000000016375706F795F72656C656173654355,Mira's Garden-我的韓國生活,0000015CD025607F000000706375706F795F72656C656173654349,不要被韓國男生騙了！拆解韓國男生的告白方法？,"['Babyhome_tw', 'CityTour_tw', 'Hedonism_tw', 'life_tw', 'TravelLife_tw']","['文化', '旅遊', '韓國']",D2510143,1,0,20,2019-07-01
