assistid,pvnum,visitduration,logdate,loghour
ai_tw,6,743,2019-06-30,6
ai_tw,7,1597,2019-06-30,7
ai_tw,1,0,2019-06-30,8
ai_tw,3,276,2019-06-30,10
ai_tw,13,925,2019-06-30,11
ai_tw,2,65,2019-06-30,12
ai_tw,9,1878,2019-06-30,13
ai_tw,1,0,2019-06-30,14
ai_tw,4,222,2019-06-30,15
ai_tw,5,51,2019-06-30,17
ai_tw,2,54,2019-06-30,18
ai_tw,2,82,2019-06-30,19
ai_tw,2,189,2019-06-30,21
ai_tw,1,5,2019-06-30,22
ai_tw,2,17,2019-06-30,23
ai_tw,4,172,2019-07-01,8
ai_tw,3,21,2019-07-01,9
ai_tw,24,542,2019-07-01,10
ai_tw,6,127,2019-07-01,11
ai_tw,4,146,2019-07-01,12
ai_tw,1,19,2019-07-01,13
ai_tw,4,845,2019-07-01,16
ai_tw,7,343,2019-07-01,17
ai_tw,8,1574,2019-07-01,18
ai_tw,14,303,2019-07-01,19
ai_tw,8,108,2019-07-01,20
ai_tw,6,36,2019-07-01,21
ai_tw,7,1097,2019-07-01,22
ai_tw,14,389,2019-07-01,23
ai_tw,4,11,2019-07-02,0
ai_tw,18,662,2019-07-02,1
ai_tw,3,23,2019-07-02,6
ai_tw,1,0,2019-07-02,7
ai_tw,1,6,2019-07-02,8
ai_tw,11,1065,2019-07-02,9
ai_tw,28,1397,2019-07-02,10
ai_tw,18,1205,2019-07-02,11
ai_tw,31,2437,2019-07-02,12
ai_tw,32,2832,2019-07-02,13
ai_tw,31,1264,2019-07-02,14
ai_tw,38,4487,2019-07-02,15
ai_tw,57,4494,2019-07-02,16
ai_tw,35,3112,2019-07-02,17
ai_tw,36,4617,2019-07-02,18
ai_tw,15,717,2019-07-02,20
ai_tw,22,1341,2019-07-02,21
ai_tw,19,985,2019-07-02,22
ai_tw,4,309,2019-07-02,23
ai_tw,1,133,2019-07-03,0
ai_tw,1,4,2019-07-03,2
ai_tw,11,1575,2019-07-03,3
ai_tw,2,354,2019-07-03,4
ai_tw,4,63,2019-07-03,8
ai_tw,5,227,2019-07-03,10
ai_tw,5,351,2019-07-03,11
ai_tw,7,1438,2019-07-03,12
ai_tw,5,117,2019-07-03,13
ai_tw,6,104,2019-07-03,14
ai_tw,24,673,2019-07-03,15
ai_tw,4,1103,2019-07-03,16
ai_tw,18,3428,2019-07-03,17
ai_tw,71,4946,2019-07-03,18
ai_tw,8,211,2019-07-03,19
ai_tw,5,260,2019-07-03,20
ai_tw,8,64,2019-07-03,21
ai_tw,3,6,2019-07-03,22
ai_tw,7,539,2019-07-03,23
ai_tw,3,8,2019-07-04,0
ai_tw,4,79,2019-07-04,9
ai_tw,11,108,2019-07-04,10
ai_tw,12,1086,2019-07-04,11
ai_tw,7,90,2019-07-04,12
ai_tw,11,2357,2019-07-04,13
ai_tw,12,470,2019-07-04,14
ai_tw,7,1207,2019-07-04,15
ai_tw,51,3977,2019-07-04,16
ai_tw,9,524,2019-07-04,17
ai_tw,24,2877,2019-07-04,18
ai_tw,8,152,2019-07-04,19
ai_tw,12,1407,2019-07-04,20
ai_tw,27,2035,2019-07-04,21
ai_tw,25,4536,2019-07-04,22
ai_tw,24,2640,2019-07-04,23
ai_tw,17,3593,2019-07-05,0
ai_tw,22,4436,2019-07-05,1
ai_tw,2,86,2019-07-05,2
ai_tw,1,0,2019-07-05,3
ai_tw,4,1996,2019-07-05,8
ai_tw,13,191,2019-07-05,9
ai_tw,48,6137,2019-07-05,10
ai_tw,19,2511,2019-07-05,11
ai_tw,1,0,2019-07-05,12
ai_tw,3,1354,2019-07-05,13
ai_tw,13,1888,2019-07-05,14
ai_tw,8,1253,2019-07-05,15
ai_tw,11,524,2019-07-05,16
ai_tw,19,5261,2019-07-05,17
ai_tw,9,1264,2019-07-05,18
ai_tw,6,210,2019-07-05,19
ai_tw,8,1630,2019-07-05,20
ai_tw,3,1330,2019-07-05,21
ai_tw,16,1221,2019-07-05,22
ai_tw,3,241,2019-07-05,23
ai_tw,3,1227,2019-07-06,0
ai_tw,2,310,2019-07-06,1
ai_tw,2,471,2019-07-06,2
ai_tw,2,1074,2019-07-06,6
ai_tw,1,0,2019-07-06,7
ai_tw,3,550,2019-07-06,8
ai_tw,4,60,2019-07-06,9
ai_tw,18,4016,2019-07-06,10
ai_tw,6,1848,2019-07-06,11
ai_tw,7,3601,2019-07-06,12
ai_tw,11,2585,2019-07-06,13
ai_tw,11,3785,2019-07-06,14
ai_tw,10,771,2019-07-06,15
ai_tw,29,4788,2019-07-06,16
ai_tw,44,3404,2019-07-06,17
ai_tw,8,108,2019-07-06,18
ai_tw,11,2493,2019-07-06,19
ai_tw,6,2200,2019-07-06,20
ai_tw,3,3,2019-07-06,21
ai_tw,8,455,2019-07-06,22
ai_tw,13,2586,2019-07-06,23
