assistid,pvnum,visitduration,logdate,loghour
ai_tw,4,758,2019-07-07,0
ai_tw,6,1264,2019-07-07,1
ai_tw,1,439,2019-07-07,5
ai_tw,1,0,2019-07-07,7
ai_tw,6,264,2019-07-07,8
ai_tw,9,214,2019-07-07,9
ai_tw,9,221,2019-07-07,10
ai_tw,8,967,2019-07-07,11
ai_tw,16,2981,2019-07-07,12
ai_tw,12,1538,2019-07-07,13
ai_tw,15,4317,2019-07-07,14
ai_tw,21,4174,2019-07-07,15
ai_tw,30,5311,2019-07-07,16
ai_tw,12,1051,2019-07-07,17
ai_tw,15,985,2019-07-07,18
ai_tw,8,1221,2019-07-07,19
ai_tw,1,270,2019-07-07,20
ai_tw,16,729,2019-07-07,21
ai_tw,16,851,2019-07-07,22
ai_tw,33,2704,2019-07-07,23
ai_tw,22,4531,2019-07-08,0
ai_tw,23,1791,2019-07-08,1
ai_tw,2,799,2019-07-08,2
ai_tw,11,916,2019-07-08,5
ai_tw,2,2512,2019-07-08,6
ai_tw,4,61,2019-07-08,7
ai_tw,5,1752,2019-07-08,8
ai_tw,17,355,2019-07-08,9
ai_tw,30,1565,2019-07-08,10
ai_tw,14,2564,2019-07-08,11
ai_tw,5,983,2019-07-08,12
ai_tw,8,1210,2019-07-08,13
ai_tw,22,4608,2019-07-08,14
ai_tw,32,2501,2019-07-08,15
ai_tw,34,3867,2019-07-08,16
ai_tw,17,1734,2019-07-08,17
ai_tw,15,475,2019-07-08,18
ai_tw,15,1898,2019-07-08,19
ai_tw,7,303,2019-07-08,20
ai_tw,11,863,2019-07-08,21
ai_tw,10,1988,2019-07-08,22
ai_tw,4,23,2019-07-08,23
ai_tw,32,1473,2019-07-09,0
ai_tw,3,1092,2019-07-09,1
ai_tw,12,516,2019-07-09,2
ai_tw,11,187,2019-07-09,3
ai_tw,15,527,2019-07-09,4
ai_tw,6,2254,2019-07-09,9
ai_tw,36,4066,2019-07-09,10
ai_tw,50,5957,2019-07-09,11
ai_tw,42,4328,2019-07-09,12
ai_tw,33,5545,2019-07-09,13
ai_tw,38,1534,2019-07-09,14
ai_tw,33,4197,2019-07-09,15
ai_tw,54,4910,2019-07-09,16
ai_tw,39,3673,2019-07-09,17
ai_tw,16,2283,2019-07-09,18
ai_tw,2,1187,2019-07-09,19
ai_tw,10,696,2019-07-09,20
ai_tw,4,2315,2019-07-09,21
ai_tw,12,2662,2019-07-09,22
ai_tw,21,4719,2019-07-09,23
ai_tw,17,1165,2019-07-10,0
ai_tw,1,13,2019-07-10,1
ai_tw,1,0,2019-07-10,2
ai_tw,6,264,2019-07-10,4
ai_tw,5,985,2019-07-10,7
ai_tw,10,1695,2019-07-10,8
ai_tw,10,2649,2019-07-10,9
ai_tw,8,1336,2019-07-10,10
ai_tw,5,910,2019-07-10,11
ai_tw,5,123,2019-07-10,12
ai_tw,19,1481,2019-07-10,13
ai_tw,11,3402,2019-07-10,14
ai_tw,19,4600,2019-07-10,15
ai_tw,12,2279,2019-07-10,16
ai_tw,29,3397,2019-07-10,17
ai_tw,12,32,2019-07-10,18
ai_tw,18,2161,2019-07-10,19
ai_tw,14,3493,2019-07-10,20
ai_tw,17,2032,2019-07-10,21
ai_tw,23,2810,2019-07-10,22
ai_tw,12,475,2019-07-10,23
ai_tw,30,2071,2019-07-11,0
ai_tw,8,2812,2019-07-11,1
ai_tw,6,1423,2019-07-11,2
ai_tw,4,368,2019-07-11,6
ai_tw,9,938,2019-07-11,8
ai_tw,7,625,2019-07-11,9
ai_tw,3,1259,2019-07-11,10
00000165B2B2925D000000016375706F795F70726572656C656173654355,2,4,2019-07-11,11
ai_tw,8,208,2019-07-11,11
ai_tw,9,494,2019-07-11,12
ai_tw,7,1929,2019-07-11,13
ai_tw,13,4026,2019-07-11,14
ai_tw,11,797,2019-07-11,15
