pvnum,visitduration,logdate,loghour
3,8,2019-07-14,0
2,7,2019-07-14,7
4,9,2019-07-14,8
5,251,2019-07-14,9
1,0,2019-07-14,11
6,28,2019-07-14,12
1,0,2019-07-14,14
24,3099,2019-07-14,15
7,790,2019-07-14,16
12,35,2019-07-14,18
8,8,2019-07-14,21
16,1486,2019-07-14,22
4,9,2019-07-14,23
2,0,2019-07-15,2
2,7,2019-07-15,3
1,0,2019-07-15,4
2,0,2019-07-15,5
4,72,2019-07-15,6
4,32,2019-07-15,8
6,17,2019-07-15,11
1,0,2019-07-15,12
2,1588,2019-07-15,13
10,197,2019-07-15,14
12,61,2019-07-15,15
8,109,2019-07-15,16
10,540,2019-07-15,17
25,460,2019-07-15,18
2,0,2019-07-15,19
1,0,2019-07-15,20
2,0,2019-07-15,21
11,32,2019-07-15,22
8,75,2019-07-15,23
16,474,2019-07-16,0
7,21,2019-07-16,3
2,0,2019-07-16,5
5,0,2019-07-16,9
11,1135,2019-07-16,10
12,156,2019-07-16,11
2,0,2019-07-16,12
26,193,2019-07-16,13
8,34,2019-07-16,14
4,0,2019-07-16,15
16,54,2019-07-16,16
5,238,2019-07-16,17
6,0,2019-07-16,18
1,440,2019-07-16,19
1,0,2019-07-16,20
1,3,2019-07-16,21
5,18,2019-07-16,22
13,11,2019-07-16,23
39,313,2019-07-17,0
2,0,2019-07-17,1
2,0,2019-07-17,2
5,67,2019-07-17,3
2,0,2019-07-17,6
4,70,2019-07-17,8
1,0,2019-07-17,10
2,0,2019-07-17,11
4,0,2019-07-17,12
12,20,2019-07-17,13
18,1104,2019-07-17,14
8,19,2019-07-17,15
29,2794,2019-07-17,16
22,178,2019-07-17,17
2,0,2019-07-17,18
3,7,2019-07-17,19
4,0,2019-07-17,20
15,138,2019-07-17,21
1,0,2019-07-17,22
16,83,2019-07-17,23
6,11,2019-07-18,9
7,25,2019-07-18,10
4,0,2019-07-18,11
10,17,2019-07-18,12
1,0,2019-07-18,13
3,0,2019-07-18,14
10,1536,2019-07-18,15
27,797,2019-07-18,16
29,884,2019-07-18,17
3,0,2019-07-18,18
7,16,2019-07-18,19
3,0,2019-07-18,20
3,0,2019-07-18,21
3,2,2019-07-19,0
2,0,2019-07-19,1
6,80,2019-07-19,6
9,1476,2019-07-19,8
3,18,2019-07-19,9
2,0,2019-07-19,10
35,92,2019-07-19,11
2,0,2019-07-19,12
6,0,2019-07-19,13
2,0,2019-07-19,14
3,0,2019-07-19,15
6,1,2019-07-19,16
7,0,2019-07-19,17
2,0,2019-07-19,18
6,0,2019-07-19,19
2,844,2019-07-19,20
4,650,2019-07-19,21
3,0,2019-07-19,22
17,273,2019-07-19,23
8,75,2019-07-20,0
3,28,2019-07-20,1
2,0,2019-07-20,6
1,0,2019-07-20,7
2,0,2019-07-20,10
2,0,2019-07-20,12
9,77,2019-07-20,13
4,3,2019-07-20,14
8,155,2019-07-20,15
6,0,2019-07-20,16
3,28,2019-07-20,17
9,642,2019-07-20,18
5,632,2019-07-20,19
4,0,2019-07-20,20
5,40,2019-07-20,22
8,9,2019-07-20,23
