device,vistornum,sessionnum,logdate
desktop,264,548,2019-07-07
mobile,33,46,2019-07-07
tablet,4,4,2019-07-07
desktop,411,769,2019-07-08
mobile,30,35,2019-07-08
tablet,3,3,2019-07-08
desktop,370,708,2019-07-09
mobile,29,32,2019-07-09
tablet,4,7,2019-07-09
desktop,375,660,2019-07-10
mobile,19,24,2019-07-10
tablet,4,4,2019-07-10
desktop,406,738,2019-07-11
mobile,60,65,2019-07-11
tablet,7,7,2019-07-11
desktop,322,615,2019-07-12
mobile,43,59,2019-07-12
tablet,6,6,2019-07-12
desktop,257,522,2019-07-13
mobile,51,63,2019-07-13
tablet,2,2,2019-07-13
