device,vistornum,sessionnum,logdate
desktop,385,621,2019-08-16
mobile,45,55,2019-08-16
tablet,8,11,2019-08-16
desktop,317,547,2019-08-17
mobile,45,53,2019-08-17
tablet,10,12,2019-08-17
desktop,310,559,2019-08-18
mobile,71,85,2019-08-18
tablet,9,10,2019-08-18
desktop,488,840,2019-08-19
mobile,75,93,2019-08-19
tablet,10,11,2019-08-19
desktop,455,750,2019-08-20
mobile,76,89,2019-08-20
tablet,14,17,2019-08-20
desktop,464,699,2019-08-21
mobile,61,77,2019-08-21
tablet,6,8,2019-08-21
desktop,466,695,2019-08-22
mobile,76,103,2019-08-22
tablet,5,7,2019-08-22
desktop,349,529,2019-08-23
mobile,62,86,2019-08-23
tablet,4,5,2019-08-23
desktop,310,495,2019-08-24
mobile,68,83,2019-08-24
tablet,8,11,2019-08-24
desktop,428,741,2019-08-25
mobile,65,87,2019-08-25
tablet,13,15,2019-08-25
desktop,933,1759,2019-08-26
mobile,223,293,2019-08-26
tablet,10,15,2019-08-26
desktop,914,1629,2019-08-27
mobile,156,209,2019-08-27
tablet,10,12,2019-08-27
desktop,790,1288,2019-08-28
mobile,109,146,2019-08-28
tablet,5,6,2019-08-28
desktop,796,1466,2019-08-29
mobile,135,189,2019-08-29
tablet,6,9,2019-08-29
