device,vistornum,sessionnum,logdate
desktop,279,582,2019-07-21
mobile,52,64,2019-07-21
tablet,7,11,2019-07-21
desktop,405,743,2019-07-22
mobile,37,41,2019-07-22
tablet,4,6,2019-07-22
desktop,413,786,2019-07-23
mobile,39,44,2019-07-23
tablet,4,7,2019-07-23
desktop,383,682,2019-07-24
mobile,53,55,2019-07-24
tablet,5,5,2019-07-24
desktop,385,693,2019-07-25
mobile,43,53,2019-07-25
tablet,3,4,2019-07-25
desktop,342,584,2019-07-26
mobile,44,48,2019-07-26
tablet,4,4,2019-07-26
desktop,231,434,2019-07-27
mobile,40,48,2019-07-27
tablet,6,7,2019-07-27
