device,vistornum,sessionnum,logdate
desktop,266,521,2019-06-30
mobile,26,30,2019-06-30
tablet,2,2,2019-06-30
desktop,417,728,2019-07-01
mobile,37,51,2019-07-01
tablet,6,9,2019-07-01
desktop,387,709,2019-07-02
mobile,40,51,2019-07-02
tablet,7,7,2019-07-02
desktop,400,668,2019-07-03
mobile,29,32,2019-07-03
tablet,4,4,2019-07-03
desktop,384,652,2019-07-04
mobile,26,28,2019-07-04
tablet,4,4,2019-07-04
desktop,339,582,2019-07-05
mobile,36,39,2019-07-05
tablet,3,4,2019-07-05
desktop,244,490,2019-07-06
mobile,23,25,2019-07-06
tablet,6,7,2019-07-06
