ChannelGrouping,vistornum,sessionnum,logdate
Referral,38,62,2019-08-03
Social,27,46,2019-08-03
(Other),8,23,2019-08-04
Direct,209,370,2019-08-04
Organic Search,115,186,2019-08-04
Referral,26,60,2019-08-04
Social,19,30,2019-08-04
(Other),22,41,2019-08-05
Direct,288,473,2019-08-05
Organic Search,180,301,2019-08-05
Referral,70,102,2019-08-05
Social,46,70,2019-08-05
(Other),17,36,2019-08-06
Direct,260,461,2019-08-06
Organic Search,187,309,2019-08-06
Referral,65,99,2019-08-06
Social,38,70,2019-08-06
(Other),16,34,2019-08-07
Direct,266,426,2019-08-07
Organic Search,173,296,2019-08-07
Referral,78,126,2019-08-07
Social,41,72,2019-08-07
(Other),11,19,2019-08-08
Direct,225,401,2019-08-08
Organic Search,150,212,2019-08-08
Referral,67,102,2019-08-08
Social,42,72,2019-08-08
(Other),10,22,2019-08-09
Direct,218,377,2019-08-09
Organic Search,113,186,2019-08-09
Referral,56,94,2019-08-09
Social,49,78,2019-08-09
(Other),8,28,2019-08-10
Direct,177,310,2019-08-10
Organic Search,115,188,2019-08-10
Referral,59,98,2019-08-10
Social,37,60,2019-08-10
(Other),11,31,2019-08-11
Direct,195,353,2019-08-11
Organic Search,136,213,2019-08-11
Referral,62,90,2019-08-11
Social,28,53,2019-08-11
(Other),33,42,2019-08-12
Direct,256,498,2019-08-12
Organic Search,184,323,2019-08-12
Referral,74,125,2019-08-12
Social,42,75,2019-08-12
(Other),12,21,2019-08-13
Direct,296,500,2019-08-13
Organic Search,176,290,2019-08-13
Referral,99,155,2019-08-13
Social,37,61,2019-08-13
(Other),8,13,2019-08-14
Direct,231,368,2019-08-14
Organic Search,167,258,2019-08-14
Referral,82,126,2019-08-14
Social,32,48,2019-08-14
(Other),10,20,2019-08-15
Direct,249,380,2019-08-15
Organic Search,139,237,2019-08-15
Referral,90,134,2019-08-15
Social,33,55,2019-08-15
(Other),9,15,2019-08-16
Direct,199,295,2019-08-16
Organic Search,130,188,2019-08-16
Referral,76,124,2019-08-16
Social,38,65,2019-08-16
(Other),11,31,2019-08-17
Direct,162,279,2019-08-17
Organic Search,108,155,2019-08-17
Referral,76,107,2019-08-17
Social,23,40,2019-08-17
(Other),8,20,2019-08-18
Direct,181,295,2019-08-18
Organic Search,110,175,2019-08-18
Referral,71,120,2019-08-18
Social,24,44,2019-08-18
(Other),10,16,2019-08-19
Direct,257,419,2019-08-19
Organic Search,172,271,2019-08-19
Referral,99,155,2019-08-19
Social,54,83,2019-08-19
(Other),33,44,2019-08-20
Direct,224,348,2019-08-20
Organic Search,168,241,2019-08-20
Referral,105,163,2019-08-20
Social,36,60,2019-08-20
(Other),24,30,2019-08-21
Direct,247,338,2019-08-21
Organic Search,153,226,2019-08-21
Referral,89,128,2019-08-21
Social,39,62,2019-08-21
(Other),17,20,2019-08-22
Direct,228,339,2019-08-22
Organic Search,177,246,2019-08-22
Referral,111,160,2019-08-22
Social,28,40,2019-08-22
(Other),8,9,2019-08-23
Direct,166,243,2019-08-23
Organic Search,130,184,2019-08-23
