cumatrixid,cumatrixtitle,cumatrixgrpids,cumatrixtags,posterid,pvnum,visitduration,accSubscribeNum,logdate
00000159AB5EF689000000066375706F795F70726572656C656173654355,首爾就該這樣玩,"['Babyhome_tw', 'CityTour_tw', 'Hedonism_tw', 'life_tw', 'TravelLife_tw']","['旅遊', '韓國', '首爾']",F4810138,2,0,26,2019-06-23
0000015AF9C38B46000000046375706F795F72656C656173654355,鴻觀,"['InternationalFinance_tw', 'business_tw', 'finance_tw']","['商業', '財經', '金融']",6CA10149,3,5,43,2019-06-23
0000015AF9C38B46000000046375706F795F72656C656173654355,鴻觀,"['InternationalFinance_tw', 'business_tw', 'finance_tw']","['商業', '財經', '金融']",6CA10149,1,18,43,2019-06-23
0000015B70A6BD8F000000036375706F795F72656C656173654355,b-crossTV平面設計頻道,"['Hipster_tw', 'design_tw', 'graphic_design_tw']","['平面設計', '設計', '設計平台']",F4810138,10,15,48,2019-06-23
0000015B70D18D1C000000046375706F795F72656C656173654355,復興設計,"['Hipster_tw', 'design_tw']","['設計作品', '設計學院', '電腦繪圖']",F4810138,3,184,40,2019-06-23
0000015B79CBA59D000000066375706F795F72656C656173654355,【Joeman九件事】網路人物誌,"['GamePlayer_tw', 'Game_tw', 'business_tw', 'GameInformation_tw', 'InternetCelebrity_tw']",['empty'],49910145,2,0,11,2019-06-23
0000015B79CBA59D000000066375706F795F72656C656173654355,【Joeman九件事】網路人物誌,"['GamePlayer_tw', 'Game_tw', 'business_tw', 'GameInformation_tw', 'InternetCelebrity_tw']",['empty'],49910145,1,13,11,2019-06-23
0000015B7B51C50D000000086375706F795F72656C656173654355,M.E.魔競,"['GamePlayer_tw', 'Game_tw', 'GameInformation_tw']","['實況主', '數位影音', '遊戲']",49910145,2,0,16,2019-06-23
0000015B95102473000000156375706F795F72656C656173654355,Nightblue3 官方中譯版,"['Game_tw', 'LoL_tw']","['Nightblue', '英雄聯盟', '遊戲影片']",49910145,3,6,17,2019-06-23
0000015B95102473000000156375706F795F72656C656173654355,Nightblue3 官方中譯版,"['Game_tw', 'LoL_tw']","['Nightblue', '英雄聯盟', '遊戲影片']",49910145,1,3,17,2019-06-23
0000015BAA8791210000001B6375706F795F72656C656173654355,阿滴英文,"['WhiteCollar_tw', 'business_tw', 'career_tw']","['學習', '教學', '英文']",D1010139,10,10,58,2019-06-23
