assistid,pvnum,visitduration,logdate,loghour
ai_tw,16,587,2019-07-14,0
ai_tw,5,1610,2019-07-14,1
ai_tw,1,0,2019-07-14,5
ai_tw,13,747,2019-07-14,8
ai_tw,38,3667,2019-07-14,9
ai_tw,20,1557,2019-07-14,10
ai_tw,64,3366,2019-07-14,11
ai_tw,72,1301,2019-07-14,12
ai_tw,24,3158,2019-07-14,13
ai_tw,25,6441,2019-07-14,14
ai_tw,40,7623,2019-07-14,15
ai_tw,34,3909,2019-07-14,16
ai_tw,36,2752,2019-07-14,17
ai_tw,58,3915,2019-07-14,18
ai_tw,4,72,2019-07-14,19
ai_tw,17,357,2019-07-14,20
ai_tw,7,761,2019-07-14,21
ai_tw,71,9352,2019-07-14,22
ai_tw,37,2859,2019-07-14,23
ai_tw,36,1968,2019-07-15,0
ai_tw,35,2785,2019-07-15,1
ai_tw,1,543,2019-07-15,2
ai_tw,10,85,2019-07-15,3
ai_tw,4,593,2019-07-15,8
ai_tw,12,2642,2019-07-15,9
ai_tw,56,7303,2019-07-15,10
ai_tw,63,7713,2019-07-15,11
ai_tw,41,1806,2019-07-15,12
ai_tw,11,1254,2019-07-15,13
ai_tw,30,3510,2019-07-15,14
ai_tw,51,6676,2019-07-15,15
ai_tw,37,4944,2019-07-15,16
ai_tw,33,2999,2019-07-15,17
ai_tw,45,2304,2019-07-15,18
ai_tw,15,1419,2019-07-15,19
ai_tw,48,4098,2019-07-15,20
ai_tw,26,4114,2019-07-15,21
ai_tw,53,5819,2019-07-15,22
ai_tw,44,2524,2019-07-15,23
ai_tw,50,4109,2019-07-16,0
ai_tw,24,1017,2019-07-16,1
ai_tw,12,1040,2019-07-16,3
ai_tw,16,1081,2019-07-16,4
ai_tw,3,358,2019-07-16,5
ai_tw,7,2245,2019-07-16,7
ai_tw,19,1710,2019-07-16,8
ai_tw,26,1821,2019-07-16,9
ai_tw,27,3580,2019-07-16,10
ai_tw,43,4305,2019-07-16,11
ai_tw,4,55,2019-07-16,12
ai_tw,17,635,2019-07-16,13
ai_tw,63,11305,2019-07-16,14
ai_tw,87,8225,2019-07-16,15
ai_tw,85,9570,2019-07-16,16
ai_tw,36,2431,2019-07-16,17
ai_tw,10,186,2019-07-16,18
ai_tw,1,16,2019-07-16,19
ai_tw,25,2908,2019-07-16,20
ai_tw,29,3241,2019-07-16,21
ai_tw,35,3255,2019-07-16,22
ai_tw,44,5945,2019-07-16,23
ai_tw,14,507,2019-07-17,0
ai_tw,26,2854,2019-07-17,1
ai_tw,2,511,2019-07-17,3
ai_tw,1,0,2019-07-17,5
ai_tw,2,15,2019-07-17,6
ai_tw,1,55,2019-07-17,7
ai_tw,7,1253,2019-07-17,8
ai_tw,7,791,2019-07-17,9
ai_tw,16,3329,2019-07-17,10
ai_tw,115,6354,2019-07-17,11
ai_tw,66,7054,2019-07-17,12
ai_tw,21,2611,2019-07-17,13
ai_tw,47,4950,2019-07-17,14
ai_tw,34,2072,2019-07-17,15
ai_tw,38,1950,2019-07-17,16
ai_tw,27,2694,2019-07-17,17
ai_tw,37,1339,2019-07-17,18
ai_tw,11,51,2019-07-17,19
ai_tw,17,2179,2019-07-17,20
ai_tw,4,138,2019-07-17,21
ai_tw,17,1315,2019-07-17,22
ai_tw,33,734,2019-07-17,23
ai_tw,10,652,2019-07-18,0
ai_tw,5,391,2019-07-18,2
ai_tw,1,1030,2019-07-18,4
ai_tw,9,553,2019-07-18,5
ai_tw,10,889,2019-07-18,6
ai_tw,2,241,2019-07-18,7
ai_tw,10,1891,2019-07-18,8
ai_tw,18,1243,2019-07-18,9
ai_tw,35,2874,2019-07-18,10
ai_tw,24,2015,2019-07-18,11
ai_tw,16,960,2019-07-18,12
ai_tw,13,366,2019-07-18,13
ai_tw,19,2816,2019-07-18,14
ai_tw,28,5030,2019-07-18,15
ai_tw,49,1932,2019-07-18,16
ai_tw,38,1623,2019-07-18,17
ai_tw,24,3419,2019-07-18,18
ai_tw,4,109,2019-07-18,19
ai_tw,7,772,2019-07-18,20
ai_tw,10,3012,2019-07-18,21
ai_tw,18,2094,2019-07-18,22
ai_tw,17,4599,2019-07-18,23
ai_tw,26,867,2019-07-19,0
ai_tw,45,1456,2019-07-19,1
ai_tw,5,214,2019-07-19,5
ai_tw,1,0,2019-07-19,6
ai_tw,2,81,2019-07-19,7
ai_tw,2,87,2019-07-19,8
ai_tw,16,3150,2019-07-19,9
ai_tw,36,5526,2019-07-19,10
ai_tw,53,5915,2019-07-19,11
ai_tw,3,870,2019-07-19,12
ai_tw,26,4012,2019-07-19,13
ai_tw,18,2196,2019-07-19,14
ai_tw,68,4503,2019-07-19,15
ai_tw,96,2443,2019-07-19,16
ai_tw,60,2953,2019-07-19,17
ai_tw,11,2456,2019-07-19,18
ai_tw,7,746,2019-07-19,19
ai_tw,7,1053,2019-07-19,20
ai_tw,21,2616,2019-07-19,21
ai_tw,17,832,2019-07-19,22
ai_tw,3,787,2019-07-19,23
ai_tw,10,1159,2019-07-20,0
ai_tw,8,1007,2019-07-20,1
ai_tw,5,363,2019-07-20,2
ai_tw,3,405,2019-07-20,3
ai_tw,10,1397,2019-07-20,6
ai_tw,3,165,2019-07-20,7
ai_tw,4,369,2019-07-20,8
ai_tw,25,635,2019-07-20,9
ai_tw,7,799,2019-07-20,10
ai_tw,13,522,2019-07-20,11
ai_tw,23,3467,2019-07-20,12
ai_tw,30,610,2019-07-20,13
ai_tw,26,1991,2019-07-20,14
ai_tw,35,4001,2019-07-20,15
ai_tw,35,2396,2019-07-20,16
ai_tw,43,1401,2019-07-20,17
ai_tw,48,3051,2019-07-20,18
ai_tw,15,369,2019-07-20,19
ai_tw,15,1153,2019-07-20,20
ai_tw,25,2718,2019-07-20,21
ai_tw,19,3902,2019-07-20,22
ai_tw,33,4075,2019-07-20,23
