assistid,pvnum,visitduration,logdate,loghour
ai_tw,10,1487,2019-07-07,0
ai_tw,15,1322,2019-07-07,1
ai_tw,1,439,2019-07-07,5
ai_tw,1,0,2019-07-07,7
ai_tw,7,351,2019-07-07,8
ai_tw,15,1478,2019-07-07,9
ai_tw,21,3133,2019-07-07,10
ai_tw,8,967,2019-07-07,11
ai_tw,29,3127,2019-07-07,12
ai_tw,16,1696,2019-07-07,13
ai_tw,27,4407,2019-07-07,14
ai_tw,33,6068,2019-07-07,15
ai_tw,31,5311,2019-07-07,16
ai_tw,15,1073,2019-07-07,17
ai_tw,29,1291,2019-07-07,18
ai_tw,8,1221,2019-07-07,19
ai_tw,6,303,2019-07-07,20
ai_tw,23,909,2019-07-07,21
ai_tw,23,1092,2019-07-07,22
ai_tw,52,3034,2019-07-07,23
ai_tw,39,7862,2019-07-08,0
ai_tw,38,2049,2019-07-08,1
ai_tw,2,799,2019-07-08,2
ai_tw,21,1747,2019-07-08,5
ai_tw,3,3468,2019-07-08,6
ai_tw,8,633,2019-07-08,7
ai_tw,8,1765,2019-07-08,8
ai_tw,36,559,2019-07-08,9
ai_tw,53,1919,2019-07-08,10
ai_tw,28,2728,2019-07-08,11
ai_tw,13,1019,2019-07-08,12
ai_tw,24,1367,2019-07-08,13
ai_tw,51,5545,2019-07-08,14
ai_tw,66,2941,2019-07-08,15
ai_tw,60,4213,2019-07-08,16
ai_tw,25,3586,2019-07-08,17
ai_tw,32,1145,2019-07-08,18
ai_tw,33,2175,2019-07-08,19
ai_tw,8,709,2019-07-08,20
ai_tw,19,867,2019-07-08,21
ai_tw,21,2914,2019-07-08,22
ai_tw,4,23,2019-07-08,23
ai_tw,59,1642,2019-07-09,0
ai_tw,3,1092,2019-07-09,1
ai_tw,30,3545,2019-07-09,2
ai_tw,24,1267,2019-07-09,3
ai_tw,44,1847,2019-07-09,4
ai_tw,14,2454,2019-07-09,9
ai_tw,70,4628,2019-07-09,10
ai_tw,99,6811,2019-07-09,11
ai_tw,77,4760,2019-07-09,12
ai_tw,63,5790,2019-07-09,13
ai_tw,75,2843,2019-07-09,14
ai_tw,67,5994,2019-07-09,15
ai_tw,106,7828,2019-07-09,16
ai_tw,97,7505,2019-07-09,17
ai_tw,63,3642,2019-07-09,18
ai_tw,10,1221,2019-07-09,19
ai_tw,19,1909,2019-07-09,20
ai_tw,5,2315,2019-07-09,21
ai_tw,17,2813,2019-07-09,22
ai_tw,36,6174,2019-07-09,23
ai_tw,30,2095,2019-07-10,0
