interestAffinityCategory,vistornum,sessionnum,logdate
Banking & Finance/Avid Investors,44,96,2019-07-21
Beauty & Wellness/Beauty Mavens,18,24,2019-07-21
Beauty & Wellness/Frequently Visits Salons,56,116,2019-07-21
Food & Dining/Coffee Shop Regulars,37,68,2019-07-21
Food & Dining/Cooking Enthusiasts,38,69,2019-07-21
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,23,49,2019-07-21
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,13,17,2019-07-21
Food & Dining/Fast Food Cravers,53,106,2019-07-21
Food & Dining/Foodies,32,55,2019-07-21
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,16,26,2019-07-21
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,43,87,2019-07-21
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,52,101,2019-07-21
Home & Garden/Do-It-Yourselfers,53,98,2019-07-21
Home & Garden/Home Decor Enthusiasts,12,21,2019-07-21
Lifestyles & Hobbies/Art & Theater Aficionados,51,113,2019-07-21
Lifestyles & Hobbies/Business Professionals,61,128,2019-07-21
Lifestyles & Hobbies/Family-Focused,15,22,2019-07-21
Lifestyles & Hobbies/Fashionistas,28,48,2019-07-21
Lifestyles & Hobbies/Frequently Attends Live Events,43,81,2019-07-21
Lifestyles & Hobbies/Green Living Enthusiasts,52,106,2019-07-21
Lifestyles & Hobbies/Nightlife Enthusiasts,47,93,2019-07-21
Lifestyles & Hobbies/Outdoor Enthusiasts,56,121,2019-07-21
Lifestyles & Hobbies/Pet Lovers,17,28,2019-07-21
Lifestyles & Hobbies/Shutterbugs,61,120,2019-07-21
Lifestyles & Hobbies/Thrill Seekers,31,69,2019-07-21
Media & Entertainment/Book Lovers,22,38,2019-07-21
Media & Entertainment/Comics & Animation Fans,54,93,2019-07-21
Media & Entertainment/Gamers,47,93,2019-07-21
Media & Entertainment/Gamers/Action Game Fans,18,33,2019-07-21
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,20,39,2019-07-21
Media & Entertainment/Gamers/Casual & Social Gamers,15,29,2019-07-21
Media & Entertainment/Gamers/Hardcore Gamers,36,64,2019-07-21
Media & Entertainment/Gamers/Roleplaying Game Fans,29,55,2019-07-21
Media & Entertainment/Light TV Viewers,52,115,2019-07-21
Media & Entertainment/Movie Lovers,74,151,2019-07-21
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,22,40,2019-07-21
Media & Entertainment/Movie Lovers/Family Movie Fans,17,32,2019-07-21
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,15,24,2019-07-21
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,19,33,2019-07-21
Media & Entertainment/Music Lovers,74,142,2019-07-21
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,11,23,2019-07-21
Media & Entertainment/Music Lovers/Pop Music Fans,33,61,2019-07-21
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,19,36,2019-07-21
Media & Entertainment/Music Lovers/World Music Fans,40,69,2019-07-21
Media & Entertainment/TV Lovers,15,29,2019-07-21
Media & Entertainment/TV Lovers/TV Drama Fans,11,22,2019-07-21
News & Politics/Avid News Readers,35,73,2019-07-21
News & Politics/Avid News Readers/Avid Business News Readers,14,23,2019-07-21
News & Politics/Avid News Readers/Avid Political News Readers,55,127,2019-07-21
News & Politics/Avid News Readers/Entertainment News Enthusiasts,14,21,2019-07-21
Shoppers/Bargain Hunters,13,20,2019-07-21
Shoppers/Luxury Shoppers,69,132,2019-07-21
Shoppers/Shopaholics,31,55,2019-07-21
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,17,33,2019-07-21
Shoppers/Shoppers by Store Type/Department Store Shoppers,24,54,2019-07-21
Shoppers/Value Shoppers,73,147,2019-07-21
Sports & Fitness/Health & Fitness Buffs,77,157,2019-07-21
Sports & Fitness/Sports Fans,58,117,2019-07-21
Sports & Fitness/Sports Fans/Baseball Fans,12,20,2019-07-21
Sports & Fitness/Sports Fans/Basketball Fans,10,19,2019-07-21
Sports & Fitness/Sports Fans/Cycling Enthusiasts,10,13,2019-07-21
Technology/Mobile Enthusiasts,50,98,2019-07-21
Technology/Social Media Enthusiasts,13,21,2019-07-21
Technology/Technophiles,77,156,2019-07-21
Travel/Business Travelers,65,129,2019-07-21
Travel/Travel Buffs,42,87,2019-07-21
Vehicles & Transportation/Auto Enthusiasts,34,70,2019-07-21
Banking & Finance/Avid Investors,71,120,2019-07-22
Beauty & Wellness/Beauty Mavens,20,30,2019-07-22
Beauty & Wellness/Frequently Visits Salons,81,131,2019-07-22
Food & Dining/Coffee Shop Regulars,55,103,2019-07-22
Food & Dining/Cooking Enthusiasts,46,79,2019-07-22
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,33,56,2019-07-22
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,18,24,2019-07-22
Food & Dining/Fast Food Cravers,74,118,2019-07-22
Food & Dining/Foodies,48,87,2019-07-22
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,24,38,2019-07-22
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,68,115,2019-07-22
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,80,137,2019-07-22
Home & Garden/Do-It-Yourselfers,78,139,2019-07-22
Home & Garden/Home Decor Enthusiasts,17,28,2019-07-22
Lifestyles & Hobbies/Art & Theater Aficionados,67,125,2019-07-22
Lifestyles & Hobbies/Business Professionals,109,183,2019-07-22
Lifestyles & Hobbies/Family-Focused,24,32,2019-07-22
Lifestyles & Hobbies/Fashionistas,38,71,2019-07-22
Lifestyles & Hobbies/Frequently Attends Live Events,62,109,2019-07-22
Lifestyles & Hobbies/Green Living Enthusiasts,78,136,2019-07-22
Lifestyles & Hobbies/Nightlife Enthusiasts,74,122,2019-07-22
Lifestyles & Hobbies/Outdoor Enthusiasts,84,159,2019-07-22
Lifestyles & Hobbies/Pet Lovers,22,37,2019-07-22
Lifestyles & Hobbies/Shutterbugs,87,157,2019-07-22
Lifestyles & Hobbies/Thrill Seekers,45,84,2019-07-22
Media & Entertainment/Book Lovers,35,59,2019-07-22
Media & Entertainment/Comics & Animation Fans,74,115,2019-07-22
Media & Entertainment/Gamers,71,116,2019-07-22
Media & Entertainment/Gamers/Action Game Fans,20,30,2019-07-22
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,30,45,2019-07-22
Media & Entertainment/Gamers/Casual & Social Gamers,22,32,2019-07-22
Media & Entertainment/Gamers/Hardcore Gamers,53,80,2019-07-22
Media & Entertainment/Gamers/Roleplaying Game Fans,44,61,2019-07-22
Media & Entertainment/Gamers/Shooter Game Fans,13,17,2019-07-22
Media & Entertainment/Light TV Viewers,74,130,2019-07-22
Media & Entertainment/Movie Lovers,111,197,2019-07-22
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,34,51,2019-07-22
Media & Entertainment/Movie Lovers/Family Movie Fans,16,26,2019-07-22
Media & Entertainment/Movie Lovers/Horror Movie Fans,13,22,2019-07-22
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,16,30,2019-07-22
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,25,38,2019-07-22
Media & Entertainment/Music Lovers,118,211,2019-07-22
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,21,39,2019-07-22
Media & Entertainment/Music Lovers/Indie & Alternative Rock Fans,12,19,2019-07-22
Media & Entertainment/Music Lovers/Pop Music Fans,56,93,2019-07-22
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,27,49,2019-07-22
Media & Entertainment/Music Lovers/Rock Music Fans,16,30,2019-07-22
Media & Entertainment/Music Lovers/World Music Fans,56,92,2019-07-22
Media & Entertainment/TV Lovers,25,41,2019-07-22
"Media & Entertainment/TV Lovers/Game, Reality & Talk Show Fans",11,17,2019-07-22
Media & Entertainment/TV Lovers/TV Drama Fans,15,25,2019-07-22
News & Politics/Avid News Readers,53,92,2019-07-22
News & Politics/Avid News Readers/Avid Business News Readers,24,42,2019-07-22
News & Politics/Avid News Readers/Avid Political News Readers,84,155,2019-07-22
News & Politics/Avid News Readers/Entertainment News Enthusiasts,23,33,2019-07-22
Shoppers/Bargain Hunters,17,27,2019-07-22
Shoppers/Luxury Shoppers,99,168,2019-07-22
Shoppers/Shopaholics,39,67,2019-07-22
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,34,49,2019-07-22
Shoppers/Shoppers by Store Type/Department Store Shoppers,46,71,2019-07-22
Shoppers/Value Shoppers,110,192,2019-07-22
Sports & Fitness/Health & Fitness Buffs,116,202,2019-07-22
Sports & Fitness/Sports Fans,93,163,2019-07-22
Sports & Fitness/Sports Fans/Baseball Fans,22,31,2019-07-22
Sports & Fitness/Sports Fans/Basketball Fans,21,32,2019-07-22
Technology/Mobile Enthusiasts,77,124,2019-07-22
Technology/Social Media Enthusiasts,13,25,2019-07-22
Technology/Technophiles,126,220,2019-07-22
Travel/Business Travelers,94,162,2019-07-22
Travel/Travel Buffs,57,97,2019-07-22
Vehicles & Transportation/Auto Enthusiasts,60,106,2019-07-22
Banking & Finance/Avid Investors,93,184,2019-07-23
Beauty & Wellness/Beauty Mavens,26,45,2019-07-23
Beauty & Wellness/Frequently Visits Salons,97,186,2019-07-23
