interestAffinityCategory,vistornum,sessionnum,logdate
Banking & Finance/Avid Investors,53,116,2019-07-14
Beauty & Wellness/Beauty Mavens,19,32,2019-07-14
Beauty & Wellness/Frequently Visits Salons,68,146,2019-07-14
Food & Dining/Coffee Shop Regulars,42,77,2019-07-14
Food & Dining/Cooking Enthusiasts,37,62,2019-07-14
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,25,47,2019-07-14
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,20,42,2019-07-14
Food & Dining/Fast Food Cravers,53,112,2019-07-14
Food & Dining/Foodies,39,74,2019-07-14
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,19,35,2019-07-14
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,52,101,2019-07-14
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,50,105,2019-07-14
Home & Garden/Do-It-Yourselfers,63,137,2019-07-14
Home & Garden/Home Decor Enthusiasts,22,31,2019-07-14
Lifestyles & Hobbies/Art & Theater Aficionados,56,113,2019-07-14
Lifestyles & Hobbies/Business Professionals,74,155,2019-07-14
Lifestyles & Hobbies/Family-Focused,26,46,2019-07-14
Lifestyles & Hobbies/Fashionistas,39,80,2019-07-14
Lifestyles & Hobbies/Frequently Attends Live Events,52,111,2019-07-14
Lifestyles & Hobbies/Green Living Enthusiasts,59,114,2019-07-14
Lifestyles & Hobbies/Nightlife Enthusiasts,47,99,2019-07-14
Lifestyles & Hobbies/Outdoor Enthusiasts,71,138,2019-07-14
Lifestyles & Hobbies/Pet Lovers,18,32,2019-07-14
Lifestyles & Hobbies/Shutterbugs,71,138,2019-07-14
Lifestyles & Hobbies/Thrill Seekers,35,77,2019-07-14
Media & Entertainment/Book Lovers,24,40,2019-07-14
Media & Entertainment/Comics & Animation Fans,51,101,2019-07-14
Media & Entertainment/Gamers,50,103,2019-07-14
Media & Entertainment/Gamers/Action Game Fans,23,42,2019-07-14
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,21,39,2019-07-14
Media & Entertainment/Gamers/Casual & Social Gamers,19,35,2019-07-14
Media & Entertainment/Gamers/Hardcore Gamers,38,70,2019-07-14
Media & Entertainment/Gamers/Roleplaying Game Fans,30,53,2019-07-14
Media & Entertainment/Gamers/Shooter Game Fans,13,26,2019-07-14
Media & Entertainment/Light TV Viewers,49,100,2019-07-14
Media & Entertainment/Movie Lovers,85,165,2019-07-14
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,21,38,2019-07-14
Media & Entertainment/Movie Lovers/Family Movie Fans,14,28,2019-07-14
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,11,25,2019-07-14
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,15,32,2019-07-14
Media & Entertainment/Music Lovers,88,178,2019-07-14
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,15,22,2019-07-14
Media & Entertainment/Music Lovers/Indie & Alternative Rock Fans,10,12,2019-07-14
Media & Entertainment/Music Lovers/Pop Music Fans,36,70,2019-07-14
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,27,55,2019-07-14
Media & Entertainment/Music Lovers/World Music Fans,39,73,2019-07-14
Media & Entertainment/TV Lovers,15,33,2019-07-14
News & Politics/Avid News Readers,35,79,2019-07-14
News & Politics/Avid News Readers/Avid Business News Readers,15,28,2019-07-14
News & Politics/Avid News Readers/Avid Political News Readers,50,120,2019-07-14
News & Politics/Avid News Readers/Entertainment News Enthusiasts,14,27,2019-07-14
Shoppers/Bargain Hunters,16,35,2019-07-14
Shoppers/Luxury Shoppers,81,169,2019-07-14
Shoppers/Shopaholics,31,57,2019-07-14
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,22,46,2019-07-14
Shoppers/Shoppers by Store Type/Department Store Shoppers,41,75,2019-07-14
Shoppers/Value Shoppers,90,185,2019-07-14
Sports & Fitness/Health & Fitness Buffs,87,181,2019-07-14
Sports & Fitness/Sports Fans,78,164,2019-07-14
Sports & Fitness/Sports Fans/Basketball Fans,15,26,2019-07-14
Technology/Mobile Enthusiasts,57,107,2019-07-14
Technology/Technophiles,92,184,2019-07-14
Travel/Business Travelers,72,151,2019-07-14
Travel/Travel Buffs,47,110,2019-07-14
Vehicles & Transportation/Auto Enthusiasts,47,99,2019-07-14
Banking & Finance/Avid Investors,65,101,2019-07-15
Beauty & Wellness/Beauty Mavens,28,35,2019-07-15
Beauty & Wellness/Frequently Visits Salons,95,148,2019-07-15
Food & Dining/Coffee Shop Regulars,55,82,2019-07-15
Food & Dining/Cooking Enthusiasts,39,57,2019-07-15
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,38,62,2019-07-15
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,34,54,2019-07-15
Food & Dining/Fast Food Cravers,68,104,2019-07-15
Food & Dining/Foodies,46,60,2019-07-15
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,29,44,2019-07-15
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,66,106,2019-07-15
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,83,124,2019-07-15
Home & Garden/Do-It-Yourselfers,90,156,2019-07-15
Home & Garden/Home Decor Enthusiasts,28,35,2019-07-15
Lifestyles & Hobbies/Art & Theater Aficionados,61,89,2019-07-15
Lifestyles & Hobbies/Business Professionals,113,190,2019-07-15
Lifestyles & Hobbies/Family-Focused,31,47,2019-07-15
Lifestyles & Hobbies/Fashionistas,44,58,2019-07-15
Lifestyles & Hobbies/Frequently Attends Live Events,61,93,2019-07-15
Lifestyles & Hobbies/Green Living Enthusiasts,74,109,2019-07-15
Lifestyles & Hobbies/Nightlife Enthusiasts,64,98,2019-07-15
Lifestyles & Hobbies/Outdoor Enthusiasts,100,171,2019-07-15
Lifestyles & Hobbies/Pet Lovers,22,29,2019-07-15
Lifestyles & Hobbies/Shutterbugs,85,145,2019-07-15
Lifestyles & Hobbies/Thrill Seekers,46,88,2019-07-15
Media & Entertainment/Book Lovers,29,36,2019-07-15
Media & Entertainment/Comics & Animation Fans,75,105,2019-07-15
Media & Entertainment/Gamers,64,102,2019-07-15
Media & Entertainment/Gamers/Action Game Fans,23,39,2019-07-15
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,28,48,2019-07-15
Media & Entertainment/Gamers/Casual & Social Gamers,23,36,2019-07-15
Media & Entertainment/Gamers/Hardcore Gamers,45,73,2019-07-15
Media & Entertainment/Gamers/Roleplaying Game Fans,28,49,2019-07-15
Media & Entertainment/Gamers/Shooter Game Fans,14,23,2019-07-15
Media & Entertainment/Light TV Viewers,71,108,2019-07-15
Media & Entertainment/Movie Lovers,111,170,2019-07-15
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,23,35,2019-07-15
Media & Entertainment/Movie Lovers/Family Movie Fans,13,20,2019-07-15
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,13,15,2019-07-15
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,22,32,2019-07-15
Media & Entertainment/Music Lovers,112,191,2019-07-15
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,15,22,2019-07-15
Media & Entertainment/Music Lovers/Pop Music Fans,46,70,2019-07-15
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,30,44,2019-07-15
Media & Entertainment/Music Lovers/Rock Music Fans,14,22,2019-07-15
Media & Entertainment/Music Lovers/World Music Fans,50,75,2019-07-15
Media & Entertainment/TV Lovers,26,34,2019-07-15
"Media & Entertainment/TV Lovers/Game, Reality & Talk Show Fans",11,13,2019-07-15
Media & Entertainment/TV Lovers/TV Drama Fans,17,21,2019-07-15
News & Politics/Avid News Readers,43,57,2019-07-15
News & Politics/Avid News Readers/Avid Business News Readers,19,25,2019-07-15
News & Politics/Avid News Readers/Avid Political News Readers,67,117,2019-07-15
News & Politics/Avid News Readers/Entertainment News Enthusiasts,23,27,2019-07-15
