interestAffinityCategory,vistornum,sessionnum,logdate
Shoppers/Bargain Hunters,17,26,2019-07-15
Shoppers/Luxury Shoppers,106,169,2019-07-15
Shoppers/Shopaholics,31,43,2019-07-15
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,26,41,2019-07-15
Shoppers/Shoppers by Store Type/Department Store Shoppers,48,68,2019-07-15
Shoppers/Value Shoppers,105,164,2019-07-15
Sports & Fitness/Health & Fitness Buffs,119,194,2019-07-15
Sports & Fitness/Sports Fans,101,180,2019-07-15
Sports & Fitness/Sports Fans/Baseball Fans,22,34,2019-07-15
Sports & Fitness/Sports Fans/Basketball Fans,22,34,2019-07-15
Sports & Fitness/Sports Fans/Cycling Enthusiasts,11,19,2019-07-15
Technology/Mobile Enthusiasts,80,122,2019-07-15
Technology/Social Media Enthusiasts,11,13,2019-07-15
Technology/Technophiles,125,201,2019-07-15
Travel/Business Travelers,93,152,2019-07-15
Travel/Travel Buffs,52,86,2019-07-15
Travel/Travel Buffs/Beachbound Travelers,10,17,2019-07-15
Vehicles & Transportation/Auto Enthusiasts,79,121,2019-07-15
Banking & Finance/Avid Investors,73,114,2019-07-16
Beauty & Wellness/Beauty Mavens,34,48,2019-07-16
Beauty & Wellness/Frequently Visits Salons,93,154,2019-07-16
Food & Dining/Coffee Shop Regulars,66,111,2019-07-16
Food & Dining/Cooking Enthusiasts,47,73,2019-07-16
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,39,54,2019-07-16
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,25,35,2019-07-16
Food & Dining/Fast Food Cravers,64,111,2019-07-16
Food & Dining/Foodies,57,87,2019-07-16
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,30,47,2019-07-16
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,68,115,2019-07-16
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,87,144,2019-07-16
Home & Garden/Do-It-Yourselfers,88,152,2019-07-16
Home & Garden/Home Decor Enthusiasts,28,35,2019-07-16
Lifestyles & Hobbies/Art & Theater Aficionados,66,109,2019-07-16
Lifestyles & Hobbies/Business Professionals,117,191,2019-07-16
Lifestyles & Hobbies/Family-Focused,37,68,2019-07-16
Lifestyles & Hobbies/Fashionistas,48,76,2019-07-16
Lifestyles & Hobbies/Frequently Attends Live Events,63,115,2019-07-16
Lifestyles & Hobbies/Green Living Enthusiasts,83,139,2019-07-16
Lifestyles & Hobbies/Nightlife Enthusiasts,72,116,2019-07-16
Lifestyles & Hobbies/Outdoor Enthusiasts,94,173,2019-07-16
Lifestyles & Hobbies/Pet Lovers,26,36,2019-07-16
Lifestyles & Hobbies/Shutterbugs,100,166,2019-07-16
Lifestyles & Hobbies/Thrill Seekers,51,88,2019-07-16
Media & Entertainment/Book Lovers,28,39,2019-07-16
Media & Entertainment/Comics & Animation Fans,76,127,2019-07-16
Media & Entertainment/Gamers,56,98,2019-07-16
Media & Entertainment/Gamers/Action Game Fans,25,45,2019-07-16
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,29,54,2019-07-16
Media & Entertainment/Gamers/Casual & Social Gamers,25,37,2019-07-16
Media & Entertainment/Gamers/Hardcore Gamers,44,75,2019-07-16
Media & Entertainment/Gamers/Roleplaying Game Fans,32,52,2019-07-16
Media & Entertainment/Gamers/Shooter Game Fans,14,26,2019-07-16
Media & Entertainment/Light TV Viewers,82,134,2019-07-16
Media & Entertainment/Movie Lovers,117,196,2019-07-16
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,27,44,2019-07-16
Media & Entertainment/Movie Lovers/Family Movie Fans,14,22,2019-07-16
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,13,17,2019-07-16
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,21,32,2019-07-16
Media & Entertainment/Music Lovers,110,193,2019-07-16
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,17,31,2019-07-16
Media & Entertainment/Music Lovers/Pop Music Fans,53,90,2019-07-16
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,30,59,2019-07-16
Media & Entertainment/Music Lovers/Rock Music Fans,14,26,2019-07-16
Media & Entertainment/Music Lovers/World Music Fans,53,90,2019-07-16
Media & Entertainment/TV Lovers,27,34,2019-07-16
"Media & Entertainment/TV Lovers/Game, Reality & Talk Show Fans",10,14,2019-07-16
Media & Entertainment/TV Lovers/TV Drama Fans,15,20,2019-07-16
News & Politics/Avid News Readers,47,69,2019-07-16
News & Politics/Avid News Readers/Avid Business News Readers,22,34,2019-07-16
News & Politics/Avid News Readers/Avid Political News Readers,73,116,2019-07-16
News & Politics/Avid News Readers/Entertainment News Enthusiasts,18,26,2019-07-16
Shoppers/Bargain Hunters,21,31,2019-07-16
Shoppers/Luxury Shoppers,109,178,2019-07-16
Shoppers/Shopaholics,40,61,2019-07-16
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,31,52,2019-07-16
Shoppers/Shoppers by Store Type/Department Store Shoppers,54,86,2019-07-16
Shoppers/Value Shoppers,121,199,2019-07-16
Sports & Fitness/Health & Fitness Buffs,121,210,2019-07-16
Sports & Fitness/Sports Fans,107,191,2019-07-16
Sports & Fitness/Sports Fans/Baseball Fans,19,36,2019-07-16
Sports & Fitness/Sports Fans/Basketball Fans,19,41,2019-07-16
Sports & Fitness/Sports Fans/Cycling Enthusiasts,14,18,2019-07-16
Technology/Mobile Enthusiasts,92,141,2019-07-16
Technology/Social Media Enthusiasts,10,16,2019-07-16
Technology/Technophiles,125,205,2019-07-16
Travel/Business Travelers,102,167,2019-07-16
Travel/Travel Buffs,54,101,2019-07-16
Travel/Travel Buffs/Beachbound Travelers,10,13,2019-07-16
Vehicles & Transportation/Auto Enthusiasts,76,121,2019-07-16
Vehicles & Transportation/Auto Enthusiasts/Motorcycle Enthusiasts,10,18,2019-07-16
Banking & Finance/Avid Investors,77,140,2019-07-17
Beauty & Wellness/Beauty Mavens,26,44,2019-07-17
Beauty & Wellness/Frequently Visits Salons,83,143,2019-07-17
Food & Dining/Coffee Shop Regulars,63,111,2019-07-17
Food & Dining/Cooking Enthusiasts,52,78,2019-07-17
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,38,60,2019-07-17
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,21,32,2019-07-17
Food & Dining/Fast Food Cravers,58,95,2019-07-17
Food & Dining/Foodies,43,80,2019-07-17
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,24,44,2019-07-17
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,67,124,2019-07-17
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,77,139,2019-07-17
Home & Garden/Do-It-Yourselfers,89,150,2019-07-17
Home & Garden/Home Decor Enthusiasts,28,39,2019-07-17
Lifestyles & Hobbies/Art & Theater Aficionados,81,153,2019-07-17
Lifestyles & Hobbies/Business Professionals,116,199,2019-07-17
Lifestyles & Hobbies/Family-Focused,38,60,2019-07-17
Lifestyles & Hobbies/Fashionistas,43,78,2019-07-17
Lifestyles & Hobbies/Frequently Attends Live Events,61,117,2019-07-17
Lifestyles & Hobbies/Green Living Enthusiasts,95,165,2019-07-17
Lifestyles & Hobbies/Nightlife Enthusiasts,75,130,2019-07-17
Lifestyles & Hobbies/Outdoor Enthusiasts,86,153,2019-07-17
Lifestyles & Hobbies/Pet Lovers,23,34,2019-07-17
Lifestyles & Hobbies/Shutterbugs,98,174,2019-07-17
Lifestyles & Hobbies/Thrill Seekers,41,71,2019-07-17
Media & Entertainment/Book Lovers,35,63,2019-07-17
Media & Entertainment/Comics & Animation Fans,79,129,2019-07-17
Media & Entertainment/Gamers,61,96,2019-07-17
Media & Entertainment/Gamers/Action Game Fans,27,39,2019-07-17
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,31,51,2019-07-17
Media & Entertainment/Gamers/Casual & Social Gamers,27,38,2019-07-17
Media & Entertainment/Gamers/Hardcore Gamers,48,72,2019-07-17
Media & Entertainment/Gamers/Roleplaying Game Fans,41,59,2019-07-17
Media & Entertainment/Gamers/Shooter Game Fans,15,23,2019-07-17
Media & Entertainment/Light TV Viewers,85,144,2019-07-17
Media & Entertainment/Movie Lovers,122,210,2019-07-17
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,21,33,2019-07-17
Media & Entertainment/Movie Lovers/Family Movie Fans,14,24,2019-07-17
Media & Entertainment/Movie Lovers/Horror Movie Fans,11,21,2019-07-17
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,12,15,2019-07-17
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,21,39,2019-07-17
Media & Entertainment/Music Lovers,109,195,2019-07-17
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,15,22,2019-07-17
Media & Entertainment/Music Lovers/Pop Music Fans,54,91,2019-07-17
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,33,49,2019-07-17
Media & Entertainment/Music Lovers/Rock Music Fans,12,27,2019-07-17
Media & Entertainment/Music Lovers/World Music Fans,54,91,2019-07-17
Media & Entertainment/TV Lovers,24,40,2019-07-17
"Media & Entertainment/TV Lovers/Game, Reality & Talk Show Fans",11,16,2019-07-17
Media & Entertainment/TV Lovers/TV Drama Fans,18,30,2019-07-17
News & Politics/Avid News Readers,62,98,2019-07-17
News & Politics/Avid News Readers/Avid Business News Readers,38,60,2019-07-17
News & Politics/Avid News Readers/Avid Political News Readers,79,149,2019-07-17
News & Politics/Avid News Readers/Entertainment News Enthusiasts,33,52,2019-07-17
Shoppers/Bargain Hunters,19,28,2019-07-17
Shoppers/Luxury Shoppers,105,171,2019-07-17
Shoppers/Shopaholics,39,59,2019-07-17
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,28,39,2019-07-17
Shoppers/Shoppers by Store Type/Department Store Shoppers,43,88,2019-07-17
Shoppers/Value Shoppers,124,210,2019-07-17
Sports & Fitness/Health & Fitness Buffs,124,226,2019-07-17
Sports & Fitness/Sports Fans,93,166,2019-07-17
Sports & Fitness/Sports Fans/Baseball Fans,20,34,2019-07-17
Sports & Fitness/Sports Fans/Basketball Fans,22,39,2019-07-17
Sports & Fitness/Sports Fans/Cycling Enthusiasts,10,21,2019-07-17
Technology/Mobile Enthusiasts,91,145,2019-07-17
Technology/Social Media Enthusiasts,14,26,2019-07-17
Technology/Technophiles,132,233,2019-07-17
Travel/Business Travelers,102,182,2019-07-17
Travel/Travel Buffs,55,103,2019-07-17
Travel/Travel Buffs/Beachbound Travelers,10,22,2019-07-17
Vehicles & Transportation/Auto Enthusiasts,53,84,2019-07-17
Banking & Finance/Avid Investors,66,110,2019-07-18
Beauty & Wellness/Beauty Mavens,16,19,2019-07-18
Beauty & Wellness/Frequently Visits Salons,79,124,2019-07-18
Food & Dining/Coffee Shop Regulars,44,82,2019-07-18
Food & Dining/Cooking Enthusiasts,44,72,2019-07-18
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,25,46,2019-07-18
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,18,33,2019-07-18
Food & Dining/Fast Food Cravers,53,82,2019-07-18
Food & Dining/Foodies,30,47,2019-07-18
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,21,33,2019-07-18
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,49,87,2019-07-18
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,67,106,2019-07-18
Home & Garden/Do-It-Yourselfers,75,135,2019-07-18
Home & Garden/Home Decor Enthusiasts,15,18,2019-07-18
Lifestyles & Hobbies/Art & Theater Aficionados,63,110,2019-07-18
Lifestyles & Hobbies/Business Professionals,104,169,2019-07-18
Lifestyles & Hobbies/Family-Focused,23,39,2019-07-18
Lifestyles & Hobbies/Fashionistas,23,41,2019-07-18
Lifestyles & Hobbies/Frequently Attends Live Events,37,63,2019-07-18
Lifestyles & Hobbies/Green Living Enthusiasts,80,138,2019-07-18
Lifestyles & Hobbies/Nightlife Enthusiasts,53,96,2019-07-18
Lifestyles & Hobbies/Outdoor Enthusiasts,63,125,2019-07-18
Lifestyles & Hobbies/Pet Lovers,19,30,2019-07-18
Lifestyles & Hobbies/Shutterbugs,82,131,2019-07-18
Lifestyles & Hobbies/Thrill Seekers,23,51,2019-07-18
Media & Entertainment/Book Lovers,27,47,2019-07-18
Media & Entertainment/Comics & Animation Fans,68,96,2019-07-18
Media & Entertainment/Gamers,44,78,2019-07-18
Media & Entertainment/Gamers/Action Game Fans,19,30,2019-07-18
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,16,22,2019-07-18
Media & Entertainment/Gamers/Casual & Social Gamers,12,19,2019-07-18
Media & Entertainment/Gamers/Hardcore Gamers,33,53,2019-07-18
Media & Entertainment/Gamers/Roleplaying Game Fans,25,42,2019-07-18
Media & Entertainment/Gamers/Shooter Game Fans,11,21,2019-07-18
Media & Entertainment/Light TV Viewers,63,108,2019-07-18
Media & Entertainment/Movie Lovers,96,159,2019-07-18
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,14,22,2019-07-18
Media & Entertainment/Movie Lovers/Family Movie Fans,10,21,2019-07-18
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,17,27,2019-07-18
Media & Entertainment/Music Lovers,86,152,2019-07-18
Media & Entertainment/Music Lovers/Classical Music Enthusiasts,10,20,2019-07-18
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,11,18,2019-07-18
Media & Entertainment/Music Lovers/Pop Music Fans,34,57,2019-07-18
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,21,33,2019-07-18
Media & Entertainment/Music Lovers/Rock Music Fans,13,19,2019-07-18
Media & Entertainment/Music Lovers/World Music Fans,38,59,2019-07-18
Media & Entertainment/TV Lovers,30,51,2019-07-18
"Media & Entertainment/TV Lovers/Game, Reality & Talk Show Fans",10,21,2019-07-18
Media & Entertainment/TV Lovers/TV Drama Fans,14,26,2019-07-18
News & Politics/Avid News Readers,57,91,2019-07-18
News & Politics/Avid News Readers/Avid Business News Readers,32,52,2019-07-18
News & Politics/Avid News Readers/Avid Political News Readers,73,130,2019-07-18
News & Politics/Avid News Readers/Entertainment News Enthusiasts,26,37,2019-07-18
Shoppers/Bargain Hunters,25,35,2019-07-18
Shoppers/Luxury Shoppers,82,127,2019-07-18
Shoppers/Shopaholics,35,49,2019-07-18
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,15,23,2019-07-18
Shoppers/Shoppers by Store Type/Department Store Shoppers,41,64,2019-07-18
Shoppers/Value Shoppers,99,156,2019-07-18
Sports & Fitness/Health & Fitness Buffs,98,167,2019-07-18
Sports & Fitness/Sports Fans,79,135,2019-07-18
Sports & Fitness/Sports Fans/Baseball Fans,15,24,2019-07-18
Sports & Fitness/Sports Fans/Basketball Fans,17,31,2019-07-18
Technology/Mobile Enthusiasts,66,100,2019-07-18
Technology/Technophiles,112,185,2019-07-18
Travel/Business Travelers,88,151,2019-07-18
Travel/Travel Buffs,43,75,2019-07-18
Vehicles & Transportation/Auto Enthusiasts,50,79,2019-07-18
Vehicles & Transportation/Auto Enthusiasts/Motorcycle Enthusiasts,11,11,2019-07-18
Banking & Finance/Avid Investors,59,93,2019-07-19
Beauty & Wellness/Beauty Mavens,12,14,2019-07-19
Beauty & Wellness/Frequently Visits Salons,68,103,2019-07-19
Food & Dining/Coffee Shop Regulars,43,62,2019-07-19
Food & Dining/Cooking Enthusiasts,46,67,2019-07-19
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,29,45,2019-07-19
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,23,30,2019-07-19
Food & Dining/Fast Food Cravers,52,81,2019-07-19
Food & Dining/Foodies,35,50,2019-07-19
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,21,27,2019-07-19
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,52,77,2019-07-19
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,59,91,2019-07-19
Home & Garden/Do-It-Yourselfers,71,116,2019-07-19
Home & Garden/Home Decor Enthusiasts,11,14,2019-07-19
Lifestyles & Hobbies/Art & Theater Aficionados,50,79,2019-07-19
Lifestyles & Hobbies/Business Professionals,89,139,2019-07-19
Lifestyles & Hobbies/Family-Focused,23,32,2019-07-19
Lifestyles & Hobbies/Fashionistas,28,37,2019-07-19
Lifestyles & Hobbies/Frequently Attends Live Events,47,72,2019-07-19
Lifestyles & Hobbies/Green Living Enthusiasts,69,107,2019-07-19
Lifestyles & Hobbies/Nightlife Enthusiasts,50,78,2019-07-19
Lifestyles & Hobbies/Outdoor Enthusiasts,75,128,2019-07-19
Lifestyles & Hobbies/Pet Lovers,15,22,2019-07-19
Lifestyles & Hobbies/Shutterbugs,63,99,2019-07-19
Lifestyles & Hobbies/Thrill Seekers,32,56,2019-07-19
Media & Entertainment/Book Lovers,25,39,2019-07-19
Media & Entertainment/Comics & Animation Fans,54,82,2019-07-19
Media & Entertainment/Gamers,45,77,2019-07-19
Media & Entertainment/Gamers/Action Game Fans,14,22,2019-07-19
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,18,28,2019-07-19
Media & Entertainment/Gamers/Casual & Social Gamers,19,29,2019-07-19
Media & Entertainment/Gamers/Hardcore Gamers,35,58,2019-07-19
Media & Entertainment/Gamers/Roleplaying Game Fans,28,49,2019-07-19
Media & Entertainment/Gamers/Shooter Game Fans,13,21,2019-07-19
Media & Entertainment/Light TV Viewers,49,83,2019-07-19
Media & Entertainment/Movie Lovers,89,144,2019-07-19
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,20,29,2019-07-19
Media & Entertainment/Movie Lovers/Family Movie Fans,14,22,2019-07-19
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,11,17,2019-07-19
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,15,20,2019-07-19
Media & Entertainment/Music Lovers,87,142,2019-07-19
Media & Entertainment/Music Lovers/Classical Music Enthusiasts,11,18,2019-07-19
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,12,21,2019-07-19
Media & Entertainment/Music Lovers/Pop Music Fans,41,58,2019-07-19
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,21,31,2019-07-19
Media & Entertainment/Music Lovers/Rock Music Fans,12,19,2019-07-19
Media & Entertainment/Music Lovers/World Music Fans,40,56,2019-07-19
Media & Entertainment/TV Lovers,22,36,2019-07-19
Media & Entertainment/TV Lovers/TV Drama Fans,11,16,2019-07-19
News & Politics/Avid News Readers,45,70,2019-07-19
News & Politics/Avid News Readers/Avid Business News Readers,26,41,2019-07-19
News & Politics/Avid News Readers/Avid Political News Readers,54,99,2019-07-19
News & Politics/Avid News Readers/Entertainment News Enthusiasts,19,27,2019-07-19
Shoppers/Bargain Hunters,18,24,2019-07-19
Shoppers/Luxury Shoppers,76,121,2019-07-19
Shoppers/Shopaholics,31,47,2019-07-19
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,17,29,2019-07-19
Shoppers/Shoppers by Store Type/Department Store Shoppers,29,37,2019-07-19
Shoppers/Value Shoppers,90,140,2019-07-19
Sports & Fitness/Health & Fitness Buffs,91,147,2019-07-19
Sports & Fitness/Sports Fans,83,136,2019-07-19
Sports & Fitness/Sports Fans/Baseball Fans,19,29,2019-07-19
Sports & Fitness/Sports Fans/Basketball Fans,19,30,2019-07-19
Sports & Fitness/Sports Fans/Cycling Enthusiasts,16,22,2019-07-19
Technology/Mobile Enthusiasts,64,96,2019-07-19
Technology/Technophiles,96,151,2019-07-19
