interestAffinityCategory,vistornum,sessionnum,logdate
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,13,26,2019-07-09
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,26,53,2019-07-09
Media & Entertainment/Music Lovers,127,238,2019-07-09
Media & Entertainment/Music Lovers/Classical Music Enthusiasts,13,26,2019-07-09
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,18,34,2019-07-09
Media & Entertainment/Music Lovers/Pop Music Fans,65,132,2019-07-09
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,29,66,2019-07-09
Media & Entertainment/Music Lovers/Rock Music Fans,15,27,2019-07-09
Media & Entertainment/Music Lovers/World Music Fans,61,122,2019-07-09
Media & Entertainment/TV Lovers,28,47,2019-07-09
Media & Entertainment/TV Lovers/TV Drama Fans,19,37,2019-07-09
News & Politics/Avid News Readers,71,139,2019-07-09
News & Politics/Avid News Readers/Avid Business News Readers,37,70,2019-07-09
News & Politics/Avid News Readers/Avid Political News Readers,92,186,2019-07-09
News & Politics/Avid News Readers/Entertainment News Enthusiasts,35,73,2019-07-09
Shoppers/Bargain Hunters,19,32,2019-07-09
Shoppers/Luxury Shoppers,96,182,2019-07-09
Shoppers/Shopaholics,38,80,2019-07-09
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,21,40,2019-07-09
Shoppers/Shoppers by Store Type/Department Store Shoppers,50,90,2019-07-09
Shoppers/Value Shoppers,126,241,2019-07-09
Sports & Fitness/Health & Fitness Buffs,134,253,2019-07-09
Sports & Fitness/Sports Fans,105,187,2019-07-09
Sports & Fitness/Sports Fans/Baseball Fans,33,63,2019-07-09
Sports & Fitness/Sports Fans/Basketball Fans,30,60,2019-07-09
Sports & Fitness/Sports Fans/Cycling Enthusiasts,12,19,2019-07-09
Technology/Mobile Enthusiasts,94,180,2019-07-09
Technology/Social Media Enthusiasts,12,21,2019-07-09
Technology/Technophiles,138,249,2019-07-09
Travel/Business Travelers,110,211,2019-07-09
Travel/Travel Buffs,59,118,2019-07-09
Vehicles & Transportation/Auto Enthusiasts,56,94,2019-07-09
Vehicles & Transportation/Auto Enthusiasts/Motorcycle Enthusiasts,12,16,2019-07-09
Banking & Finance/Avid Investors,90,159,2019-07-10
Beauty & Wellness/Beauty Mavens,33,57,2019-07-10
Beauty & Wellness/Frequently Visits Salons,99,165,2019-07-10
Food & Dining/Coffee Shop Regulars,73,126,2019-07-10
Food & Dining/Cooking Enthusiasts,58,94,2019-07-10
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,38,61,2019-07-10
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,33,54,2019-07-10
Food & Dining/Fast Food Cravers,83,130,2019-07-10
Food & Dining/Foodies,57,100,2019-07-10
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,26,40,2019-07-10
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,87,151,2019-07-10
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,89,144,2019-07-10
Home & Garden/Do-It-Yourselfers,102,175,2019-07-10
Home & Garden/Home Decor Enthusiasts,33,58,2019-07-10
Lifestyles & Hobbies/Art & Theater Aficionados,91,166,2019-07-10
Lifestyles & Hobbies/Business Professionals,139,235,2019-07-10
Lifestyles & Hobbies/Family-Focused,39,64,2019-07-10
Lifestyles & Hobbies/Fashionistas,58,103,2019-07-10
Lifestyles & Hobbies/Frequently Attends Live Events,67,121,2019-07-10
Lifestyles & Hobbies/Green Living Enthusiasts,103,197,2019-07-10
Lifestyles & Hobbies/Nightlife Enthusiasts,89,153,2019-07-10
Lifestyles & Hobbies/Outdoor Enthusiasts,95,168,2019-07-10
Lifestyles & Hobbies/Pet Lovers,26,43,2019-07-10
Lifestyles & Hobbies/Shutterbugs,124,210,2019-07-10
Lifestyles & Hobbies/Thrill Seekers,43,80,2019-07-10
Media & Entertainment/Book Lovers,44,69,2019-07-10
Media & Entertainment/Comics & Animation Fans,111,190,2019-07-10
Media & Entertainment/Gamers,78,129,2019-07-10
Media & Entertainment/Gamers/Action Game Fans,27,50,2019-07-10
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,33,55,2019-07-10
Media & Entertainment/Gamers/Casual & Social Gamers,30,62,2019-07-10
Media & Entertainment/Gamers/Hardcore Gamers,55,97,2019-07-10
Media & Entertainment/Gamers/Roleplaying Game Fans,47,85,2019-07-10
Media & Entertainment/Gamers/Shooter Game Fans,16,31,2019-07-10
Media & Entertainment/Light TV Viewers,102,176,2019-07-10
Media & Entertainment/Movie Lovers,149,259,2019-07-10
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,34,61,2019-07-10
Media & Entertainment/Movie Lovers/Family Movie Fans,25,51,2019-07-10
Media & Entertainment/Movie Lovers/Horror Movie Fans,16,38,2019-07-10
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,22,34,2019-07-10
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,30,49,2019-07-10
Media & Entertainment/Music Lovers,139,245,2019-07-10
Media & Entertainment/Music Lovers/Classical Music Enthusiasts,20,42,2019-07-10
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,22,47,2019-07-10
Media & Entertainment/Music Lovers/Indie & Alternative Rock Fans,12,18,2019-07-10
Media & Entertainment/Music Lovers/Pop Music Fans,74,126,2019-07-10
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,34,60,2019-07-10
Media & Entertainment/Music Lovers/Rock Music Fans,15,26,2019-07-10
Media & Entertainment/Music Lovers/World Music Fans,71,122,2019-07-10
Media & Entertainment/TV Lovers,30,50,2019-07-10
"Media & Entertainment/TV Lovers/Game, Reality & Talk Show Fans",14,30,2019-07-10
Media & Entertainment/TV Lovers/TV Drama Fans,18,37,2019-07-10
News & Politics/Avid News Readers,72,116,2019-07-10
News & Politics/Avid News Readers/Avid Business News Readers,41,71,2019-07-10
News & Politics/Avid News Readers/Avid Political News Readers,93,167,2019-07-10
News & Politics/Avid News Readers/Entertainment News Enthusiasts,38,64,2019-07-10
Shoppers/Bargain Hunters,27,49,2019-07-10
Shoppers/Luxury Shoppers,122,209,2019-07-10
Shoppers/Shopaholics,44,70,2019-07-10
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,28,37,2019-07-10
Shoppers/Shoppers by Store Type/Department Store Shoppers,60,102,2019-07-10
Shoppers/Value Shoppers,149,261,2019-07-10
Sports & Fitness/Health & Fitness Buffs,145,247,2019-07-10
Sports & Fitness/Sports Fans,117,195,2019-07-10
Sports & Fitness/Sports Fans/Baseball Fans,30,55,2019-07-10
Sports & Fitness/Sports Fans/Basketball Fans,40,71,2019-07-10
Sports & Fitness/Sports Fans/Cycling Enthusiasts,13,22,2019-07-10
Technology/Mobile Enthusiasts,112,181,2019-07-10
Technology/Social Media Enthusiasts,13,19,2019-07-10
Technology/Technophiles,163,280,2019-07-10
Travel/Business Travelers,124,221,2019-07-10
Travel/Travel Buffs,54,100,2019-07-10
Vehicles & Transportation/Auto Enthusiasts,67,104,2019-07-10
Banking & Finance/Avid Investors,80,137,2019-07-11
Beauty & Wellness/Beauty Mavens,33,50,2019-07-11
Beauty & Wellness/Frequently Visits Salons,96,156,2019-07-11
Food & Dining/Coffee Shop Regulars,60,97,2019-07-11
Food & Dining/Cooking Enthusiasts,54,93,2019-07-11
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,41,68,2019-07-11
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,29,47,2019-07-11
Food & Dining/Fast Food Cravers,76,113,2019-07-11
Food & Dining/Foodies,59,95,2019-07-11
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,25,46,2019-07-11
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,69,109,2019-07-11
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,74,123,2019-07-11
Home & Garden/Do-It-Yourselfers,95,164,2019-07-11
Home & Garden/Home Decor Enthusiasts,30,45,2019-07-11
Lifestyles & Hobbies/Art & Theater Aficionados,75,123,2019-07-11
Lifestyles & Hobbies/Business Professionals,120,197,2019-07-11
Lifestyles & Hobbies/Family-Focused,43,60,2019-07-11
Lifestyles & Hobbies/Fashionistas,54,86,2019-07-11
Lifestyles & Hobbies/Frequently Attends Live Events,53,86,2019-07-11
Lifestyles & Hobbies/Green Living Enthusiasts,87,145,2019-07-11
Lifestyles & Hobbies/Nightlife Enthusiasts,70,122,2019-07-11
Lifestyles & Hobbies/Outdoor Enthusiasts,91,159,2019-07-11
Lifestyles & Hobbies/Pet Lovers,27,36,2019-07-11
Lifestyles & Hobbies/Shutterbugs,99,173,2019-07-11
Lifestyles & Hobbies/Thrill Seekers,44,80,2019-07-11
Media & Entertainment/Book Lovers,40,58,2019-07-11
Media & Entertainment/Comics & Animation Fans,86,134,2019-07-11
Media & Entertainment/Gamers,74,106,2019-07-11
Media & Entertainment/Gamers/Action Game Fans,27,41,2019-07-11
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,28,49,2019-07-11
Media & Entertainment/Gamers/Casual & Social Gamers,29,45,2019-07-11
Media & Entertainment/Gamers/Hardcore Gamers,51,81,2019-07-11
Media & Entertainment/Gamers/Roleplaying Game Fans,39,62,2019-07-11
Media & Entertainment/Gamers/Shooter Game Fans,13,26,2019-07-11
Media & Entertainment/Light TV Viewers,74,122,2019-07-11
Media & Entertainment/Movie Lovers,117,174,2019-07-11
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,29,39,2019-07-11
Media & Entertainment/Movie Lovers/Family Movie Fans,19,30,2019-07-11
Media & Entertainment/Movie Lovers/Horror Movie Fans,13,17,2019-07-11
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,21,32,2019-07-11
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,30,42,2019-07-11
Media & Entertainment/Music Lovers,111,182,2019-07-11
Media & Entertainment/Music Lovers/Classical Music Enthusiasts,18,28,2019-07-11
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,19,34,2019-07-11
Media & Entertainment/Music Lovers/Indie & Alternative Rock Fans,11,19,2019-07-11
Media & Entertainment/Music Lovers/Pop Music Fans,55,87,2019-07-11
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,34,57,2019-07-11
Media & Entertainment/Music Lovers/Rock Music Fans,15,25,2019-07-11
Media & Entertainment/Music Lovers/World Music Fans,55,88,2019-07-11
Media & Entertainment/TV Lovers,32,49,2019-07-11
"Media & Entertainment/TV Lovers/Game, Reality & Talk Show Fans",18,26,2019-07-11
Media & Entertainment/TV Lovers/TV Drama Fans,25,39,2019-07-11
News & Politics/Avid News Readers,72,115,2019-07-11
News & Politics/Avid News Readers/Avid Business News Readers,41,70,2019-07-11
News & Politics/Avid News Readers/Avid Political News Readers,78,133,2019-07-11
News & Politics/Avid News Readers/Entertainment News Enthusiasts,43,67,2019-07-11
Shoppers/Bargain Hunters,29,47,2019-07-11
Shoppers/Luxury Shoppers,111,170,2019-07-11
Shoppers/Shopaholics,42,63,2019-07-11
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,28,49,2019-07-11
Shoppers/Shoppers by Store Type/Department Store Shoppers,52,83,2019-07-11
Shoppers/Value Shoppers,122,199,2019-07-11
Sports & Fitness/Health & Fitness Buffs,129,211,2019-07-11
Sports & Fitness/Sports Fans,98,163,2019-07-11
Sports & Fitness/Sports Fans/Baseball Fans,24,38,2019-07-11
Sports & Fitness/Sports Fans/Basketball Fans,34,54,2019-07-11
Technology/Mobile Enthusiasts,89,141,2019-07-11
Technology/Technophiles,134,219,2019-07-11
Travel/Business Travelers,112,183,2019-07-11
Travel/Travel Buffs,61,108,2019-07-11
Vehicles & Transportation/Auto Enthusiasts,67,108,2019-07-11
Vehicles & Transportation/Auto Enthusiasts/Motorcycle Enthusiasts,10,13,2019-07-11
Banking & Finance/Avid Investors,54,98,2019-07-12
Beauty & Wellness/Beauty Mavens,28,42,2019-07-12
Beauty & Wellness/Frequently Visits Salons,62,118,2019-07-12
Food & Dining/Coffee Shop Regulars,48,96,2019-07-12
Food & Dining/Cooking Enthusiasts,42,78,2019-07-12
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,35,59,2019-07-12
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,22,41,2019-07-12
Food & Dining/Fast Food Cravers,49,95,2019-07-12
Food & Dining/Foodies,50,98,2019-07-12
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,20,37,2019-07-12
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,48,95,2019-07-12
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,56,99,2019-07-12
Home & Garden/Do-It-Yourselfers,63,117,2019-07-12
Home & Garden/Home Decor Enthusiasts,21,33,2019-07-12
Lifestyles & Hobbies/Art & Theater Aficionados,65,118,2019-07-12
Lifestyles & Hobbies/Business Professionals,89,166,2019-07-12
Lifestyles & Hobbies/Family-Focused,28,50,2019-07-12
Lifestyles & Hobbies/Fashionistas,36,65,2019-07-12
Lifestyles & Hobbies/Frequently Attends Live Events,53,100,2019-07-12
Lifestyles & Hobbies/Green Living Enthusiasts,71,133,2019-07-12
Lifestyles & Hobbies/Nightlife Enthusiasts,61,119,2019-07-12
Lifestyles & Hobbies/Outdoor Enthusiasts,72,128,2019-07-12
Lifestyles & Hobbies/Pet Lovers,22,33,2019-07-12
Lifestyles & Hobbies/Shutterbugs,77,146,2019-07-12
Lifestyles & Hobbies/Thrill Seekers,28,61,2019-07-12
Media & Entertainment/Book Lovers,35,58,2019-07-12
Media & Entertainment/Comics & Animation Fans,66,117,2019-07-12
Media & Entertainment/Gamers,37,65,2019-07-12
Media & Entertainment/Gamers/Action Game Fans,12,23,2019-07-12
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,17,28,2019-07-12
Media & Entertainment/Gamers/Casual & Social Gamers,13,22,2019-07-12
Media & Entertainment/Gamers/Hardcore Gamers,31,57,2019-07-12
Media & Entertainment/Gamers/Roleplaying Game Fans,22,42,2019-07-12
Media & Entertainment/Light TV Viewers,58,113,2019-07-12
Media & Entertainment/Movie Lovers,80,147,2019-07-12
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,15,27,2019-07-12
Media & Entertainment/Movie Lovers/Family Movie Fans,15,30,2019-07-12
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,16,26,2019-07-12
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,19,35,2019-07-12
Media & Entertainment/Music Lovers,97,183,2019-07-12
Media & Entertainment/Music Lovers/Classical Music Enthusiasts,13,23,2019-07-12
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,18,32,2019-07-12
Media & Entertainment/Music Lovers/Pop Music Fans,50,102,2019-07-12
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,33,71,2019-07-12
Media & Entertainment/Music Lovers/Rock Music Fans,10,18,2019-07-12
Media & Entertainment/Music Lovers/World Music Fans,49,98,2019-07-12
Media & Entertainment/TV Lovers,22,36,2019-07-12
"Media & Entertainment/TV Lovers/Game, Reality & Talk Show Fans",12,18,2019-07-12
Media & Entertainment/TV Lovers/TV Drama Fans,15,27,2019-07-12
News & Politics/Avid News Readers,43,86,2019-07-12
News & Politics/Avid News Readers/Avid Business News Readers,23,48,2019-07-12
News & Politics/Avid News Readers/Avid Political News Readers,61,118,2019-07-12
News & Politics/Avid News Readers/Entertainment News Enthusiasts,19,43,2019-07-12
Shoppers/Bargain Hunters,18,38,2019-07-12
Shoppers/Luxury Shoppers,82,162,2019-07-12
Shoppers/Shopaholics,32,52,2019-07-12
