interestAffinityCategory,vistornum,sessionnum,logdate
Banking & Finance/Avid Investors,50,117,2019-07-07
Beauty & Wellness/Beauty Mavens,13,29,2019-07-07
Beauty & Wellness/Frequently Visits Salons,53,120,2019-07-07
Food & Dining/Coffee Shop Regulars,51,125,2019-07-07
Food & Dining/Cooking Enthusiasts,46,98,2019-07-07
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,23,44,2019-07-07
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,20,42,2019-07-07
Food & Dining/Fast Food Cravers,60,135,2019-07-07
Food & Dining/Foodies,31,66,2019-07-07
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,17,35,2019-07-07
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,45,107,2019-07-07
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,50,117,2019-07-07
Home & Garden/Do-It-Yourselfers,55,105,2019-07-07
Home & Garden/Home Decor Enthusiasts,18,33,2019-07-07
Lifestyles & Hobbies/Art & Theater Aficionados,62,140,2019-07-07
Lifestyles & Hobbies/Business Professionals,66,139,2019-07-07
Lifestyles & Hobbies/Family-Focused,25,52,2019-07-07
Lifestyles & Hobbies/Fashionistas,24,52,2019-07-07
Lifestyles & Hobbies/Frequently Attends Live Events,38,91,2019-07-07
Lifestyles & Hobbies/Green Living Enthusiasts,63,141,2019-07-07
Lifestyles & Hobbies/Nightlife Enthusiasts,53,130,2019-07-07
Lifestyles & Hobbies/Outdoor Enthusiasts,44,107,2019-07-07
Lifestyles & Hobbies/Pet Lovers,15,30,2019-07-07
Lifestyles & Hobbies/Shutterbugs,73,149,2019-07-07
Lifestyles & Hobbies/Thrill Seekers,27,57,2019-07-07
Media & Entertainment/Book Lovers,28,62,2019-07-07
Media & Entertainment/Comics & Animation Fans,64,140,2019-07-07
Media & Entertainment/Gamers,61,138,2019-07-07
Media & Entertainment/Gamers/Action Game Fans,25,51,2019-07-07
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,28,62,2019-07-07
Media & Entertainment/Gamers/Casual & Social Gamers,27,68,2019-07-07
Media & Entertainment/Gamers/Hardcore Gamers,46,105,2019-07-07
Media & Entertainment/Gamers/Roleplaying Game Fans,38,82,2019-07-07
Media & Entertainment/Gamers/Shooter Game Fans,16,32,2019-07-07
Media & Entertainment/Light TV Viewers,65,152,2019-07-07
Media & Entertainment/Movie Lovers,91,207,2019-07-07
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,22,54,2019-07-07
Media & Entertainment/Movie Lovers/Family Movie Fans,11,32,2019-07-07
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,12,23,2019-07-07
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,19,44,2019-07-07
Media & Entertainment/Music Lovers,86,195,2019-07-07
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,14,25,2019-07-07
Media & Entertainment/Music Lovers/Pop Music Fans,46,98,2019-07-07
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,22,49,2019-07-07
Media & Entertainment/Music Lovers/World Music Fans,46,92,2019-07-07
Media & Entertainment/TV Lovers,17,32,2019-07-07
Media & Entertainment/TV Lovers/TV Drama Fans,10,21,2019-07-07
News & Politics/Avid News Readers,49,119,2019-07-07
News & Politics/Avid News Readers/Avid Business News Readers,27,66,2019-07-07
News & Politics/Avid News Readers/Avid Political News Readers,63,139,2019-07-07
News & Politics/Avid News Readers/Entertainment News Enthusiasts,25,58,2019-07-07
Shoppers/Luxury Shoppers,68,154,2019-07-07
Shoppers/Shopaholics,29,53,2019-07-07
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,19,34,2019-07-07
Shoppers/Shoppers by Store Type/Department Store Shoppers,27,62,2019-07-07
Shoppers/Value Shoppers,88,185,2019-07-07
Sports & Fitness/Health & Fitness Buffs,85,186,2019-07-07
Sports & Fitness/Sports Fans,65,168,2019-07-07
Sports & Fitness/Sports Fans/Baseball Fans,17,53,2019-07-07
Sports & Fitness/Sports Fans/Basketball Fans,16,46,2019-07-07
Technology/Mobile Enthusiasts,63,138,2019-07-07
Technology/Social Media Enthusiasts,14,18,2019-07-07
Technology/Technophiles,92,209,2019-07-07
Travel/Business Travelers,77,162,2019-07-07
Travel/Travel Buffs,33,77,2019-07-07
Vehicles & Transportation/Auto Enthusiasts,35,68,2019-07-07
Banking & Finance/Avid Investors,89,172,2019-07-08
Beauty & Wellness/Beauty Mavens,25,43,2019-07-08
Beauty & Wellness/Frequently Visits Salons,95,186,2019-07-08
Food & Dining/Coffee Shop Regulars,79,157,2019-07-08
Food & Dining/Cooking Enthusiasts,63,122,2019-07-08
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,37,64,2019-07-08
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,27,45,2019-07-08
Food & Dining/Fast Food Cravers,84,144,2019-07-08
Food & Dining/Foodies,54,98,2019-07-08
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,28,53,2019-07-08
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,82,162,2019-07-08
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,86,173,2019-07-08
Home & Garden/Do-It-Yourselfers,98,184,2019-07-08
Home & Garden/Home Decor Enthusiasts,24,35,2019-07-08
Lifestyles & Hobbies/Art & Theater Aficionados,93,183,2019-07-08
Lifestyles & Hobbies/Business Professionals,114,221,2019-07-08
Lifestyles & Hobbies/Family-Focused,35,59,2019-07-08
Lifestyles & Hobbies/Fashionistas,47,91,2019-07-08
Lifestyles & Hobbies/Frequently Attends Live Events,74,152,2019-07-08
Lifestyles & Hobbies/Green Living Enthusiasts,104,210,2019-07-08
Lifestyles & Hobbies/Nightlife Enthusiasts,92,181,2019-07-08
Lifestyles & Hobbies/Outdoor Enthusiasts,92,168,2019-07-08
Lifestyles & Hobbies/Pet Lovers,22,35,2019-07-08
Lifestyles & Hobbies/Shutterbugs,118,225,2019-07-08
Lifestyles & Hobbies/Thrill Seekers,52,95,2019-07-08
Media & Entertainment/Book Lovers,40,70,2019-07-08
Media & Entertainment/Comics & Animation Fans,101,190,2019-07-08
Media & Entertainment/Gamers,91,165,2019-07-08
Media & Entertainment/Gamers/Action Game Fans,38,69,2019-07-08
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,44,79,2019-07-08
Media & Entertainment/Gamers/Casual & Social Gamers,34,67,2019-07-08
Media & Entertainment/Gamers/Hardcore Gamers,70,124,2019-07-08
Media & Entertainment/Gamers/Roleplaying Game Fans,57,101,2019-07-08
Media & Entertainment/Gamers/Shooter Game Fans,20,32,2019-07-08
Media & Entertainment/Light TV Viewers,108,201,2019-07-08
Media & Entertainment/Movie Lovers,142,268,2019-07-08
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,38,75,2019-07-08
Media & Entertainment/Movie Lovers/Family Movie Fans,19,41,2019-07-08
Media & Entertainment/Movie Lovers/Horror Movie Fans,13,30,2019-07-08
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,14,27,2019-07-08
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,36,62,2019-07-08
Media & Entertainment/Music Lovers,139,267,2019-07-08
Media & Entertainment/Music Lovers/Classical Music Enthusiasts,20,42,2019-07-08
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,26,49,2019-07-08
Media & Entertainment/Music Lovers/Pop Music Fans,74,148,2019-07-08
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,38,72,2019-07-08
Media & Entertainment/Music Lovers/Rock Music Fans,15,28,2019-07-08
Media & Entertainment/Music Lovers/World Music Fans,74,145,2019-07-08
Media & Entertainment/TV Lovers,21,38,2019-07-08
"Media & Entertainment/TV Lovers/Game, Reality & Talk Show Fans",12,19,2019-07-08
Media & Entertainment/TV Lovers/TV Drama Fans,16,29,2019-07-08
News & Politics/Avid News Readers,68,126,2019-07-08
News & Politics/Avid News Readers/Avid Business News Readers,44,84,2019-07-08
News & Politics/Avid News Readers/Avid Political News Readers,88,181,2019-07-08
News & Politics/Avid News Readers/Entertainment News Enthusiasts,34,67,2019-07-08
Shoppers/Bargain Hunters,24,33,2019-07-08
Shoppers/Luxury Shoppers,110,216,2019-07-08
Shoppers/Shopaholics,45,78,2019-07-08
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,28,50,2019-07-08
Shoppers/Shoppers by Store Type/Department Store Shoppers,51,96,2019-07-08
Shoppers/Value Shoppers,133,247,2019-07-08
Sports & Fitness/Health & Fitness Buffs,152,294,2019-07-08
Sports & Fitness/Sports Fans,114,218,2019-07-08
Sports & Fitness/Sports Fans/Baseball Fans,37,72,2019-07-08
Sports & Fitness/Sports Fans/Basketball Fans,33,70,2019-07-08
Sports & Fitness/Sports Fans/Cycling Enthusiasts,11,16,2019-07-08
Sports & Fitness/Sports Fans/Soccer Fans,10,17,2019-07-08
Technology/Mobile Enthusiasts,99,178,2019-07-08
Technology/Social Media Enthusiasts,15,23,2019-07-08
Technology/Technophiles,154,285,2019-07-08
Travel/Business Travelers,121,229,2019-07-08
Travel/Travel Buffs,62,111,2019-07-08
Vehicles & Transportation/Auto Enthusiasts,61,115,2019-07-08
Banking & Finance/Avid Investors,81,162,2019-07-09
Beauty & Wellness/Beauty Mavens,21,39,2019-07-09
Beauty & Wellness/Frequently Visits Salons,92,170,2019-07-09
Food & Dining/Coffee Shop Regulars,79,159,2019-07-09
Food & Dining/Cooking Enthusiasts,52,106,2019-07-09
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,42,78,2019-07-09
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,28,53,2019-07-09
Food & Dining/Fast Food Cravers,69,124,2019-07-09
Food & Dining/Foodies,47,93,2019-07-09
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,27,44,2019-07-09
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,76,163,2019-07-09
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,83,162,2019-07-09
Home & Garden/Do-It-Yourselfers,86,166,2019-07-09
Home & Garden/Home Decor Enthusiasts,22,36,2019-07-09
Lifestyles & Hobbies/Art & Theater Aficionados,92,191,2019-07-09
Lifestyles & Hobbies/Business Professionals,113,211,2019-07-09
Lifestyles & Hobbies/Family-Focused,41,70,2019-07-09
Lifestyles & Hobbies/Fashionistas,47,95,2019-07-09
Lifestyles & Hobbies/Frequently Attends Live Events,66,139,2019-07-09
Lifestyles & Hobbies/Green Living Enthusiasts,104,200,2019-07-09
Lifestyles & Hobbies/Nightlife Enthusiasts,85,172,2019-07-09
Lifestyles & Hobbies/Outdoor Enthusiasts,92,157,2019-07-09
Lifestyles & Hobbies/Pet Lovers,22,28,2019-07-09
Lifestyles & Hobbies/Shutterbugs,105,208,2019-07-09
Lifestyles & Hobbies/Thrill Seekers,44,80,2019-07-09
Media & Entertainment/Book Lovers,48,96,2019-07-09
Media & Entertainment/Comics & Animation Fans,91,159,2019-07-09
Media & Entertainment/Gamers,78,142,2019-07-09
Media & Entertainment/Gamers/Action Game Fans,34,55,2019-07-09
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,35,57,2019-07-09
Media & Entertainment/Gamers/Casual & Social Gamers,31,59,2019-07-09
Media & Entertainment/Gamers/Hardcore Gamers,54,100,2019-07-09
Media & Entertainment/Gamers/Roleplaying Game Fans,47,84,2019-07-09
Media & Entertainment/Gamers/Shooter Game Fans,16,29,2019-07-09
Media & Entertainment/Light TV Viewers,97,198,2019-07-09
Media & Entertainment/Movie Lovers,128,245,2019-07-09
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,29,58,2019-07-09
Media & Entertainment/Movie Lovers/Family Movie Fans,15,31,2019-07-09
Media & Entertainment/Movie Lovers/Horror Movie Fans,10,23,2019-07-09
