interestAffinityCategory,vistornum,sessionnum,logdate
Lifestyles & Hobbies/Family-Focused,42,66,2019-06-24
Lifestyles & Hobbies/Fashionistas,65,95,2019-06-24
Lifestyles & Hobbies/Frequently Attends Live Events,65,113,2019-06-24
Lifestyles & Hobbies/Green Living Enthusiasts,104,174,2019-06-24
Lifestyles & Hobbies/Nightlife Enthusiasts,93,155,2019-06-24
Lifestyles & Hobbies/Outdoor Enthusiasts,78,131,2019-06-24
Lifestyles & Hobbies/Pet Lovers,26,52,2019-06-24
Lifestyles & Hobbies/Shutterbugs,104,191,2019-06-24
Lifestyles & Hobbies/Thrill Seekers,39,69,2019-06-24
Media & Entertainment/Book Lovers,44,77,2019-06-24
Media & Entertainment/Comics & Animation Fans,84,157,2019-06-24
Media & Entertainment/Gamers,80,150,2019-06-24
Media & Entertainment/Gamers/Action Game Fans,28,48,2019-06-24
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,42,73,2019-06-24
Media & Entertainment/Gamers/Casual & Social Gamers,23,46,2019-06-24
Media & Entertainment/Gamers/Hardcore Gamers,57,104,2019-06-24
Media & Entertainment/Gamers/Roleplaying Game Fans,46,89,2019-06-24
Media & Entertainment/Gamers/Shooter Game Fans,10,19,2019-06-24
Media & Entertainment/Light TV Viewers,107,187,2019-06-24
Media & Entertainment/Movie Lovers,134,238,2019-06-24
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,33,65,2019-06-24
Media & Entertainment/Movie Lovers/Family Movie Fans,13,25,2019-06-24
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,12,18,2019-06-24
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,30,58,2019-06-24
Media & Entertainment/Music Lovers,142,232,2019-06-24
Media & Entertainment/Music Lovers/Classical Music Enthusiasts,13,29,2019-06-24
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,23,36,2019-06-24
Media & Entertainment/Music Lovers/Indie & Alternative Rock Fans,13,19,2019-06-24
Media & Entertainment/Music Lovers/Pop Music Fans,67,128,2019-06-24
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,31,62,2019-06-24
Media & Entertainment/Music Lovers/Rock Music Fans,15,25,2019-06-24
Media & Entertainment/Music Lovers/World Music Fans,64,119,2019-06-24
Media & Entertainment/TV Lovers,26,42,2019-06-24
Media & Entertainment/TV Lovers/TV Drama Fans,12,24,2019-06-24
News & Politics/Avid News Readers,65,111,2019-06-24
News & Politics/Avid News Readers/Avid Business News Readers,42,83,2019-06-24
News & Politics/Avid News Readers/Avid Political News Readers,87,145,2019-06-24
News & Politics/Avid News Readers/Entertainment News Enthusiasts,36,67,2019-06-24
Shoppers/Bargain Hunters,24,39,2019-06-24
Shoppers/Luxury Shoppers,107,177,2019-06-24
Shoppers/Shopaholics,47,74,2019-06-24
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,20,37,2019-06-24
Shoppers/Shoppers by Store Type/Department Store Shoppers,50,80,2019-06-24
Shoppers/Value Shoppers,138,244,2019-06-24
Sports & Fitness/Health & Fitness Buffs,131,224,2019-06-24
Sports & Fitness/Sports Fans,99,163,2019-06-24
Sports & Fitness/Sports Fans/Baseball Fans,25,50,2019-06-24
Sports & Fitness/Sports Fans/Basketball Fans,33,63,2019-06-24
Technology/Mobile Enthusiasts,96,187,2019-06-24
Technology/Social Media Enthusiasts,17,26,2019-06-24
Technology/Technophiles,142,265,2019-06-24
Travel/Business Travelers,111,187,2019-06-24
Travel/Travel Buffs,66,102,2019-06-24
Vehicles & Transportation/Auto Enthusiasts,44,75,2019-06-24
Banking & Finance/Avid Investors,81,151,2019-06-25
Beauty & Wellness/Beauty Mavens,29,41,2019-06-25
Beauty & Wellness/Frequently Visits Salons,92,172,2019-06-25
Food & Dining/Coffee Shop Regulars,71,126,2019-06-25
Food & Dining/Cooking Enthusiasts,52,96,2019-06-25
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,41,70,2019-06-25
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,26,45,2019-06-25
Food & Dining/Fast Food Cravers,79,150,2019-06-25
Food & Dining/Foodies,69,117,2019-06-25
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,33,58,2019-06-25
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,86,159,2019-06-25
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,95,175,2019-06-25
Home & Garden/Do-It-Yourselfers,89,172,2019-06-25
Home & Garden/Home Decor Enthusiasts,33,48,2019-06-25
Lifestyles & Hobbies/Art & Theater Aficionados,96,175,2019-06-25
Lifestyles & Hobbies/Business Professionals,120,215,2019-06-25
Lifestyles & Hobbies/Family-Focused,30,52,2019-06-25
Lifestyles & Hobbies/Fashionistas,55,90,2019-06-25
Lifestyles & Hobbies/Frequently Attends Live Events,68,121,2019-06-25
Lifestyles & Hobbies/Green Living Enthusiasts,96,167,2019-06-25
Lifestyles & Hobbies/Nightlife Enthusiasts,92,172,2019-06-25
Lifestyles & Hobbies/Outdoor Enthusiasts,84,155,2019-06-25
Lifestyles & Hobbies/Pet Lovers,34,58,2019-06-25
Lifestyles & Hobbies/Shutterbugs,108,198,2019-06-25
Lifestyles & Hobbies/Thrill Seekers,44,84,2019-06-25
Media & Entertainment/Book Lovers,53,94,2019-06-25
Media & Entertainment/Comics & Animation Fans,86,155,2019-06-25
Media & Entertainment/Gamers,83,153,2019-06-25
Media & Entertainment/Gamers/Action Game Fans,29,52,2019-06-25
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,40,71,2019-06-25
Media & Entertainment/Gamers/Casual & Social Gamers,25,46,2019-06-25
Media & Entertainment/Gamers/Hardcore Gamers,59,100,2019-06-25
Media & Entertainment/Gamers/Roleplaying Game Fans,39,77,2019-06-25
Media & Entertainment/Gamers/Shooter Game Fans,14,24,2019-06-25
Media & Entertainment/Light TV Viewers,109,208,2019-06-25
Media & Entertainment/Movie Lovers,142,261,2019-06-25
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,32,54,2019-06-25
Media & Entertainment/Movie Lovers/Family Movie Fans,15,27,2019-06-25
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,17,23,2019-06-25
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,29,54,2019-06-25
Media & Entertainment/Music Lovers,140,252,2019-06-25
Media & Entertainment/Music Lovers/Classical Music Enthusiasts,15,29,2019-06-25
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,25,39,2019-06-25
Media & Entertainment/Music Lovers/Indie & Alternative Rock Fans,16,27,2019-06-25
Media & Entertainment/Music Lovers/Pop Music Fans,74,137,2019-06-25
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,35,67,2019-06-25
Media & Entertainment/Music Lovers/Rock Music Fans,22,36,2019-06-25
Media & Entertainment/Music Lovers/World Music Fans,72,126,2019-06-25
Media & Entertainment/TV Lovers,32,44,2019-06-25
"Media & Entertainment/TV Lovers/Game, Reality & Talk Show Fans",17,21,2019-06-25
Media & Entertainment/TV Lovers/TV Drama Fans,20,28,2019-06-25
News & Politics/Avid News Readers,65,117,2019-06-25
News & Politics/Avid News Readers/Avid Business News Readers,41,77,2019-06-25
News & Politics/Avid News Readers/Avid Political News Readers,81,150,2019-06-25
News & Politics/Avid News Readers/Entertainment News Enthusiasts,39,68,2019-06-25
Shoppers/Bargain Hunters,24,35,2019-06-25
Shoppers/Luxury Shoppers,114,202,2019-06-25
Shoppers/Shopaholics,46,77,2019-06-25
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,21,36,2019-06-25
Shoppers/Shoppers by Store Type/Department Store Shoppers,49,73,2019-06-25
Shoppers/Value Shoppers,136,239,2019-06-25
Sports & Fitness/Health & Fitness Buffs,134,251,2019-06-25
Sports & Fitness/Sports Fans,101,186,2019-06-25
Sports & Fitness/Sports Fans/Baseball Fans,31,56,2019-06-25
Sports & Fitness/Sports Fans/Basketball Fans,39,63,2019-06-25
Technology/Mobile Enthusiasts,91,174,2019-06-25
Technology/Social Media Enthusiasts,20,28,2019-06-25
Technology/Technophiles,144,267,2019-06-25
Travel/Business Travelers,119,217,2019-06-25
Travel/Travel Buffs,58,94,2019-06-25
Vehicles & Transportation/Auto Enthusiasts,49,84,2019-06-25
Banking & Finance/Avid Investors,67,111,2019-06-26
Beauty & Wellness/Beauty Mavens,27,46,2019-06-26
Beauty & Wellness/Frequently Visits Salons,89,147,2019-06-26
Food & Dining/Coffee Shop Regulars,58,112,2019-06-26
Food & Dining/Cooking Enthusiasts,47,76,2019-06-26
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,48,78,2019-06-26
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,29,52,2019-06-26
Food & Dining/Fast Food Cravers,62,113,2019-06-26
Food & Dining/Foodies,50,94,2019-06-26
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,28,48,2019-06-26
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,71,127,2019-06-26
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,83,152,2019-06-26
Home & Garden/Do-It-Yourselfers,87,146,2019-06-26
Home & Garden/Home Decor Enthusiasts,25,45,2019-06-26
Lifestyles & Hobbies/Art & Theater Aficionados,82,152,2019-06-26
Lifestyles & Hobbies/Business Professionals,106,173,2019-06-26
Lifestyles & Hobbies/Family-Focused,41,72,2019-06-26
Lifestyles & Hobbies/Fashionistas,47,82,2019-06-26
Lifestyles & Hobbies/Frequently Attends Live Events,61,105,2019-06-26
Lifestyles & Hobbies/Green Living Enthusiasts,87,151,2019-06-26
Lifestyles & Hobbies/Nightlife Enthusiasts,77,139,2019-06-26
Lifestyles & Hobbies/Outdoor Enthusiasts,88,136,2019-06-26
Lifestyles & Hobbies/Pet Lovers,28,54,2019-06-26
Lifestyles & Hobbies/Shutterbugs,93,163,2019-06-26
Lifestyles & Hobbies/Thrill Seekers,36,62,2019-06-26
Media & Entertainment/Book Lovers,39,73,2019-06-26
Media & Entertainment/Comics & Animation Fans,82,150,2019-06-26
Media & Entertainment/Gamers,71,133,2019-06-26
Media & Entertainment/Gamers/Action Game Fans,23,42,2019-06-26
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,38,67,2019-06-26
Media & Entertainment/Gamers/Casual & Social Gamers,23,42,2019-06-26
Media & Entertainment/Gamers/Hardcore Gamers,51,95,2019-06-26
Media & Entertainment/Gamers/Roleplaying Game Fans,39,70,2019-06-26
Media & Entertainment/Light TV Viewers,90,161,2019-06-26
Media & Entertainment/Movie Lovers,121,217,2019-06-26
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,19,34,2019-06-26
Media & Entertainment/Movie Lovers/Family Movie Fans,15,37,2019-06-26
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,18,31,2019-06-26
Media & Entertainment/Music Lovers,120,215,2019-06-26
Media & Entertainment/Music Lovers/Classical Music Enthusiasts,12,27,2019-06-26
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,11,18,2019-06-26
Media & Entertainment/Music Lovers/Pop Music Fans,63,132,2019-06-26
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,26,51,2019-06-26
Media & Entertainment/Music Lovers/Rock Music Fans,12,21,2019-06-26
Media & Entertainment/Music Lovers/World Music Fans,61,128,2019-06-26
Media & Entertainment/TV Lovers,27,47,2019-06-26
"Media & Entertainment/TV Lovers/Game, Reality & Talk Show Fans",14,26,2019-06-26
Media & Entertainment/TV Lovers/TV Drama Fans,19,36,2019-06-26
News & Politics/Avid News Readers,54,95,2019-06-26
News & Politics/Avid News Readers/Avid Business News Readers,30,60,2019-06-26
News & Politics/Avid News Readers/Avid Political News Readers,74,120,2019-06-26
News & Politics/Avid News Readers/Entertainment News Enthusiasts,26,52,2019-06-26
Shoppers/Bargain Hunters,19,26,2019-06-26
Shoppers/Luxury Shoppers,95,165,2019-06-26
Shoppers/Shopaholics,40,69,2019-06-26
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,14,27,2019-06-26
Shoppers/Shoppers by Store Type/Department Store Shoppers,43,77,2019-06-26
Shoppers/Value Shoppers,119,210,2019-06-26
Sports & Fitness/Health & Fitness Buffs,124,218,2019-06-26
Sports & Fitness/Sports Fans,83,135,2019-06-26
Sports & Fitness/Sports Fans/Baseball Fans,22,31,2019-06-26
