browser,vistornum,sessionnum,logdate
Android Webview,2,2,2019-07-07
Chrome,244,505,2019-07-07
e.ventures Investment Crawler,1,1,2019-07-07
Edge,7,11,2019-07-07
Firefox,10,25,2019-07-07
Internet Explorer,2,2,2019-07-07
Opera,1,1,2019-07-07
Safari,23,38,2019-07-07
Safari (in-app),3,5,2019-07-07
UC Browser,8,8,2019-07-07
Android Webview,2,2,2019-07-08
Chrome,375,694,2019-07-08
Edge,8,12,2019-07-08
Firefox,12,21,2019-07-08
Internet Explorer,5,10,2019-07-08
Opera,1,1,2019-07-08
Safari,31,56,2019-07-08
Safari (in-app),6,7,2019-07-08
UC Browser,3,3,2019-07-08
YaBrowser,1,1,2019-07-08
Android Webview,4,4,2019-07-09
Chrome,345,659,2019-07-09
Edge,11,16,2019-07-09
Firefox,7,12,2019-07-09
Internet Explorer,1,1,2019-07-09
Safari,32,50,2019-07-09
Safari (in-app),2,2,2019-07-09
YaBrowser,1,3,2019-07-09
Android Webview,2,2,2019-07-10
Chrome,351,614,2019-07-10
Edge,6,8,2019-07-10
Firefox,7,11,2019-07-10
Internet Explorer,4,4,2019-07-10
Opera,1,2,2019-07-10
Safari,25,45,2019-07-10
Safari (in-app),1,1,2019-07-10
YaBrowser,1,1,2019-07-10
Android Webview,7,7,2019-07-11
Chrome,383,690,2019-07-11
Edge,8,12,2019-07-11
Firefox,12,18,2019-07-11
Safari,34,52,2019-07-11
Safari (in-app),18,19,2019-07-11
Samsung Internet,2,2,2019-07-11
UC Browser,8,8,2019-07-11
YaBrowser,1,2,2019-07-11
Android Webview,2,2,2019-07-12
Chrome,305,589,2019-07-12
Edge,5,8,2019-07-12
Firefox,12,14,2019-07-12
Internet Explorer,3,3,2019-07-12
Opera,1,1,2019-07-12
Safari,34,53,2019-07-12
Safari (in-app),7,7,2019-07-12
UC Browser,1,1,2019-07-12
YaBrowser,1,2,2019-07-12
Android Webview,5,5,2019-07-13
Chrome,247,488,2019-07-13
Edge,5,10,2019-07-13
Firefox,8,10,2019-07-13
Internet Explorer,2,2,2019-07-13
Opera,2,2,2019-07-13
Safari,30,58,2019-07-13
Safari (in-app),5,6,2019-07-13
UC Browser,6,6,2019-07-13
