browser,vistornum,sessionnum,logdate
Android Webview,4,4,2019-07-21
Chrome,267,553,2019-07-21
Edge,6,10,2019-07-21
Firefox,9,15,2019-07-21
Internet Explorer,2,3,2019-07-21
Opera,1,2,2019-07-21
Safari,35,54,2019-07-21
Safari (in-app),5,6,2019-07-21
Samsung Internet,1,2,2019-07-21
UC Browser,8,8,2019-07-21
Android Webview,1,1,2019-07-22
Chrome,380,681,2019-07-22
Edge,10,14,2019-07-22
Firefox,13,23,2019-07-22
Internet Explorer,2,2,2019-07-22
Opera,3,3,2019-07-22
Safari,34,63,2019-07-22
Safari (in-app),3,3,2019-07-22
Android Webview,12,12,2019-07-23
Chrome,380,698,2019-07-23
Edge,14,31,2019-07-23
Firefox,11,17,2019-07-23
Internet Explorer,2,2,2019-07-23
Opera,1,2,2019-07-23
Safari,31,70,2019-07-23
Safari (in-app),5,5,2019-07-23
Android Webview,4,4,2019-07-24
Chrome,360,623,2019-07-24
Edge,12,22,2019-07-24
Firefox,7,12,2019-07-24
Internet Explorer,6,6,2019-07-24
Mozilla Compatible Agent,1,1,2019-07-24
Opera,3,4,2019-07-24
Safari,34,56,2019-07-24
Safari (in-app),4,4,2019-07-24
Samsung Internet,1,1,2019-07-24
UC Browser,9,9,2019-07-24
Android Webview,4,4,2019-07-25
Chrome,359,635,2019-07-25
Edge,7,12,2019-07-25
Firefox,18,30,2019-07-25
Internet Explorer,2,2,2019-07-25
Opera,2,2,2019-07-25
Safari,37,63,2019-07-25
Safari (in-app),2,2,2019-07-25
(not set),1,1,2019-07-26
Android Webview,3,3,2019-07-26
Chrome,326,545,2019-07-26
Edge,9,16,2019-07-26
Firefox,13,19,2019-07-26
Internet Explorer,3,3,2019-07-26
Opera,2,4,2019-07-26
Safari,26,37,2019-07-26
Safari (in-app),5,6,2019-07-26
Samsung Internet,1,1,2019-07-26
UC Browser,1,1,2019-07-26
Android Webview,4,4,2019-07-27
Chrome,219,409,2019-07-27
Edge,9,14,2019-07-27
Firefox,8,14,2019-07-27
Opera,1,1,2019-07-27
Safari,24,33,2019-07-27
Safari (in-app),3,5,2019-07-27
UC Browser,9,9,2019-07-27
