assistid,mrscid,mrsname,newsid,newstitle,bucketgrpids,bucketids,influencerids,timestamp,logdate
ai_tw,C3411361,張天陽,68747470733A2F2F7777772E6A6971697A686978696E2E636F6D2F61727469636C65732F323031392D30372D3035,「2+5」：一文說清百度產業智能化 | 機器之心,"['WhiteCollar_tw', 'business_tw', 'tech_tw']","['management_tw', 'robot_tw']",['0000015EBC10BCDC000000016375706F795F72656C65617365494E464C55'],1562321362709,2019-07-05
ai_tw,C3411361,張天陽,68747470733A2F2F7777772E6974686F6D652E636F6D2E74772F6E6577732F313331373036,AI趨勢周報第91期：英特爾聯手百度，要開發AI神經網路處理器加速DL模型訓練 | iThome,"['WhiteCollar_tw', 'business_tw', 'tech_tw']","['marketing_tw', 'robot_tw']",['000001579E138131000000476375706F795F72656C65617365494E464C55'],1562324836488,2019-07-05
