assistid,mrscid,mrsname,newsid,newstitle,bucketgrpids,bucketids,influencerids,timestamp,logdate
ai_tw,13412488,蕭琮寶,68747470733A2F2F7777772E6A6971697A686978696E2E636F6D2F61727469636C65732F3139303730373031,高中就開始學的正態分布，原來如此重要 | 機器之心,['tech_tw'],['robot_tw'],['0000015EBC10BCDC000000016375706F795F72656C65617365494E464C55'],1562509756755,2019-07-07
ai_tw,14810831,Jimmy,68747470733A2F2F7777772E6A6971697A686978696E2E636F6D2F61727469636C65732F3139303730373031,高中就開始學的正態分布，原來如此重要 | 機器之心,['tech_tw'],['robot_tw'],['0000015EBC10BCDC000000016375706F795F72656C65617365494E464C55'],1562551066743,2019-07-08
