operatingSystem,vistornum,sessionnum,logdate
Linux,2,4,2019-07-20
Macintosh,55,107,2019-07-20
Windows,197,424,2019-07-20
Android,28,37,2019-07-21
iOS,31,38,2019-07-21
Linux,9,10,2019-07-21
Macintosh,53,116,2019-07-21
Windows,217,456,2019-07-21
Android,22,26,2019-07-22
iOS,19,21,2019-07-22
Linux,9,12,2019-07-22
Macintosh,86,175,2019-07-22
Windows,310,556,2019-07-22
Android,30,30,2019-07-23
iOS,13,21,2019-07-23
Linux,3,6,2019-07-23
Macintosh,83,174,2019-07-23
Windows,327,606,2019-07-23
(not set),1,1,2019-07-24
Android,33,35,2019-07-24
iOS,25,25,2019-07-24
Linux,10,13,2019-07-24
Macintosh,74,156,2019-07-24
Windows,298,512,2019-07-24
Android,23,26,2019-07-25
iOS,23,31,2019-07-25
Linux,6,7,2019-07-25
Macintosh,81,162,2019-07-25
Windows,298,524,2019-07-25
(not set),1,1,2019-07-26
Android,27,30,2019-07-26
iOS,21,22,2019-07-26
Linux,7,9,2019-07-26
Macintosh,69,123,2019-07-26
Windows,265,451,2019-07-26
Android,26,30,2019-07-27
iOS,20,25,2019-07-27
Linux,2,3,2019-07-27
Macintosh,39,82,2019-07-27
Windows,190,349,2019-07-27
Android,28,31,2019-07-28
iOS,23,28,2019-07-28
Linux,2,2,2019-07-28
Macintosh,46,100,2019-07-28
Windows,183,373,2019-07-28
Android,18,20,2019-07-29
iOS,27,34,2019-07-29
Linux,4,7,2019-07-29
Macintosh,71,146,2019-07-29
Windows,285,519,2019-07-29
Android,27,29,2019-07-30
iOS,29,30,2019-07-30
Linux,6,10,2019-07-30
Macintosh,80,159,2019-07-30
Windows,310,548,2019-07-30
Android,24,27,2019-07-31
iOS,39,46,2019-07-31
Linux,5,5,2019-07-31
Macintosh,63,120,2019-07-31
Windows,276,455,2019-07-31
Android,53,67,2019-08-01
iOS,56,64,2019-08-01
Linux,15,18,2019-08-01
Macintosh,108,203,2019-08-01
Windows,439,725,2019-08-01
Android,34,42,2019-08-02
iOS,42,51,2019-08-02
Linux,6,7,2019-08-02
Macintosh,96,185,2019-08-02
Windows,403,684,2019-08-02
Android,29,33,2019-08-03
iOS,31,35,2019-08-03
Linux,4,6,2019-08-03
Macintosh,53,106,2019-08-03
Windows,236,433,2019-08-03
Android,27,29,2019-08-04
iOS,20,27,2019-08-04
Linux,6,10,2019-08-04
Macintosh,63,115,2019-08-04
Windows,254,488,2019-08-04
Android,34,39,2019-08-05
iOS,43,57,2019-08-05
Linux,13,15,2019-08-05
Macintosh,94,204,2019-08-05
Windows,389,672,2019-08-05
Android,29,40,2019-08-06
iOS,39,49,2019-08-06
Linux,14,30,2019-08-06
Macintosh,94,189,2019-08-06
Windows,375,667,2019-08-06
Android,37,54,2019-08-07
iOS,45,52,2019-08-07
Linux,8,16,2019-08-07
Macintosh,97,172,2019-08-07
Windows,372,660,2019-08-07
(not set),1,1,2019-08-08
Android,30,34,2019-08-08
iOS,26,27,2019-08-08
Linux,12,19,2019-08-08
Macintosh,79,144,2019-08-08
Windows,333,581,2019-08-08
Android,26,31,2019-08-09
iOS,43,57,2019-08-09
Linux,4,6,2019-08-09
Macintosh,75,125,2019-08-09
Windows,287,538,2019-08-09
Android,47,58,2019-08-10
iOS,27,31,2019-08-10
Linux,9,16,2019-08-10
Macintosh,67,114,2019-08-10
Windows,234,465,2019-08-10
Android,35,39,2019-08-11
iOS,34,46,2019-08-11
Linux,7,10,2019-08-11
Macintosh,66,121,2019-08-11
Windows,282,524,2019-08-11
Android,37,51,2019-08-12
iOS,50,63,2019-08-12
Linux,7,8,2019-08-12
Macintosh,109,201,2019-08-12
Windows,373,740,2019-08-12
Android,38,39,2019-08-13
iOS,39,45,2019-08-13
Linux,7,8,2019-08-13
Macintosh,100,175,2019-08-13
Windows,418,760,2019-08-13
Android,27,31,2019-08-14
iOS,28,34,2019-08-14
Linux,7,8,2019-08-14
Macintosh,84,129,2019-08-14
Windows,351,611,2019-08-14
Android,25,36,2019-08-15
iOS,34,42,2019-08-15
Linux,8,8,2019-08-15
Macintosh,93,152,2019-08-15
Windows,345,588,2019-08-15
Android,30,38,2019-08-16
iOS,23,28,2019-08-16
Linux,6,6,2019-08-16
Macintosh,66,100,2019-08-16
Windows,313,515,2019-08-16
(not set),1,1,2019-08-17
Android,27,33,2019-08-17
Chrome OS,1,1,2019-08-17
iOS,28,32,2019-08-17
Linux,3,3,2019-08-17
Macintosh,52,98,2019-08-17
Windows,260,444,2019-08-17
Android,36,44,2019-08-18
iOS,44,51,2019-08-18
Linux,4,7,2019-08-18
Macintosh,65,110,2019-08-18
Windows,241,442,2019-08-18
Android,45,57,2019-08-19
iOS,40,47,2019-08-19
Linux,6,7,2019-08-19
Macintosh,94,155,2019-08-19
Windows,388,678,2019-08-19
Android,47,56,2019-08-20
iOS,43,50,2019-08-20
Linux,8,12,2019-08-20
Macintosh,79,114,2019-08-20
Windows,368,624,2019-08-20
Android,38,51,2019-08-21
iOS,29,34,2019-08-21
Linux,8,11,2019-08-21
Macintosh,87,131,2019-08-21
Windows,369,557,2019-08-21
Android,38,53,2019-08-22
iOS,41,55,2019-08-22
Linux,7,11,2019-08-22
Macintosh,91,135,2019-08-22
Tizen,1,1,2019-08-22
Windows,369,550,2019-08-22
Android,36,51,2019-08-23
iOS,30,40,2019-08-23
Linux,8,8,2019-08-23
Macintosh,60,90,2019-08-23
Windows,281,431,2019-08-23
(not set),1,1,2019-08-24
Android,30,35,2019-08-24
iOS,46,59,2019-08-24
Linux,3,3,2019-08-24
Macintosh,60,86,2019-08-24
Windows,246,405,2019-08-24
Android,30,33,2019-08-25
iOS,47,68,2019-08-25
Linux,6,7,2019-08-25
Macintosh,82,142,2019-08-25
Windows,341,593,2019-08-25
Android,107,135,2019-08-26
iOS,126,173,2019-08-26
Linux,16,23,2019-08-26
Macintosh,171,304,2019-08-26
Windows,746,1432,2019-08-26
Android,75,104,2019-08-27
iOS,91,117,2019-08-27
Linux,17,28,2019-08-27
Macintosh,163,279,2019-08-27
Windows,734,1322,2019-08-27
Android,57,70,2019-08-28
iOS,57,82,2019-08-28
Linux,17,24,2019-08-28
Macintosh,150,245,2019-08-28
Windows,623,1019,2019-08-28
Android,75,106,2019-08-29
iOS,66,92,2019-08-29
Linux,16,20,2019-08-29
Macintosh,157,293,2019-08-29
Windows,623,1153,2019-08-29
