operatingSystem,vistornum,sessionnum,logdate
Android,28,37,2019-07-21
iOS,31,38,2019-07-21
Linux,9,10,2019-07-21
Macintosh,53,116,2019-07-21
Windows,217,456,2019-07-21
Android,22,26,2019-07-22
iOS,19,21,2019-07-22
Linux,9,12,2019-07-22
Macintosh,86,175,2019-07-22
Windows,310,556,2019-07-22
Android,30,30,2019-07-23
iOS,13,21,2019-07-23
Linux,3,6,2019-07-23
Macintosh,83,174,2019-07-23
Windows,327,606,2019-07-23
(not set),1,1,2019-07-24
Android,33,35,2019-07-24
iOS,25,25,2019-07-24
Linux,10,13,2019-07-24
Macintosh,74,156,2019-07-24
Windows,298,512,2019-07-24
Android,23,26,2019-07-25
iOS,23,31,2019-07-25
Linux,6,7,2019-07-25
Macintosh,81,162,2019-07-25
Windows,298,524,2019-07-25
(not set),1,1,2019-07-26
Android,27,30,2019-07-26
iOS,21,22,2019-07-26
Linux,7,9,2019-07-26
Macintosh,69,123,2019-07-26
Windows,265,451,2019-07-26
Android,26,30,2019-07-27
iOS,20,25,2019-07-27
Linux,2,3,2019-07-27
Macintosh,39,82,2019-07-27
Windows,190,349,2019-07-27
