operatingSystem,vistornum,sessionnum,logdate
(not set),1,1,2019-07-07
Android,23,32,2019-07-07
iOS,14,18,2019-07-07
Linux,5,9,2019-07-07
Macintosh,54,111,2019-07-07
Windows,204,427,2019-07-07
Android,14,17,2019-07-08
iOS,19,21,2019-07-08
Linux,10,12,2019-07-08
Macintosh,87,168,2019-07-08
Windows,314,589,2019-07-08
Android,12,13,2019-07-09
iOS,21,26,2019-07-09
Linux,7,13,2019-07-09
Macintosh,68,135,2019-07-09
Windows,295,560,2019-07-09
Android,13,18,2019-07-10
iOS,10,10,2019-07-10
Linux,7,19,2019-07-10
Macintosh,83,155,2019-07-10
Windows,285,486,2019-07-10
Android,32,34,2019-07-11
iOS,35,38,2019-07-11
Linux,9,12,2019-07-11
Macintosh,78,152,2019-07-11
Windows,319,574,2019-07-11
Android,24,34,2019-07-12
iOS,25,31,2019-07-12
Linux,7,9,2019-07-12
Macintosh,72,145,2019-07-12
Windows,243,461,2019-07-12
Android,27,35,2019-07-13
iOS,26,30,2019-07-13
Linux,8,16,2019-07-13
Macintosh,45,99,2019-07-13
Windows,204,407,2019-07-13
