daysSinceLastSession,vistornum,sessionnum,pvnum,logdate
0,257,519,3546,2019-07-21
1,48,48,294,2019-07-21
10,3,3,5,2019-07-21
11,2,2,13,2019-07-21
12,1,1,1,2019-07-21
14,1,1,1,2019-07-21
16,1,1,1,2019-07-21
17,1,1,0,2019-07-21
19,1,1,9,2019-07-21
2,23,23,178,2019-07-21
21,2,2,10,2019-07-21
22,1,1,24,2019-07-21
24,1,1,0,2019-07-21
3,11,11,107,2019-07-21
35,1,1,1,2019-07-21
4,10,10,90,2019-07-21
48,1,1,2,2019-07-21
49,1,1,5,2019-07-21
5,7,7,40,2019-07-21
57,1,1,1,2019-07-21
6,6,6,38,2019-07-21
62,1,1,4,2019-07-21
7,2,2,17,2019-07-21
8,7,7,41,2019-07-21
83,1,1,5,2019-07-21
9,4,4,12,2019-07-21
0,309,552,3857,2019-07-22
1,58,58,467,2019-07-22
10,5,5,21,2019-07-22
102,1,1,28,2019-07-22
11,5,5,32,2019-07-22
12,1,1,8,2019-07-22
14,1,1,1,2019-07-22
15,1,1,3,2019-07-22
16,3,3,9,2019-07-22
17,1,1,1,2019-07-22
2,52,52,363,2019-07-22
20,1,1,22,2019-07-22
25,1,1,1,2019-07-22
27,1,1,2,2019-07-22
28,1,1,2,2019-07-22
29,2,2,45,2019-07-22
3,45,45,294,2019-07-22
32,1,1,2,2019-07-22
37,1,1,1,2019-07-22
4,23,23,132,2019-07-22
45,1,1,8,2019-07-22
48,2,2,10,2019-07-22
5,15,15,151,2019-07-22
50,1,1,6,2019-07-22
6,8,8,15,2019-07-22
7,4,4,19,2019-07-22
8,2,2,8,2019-07-22
9,1,1,5,2019-07-22
0,362,689,4824,2019-07-23
1,55,55,348,2019-07-23
10,1,1,4,2019-07-23
11,2,2,3,2019-07-23
12,3,3,25,2019-07-23
13,1,1,4,2019-07-23
14,1,1,3,2019-07-23
16,1,1,3,2019-07-23
17,1,1,0,2019-07-23
18,1,1,55,2019-07-23
19,2,2,13,2019-07-23
2,23,23,129,2019-07-23
22,1,1,5,2019-07-23
25,1,1,4,2019-07-23
