daysSinceLastSession,vistornum,sessionnum,pvnum,logdate
0,229,469,2827,2019-07-07
1,38,38,190,2019-07-07
10,1,1,2,2019-07-07
12,2,2,29,2019-07-07
13,3,3,25,2019-07-07
15,2,2,28,2019-07-07
16,1,1,9,2019-07-07
18,1,1,9,2019-07-07
2,27,27,141,2019-07-07
21,2,2,16,2019-07-07
27,1,1,1,2019-07-07
29,1,1,2,2019-07-07
3,17,17,180,2019-07-07
38,1,1,1,2019-07-07
4,4,4,27,2019-07-07
41,1,1,14,2019-07-07
44,1,1,2,2019-07-07
5,7,7,65,2019-07-07
6,12,12,80,2019-07-07
7,6,6,111,2019-07-07
8,1,1,3,2019-07-07
0,301,558,3903,2019-07-08
1,69,69,593,2019-07-08
10,3,3,8,2019-07-08
11,3,3,53,2019-07-08
12,1,1,27,2019-07-08
13,1,1,0,2019-07-08
14,3,3,11,2019-07-08
16,2,2,6,2019-07-08
17,1,1,1,2019-07-08
18,1,1,2,2019-07-08
2,61,61,446,2019-07-08
20,2,2,3,2019-07-08
21,1,1,3,2019-07-08
24,1,1,8,2019-07-08
28,1,1,4,2019-07-08
3,38,38,298,2019-07-08
33,3,3,12,2019-07-08
34,1,1,3,2019-07-08
35,1,1,1,2019-07-08
38,1,1,2,2019-07-08
4,23,23,225,2019-07-08
45,1,1,10,2019-07-08
5,14,14,145,2019-07-08
51,2,2,3,2019-07-08
57,1,1,6,2019-07-08
6,8,8,19,2019-07-08
64,1,1,32,2019-07-08
7,4,4,19,2019-07-08
8,1,1,1,2019-07-08
0,314,611,4411,2019-07-09
1,52,52,723,2019-07-09
10,3,3,63,2019-07-09
11,1,1,3,2019-07-09
12,3,3,27,2019-07-09
13,1,1,4,2019-07-09
14,1,1,5,2019-07-09
2,14,14,121,2019-07-09
22,1,1,12,2019-07-09
25,1,1,1,2019-07-09
26,1,1,1,2019-07-09
3,12,12,134,2019-07-09
34,1,1,1,2019-07-09
4,14,14,136,2019-07-09
45,1,1,10,2019-07-09
