daysSinceLastSession,vistornum,sessionnum,pvnum,logdate
0,236,510,3907,2019-07-14
1,33,33,195,2019-07-14
10,4,4,81,2019-07-14
11,2,2,4,2019-07-14
12,3,3,139,2019-07-14
13,2,2,27,2019-07-14
14,5,5,21,2019-07-14
15,2,2,2,2019-07-14
16,2,2,31,2019-07-14
18,2,2,2,2019-07-14
2,23,23,172,2019-07-14
20,2,2,24,2019-07-14
21,1,1,2,2019-07-14
22,1,1,1,2019-07-14
3,16,16,129,2019-07-14
31,1,1,1,2019-07-14
4,10,10,40,2019-07-14
5,5,5,14,2019-07-14
55,1,1,1,2019-07-14
58,2,2,6,2019-07-14
6,8,8,184,2019-07-14
63,1,1,1,2019-07-14
7,7,7,23,2019-07-14
8,3,3,41,2019-07-14
88,2,2,5,2019-07-14
9,3,3,88,2019-07-14
91,1,1,12,2019-07-14
0,322,552,4628,2019-07-15
1,63,63,405,2019-07-15
10,3,3,8,2019-07-15
11,4,4,15,2019-07-15
14,5,5,98,2019-07-15
15,1,1,3,2019-07-15
16,1,1,1,2019-07-15
17,1,1,13,2019-07-15
2,62,62,472,2019-07-15
20,1,1,1,2019-07-15
21,1,1,1,2019-07-15
22,1,1,6,2019-07-15
25,1,1,2,2019-07-15
26,1,1,24,2019-07-15
27,1,1,5,2019-07-15
3,43,43,317,2019-07-15
32,1,1,1,2019-07-15
37,2,2,5,2019-07-15
39,1,1,1,2019-07-15
4,19,19,84,2019-07-15
46,1,1,1,2019-07-15
5,7,7,62,2019-07-15
52,1,1,0,2019-07-15
6,7,7,56,2019-07-15
7,4,4,15,2019-07-15
72,1,1,17,2019-07-15
8,3,3,20,2019-07-15
81,1,1,2,2019-07-15
82,1,1,1,2019-07-15
9,2,2,3,2019-07-15
0,341,632,4538,2019-07-16
1,52,52,504,2019-07-16
10,1,1,2,2019-07-16
11,3,3,6,2019-07-16
13,2,2,5,2019-07-16
14,3,3,3,2019-07-16
15,1,1,2,2019-07-16
16,1,1,1,2019-07-16
17,2,2,5,2019-07-16
2,23,23,168,2019-07-16
20,1,1,6,2019-07-16
21,1,1,4,2019-07-16
26,1,1,3,2019-07-16
27,1,1,14,2019-07-16
28,1,1,5,2019-07-16
29,2,2,7,2019-07-16
3,15,15,79,2019-07-16
34,1,1,3,2019-07-16
35,1,1,1,2019-07-16
37,1,1,1,2019-07-16
4,13,13,103,2019-07-16
43,1,1,13,2019-07-16
44,1,1,39,2019-07-16
45,1,1,0,2019-07-16
46,1,1,16,2019-07-16
47,1,1,4,2019-07-16
5,9,9,64,2019-07-16
54,1,1,2,2019-07-16
56,1,1,3,2019-07-16
6,5,5,44,2019-07-16
61,1,1,5,2019-07-16
63,1,1,11,2019-07-16
7,6,6,37,2019-07-16
70,1,1,8,2019-07-16
8,3,3,54,2019-07-16
87,1,1,3,2019-07-16
89,1,1,1,2019-07-16
9,4,4,19,2019-07-16
0,311,545,3344,2019-07-17
1,66,67,413,2019-07-17
11,3,3,19,2019-07-17
12,1,1,4,2019-07-17
13,1,1,1,2019-07-17
14,4,4,29,2019-07-17
15,3,3,32,2019-07-17
16,2,2,12,2019-07-17
18,2,2,10,2019-07-17
2,14,14,83,2019-07-17
21,1,1,1,2019-07-17
23,2,2,5,2019-07-17
24,1,1,3,2019-07-17
29,1,1,1,2019-07-17
3,12,12,117,2019-07-17
33,2,2,11,2019-07-17
35,2,2,11,2019-07-17
39,1,1,3,2019-07-17
4,9,9,126,2019-07-17
5,10,10,89,2019-07-17
53,1,1,50,2019-07-17
56,1,1,1,2019-07-17
6,3,3,13,2019-07-17
63,1,1,2,2019-07-17
