referrelsite,vistornum,sessionnum,logdate
(direct),363,642,2019-06-03
accupass.com,14,24,2019-06-03
analytics.google.com,1,5,2019-06-03
Facebook_PicSee,24,40,2019-06-03
facebook.com,14,24,2019-06-03
github.com,3,7,2019-06-03
google,127,210,2019-06-03
hackmd.io,1,2,2019-06-03
l.facebook.com,11,21,2019-06-03
mail.google.com,1,1,2019-06-03
mail.yahoo.com,2,5,2019-06-03
maxlist.xyz,1,3,2019-06-03
msn.com,1,4,2019-06-03
sg2000.webmail.hinet.net,1,3,2019-06-03
sogou,1,1,2019-06-03
tw.search.yahoo.com,1,1,2019-06-03
wlan.cc.ncu.edu.tw,1,3,2019-06-03
(direct),331,595,2019-06-04
accupass.com,14,19,2019-06-04
ai100.taocart.com,1,2,2019-06-04
analytics.google.com,1,4,2019-06-04
Facebook_PicSee,20,36,2019-06-04
facebook.com,12,20,2019-06-04
github.com,3,9,2019-06-04
google,129,191,2019-06-04
hackmd.io,1,1,2019-06-04
l.facebook.com,7,15,2019-06-04
m.facebook.com,2,2,2019-06-04
mail.yahoo.com,1,1,2019-06-04
maxlist.xyz,1,2,2019-06-04
msn.com,2,2,2019-06-04
sg2000.webmail.hinet.net,1,3,2019-06-04
sogou,2,2,2019-06-04
tw.search.yahoo.com,1,1,2019-06-04
wlan.cc.ncu.edu.tw,1,2,2019-06-04
(direct),300,500,2019-06-05
accupass.com,13,22,2019-06-05
ai100.taocart.com,1,3,2019-06-05
analytics.google.com,1,6,2019-06-05
e-hentai.org,1,1,2019-06-05
elearning.yuntech.edu.tw,3,3,2019-06-05
Facebook_PicSee,21,37,2019-06-05
facebook.com,12,23,2019-06-05
github.com,2,3,2019-06-05
google,128,192,2019-06-05
hackmd.io,1,2,2019-06-05
l.facebook.com,9,16,2019-06-05
local.taocart.com,1,1,2019-06-05
mail.yahoo.com,3,4,2019-06-05
maxlist.xyz,2,2,2019-06-05
msn.com,2,3,2019-06-05
wlan.cc.ncu.edu.tw,1,2,2019-06-05
(direct),265,441,2019-06-06
accupass.com,6,16,2019-06-06
ai100.taocart.com,1,0,2019-06-06
analytics.google.com,1,6,2019-06-06
bing,1,1,2019-06-06
Facebook_PicSee,24,40,2019-06-06
facebook.com,12,22,2019-06-06
github.com,3,4,2019-06-06
google,112,182,2019-06-06
l.facebook.com,10,19,2019-06-06
lm.facebook.com,1,2,2019-06-06
m.facebook.com,1,1,2019-06-06
mail.yahoo.com,2,3,2019-06-06
maxlist.xyz,1,1,2019-06-06
msn.com,1,6,2019-06-06
paper.dropbox.com,1,1,2019-06-06
so.com,1,1,2019-06-06
tw.search.yahoo.com,2,2,2019-06-06
wlan.cc.ncu.edu.tw,1,2,2019-06-06
(direct),230,444,2019-06-07
accupass.com,7,16,2019-06-07
Facebook_PicSee,15,34,2019-06-07
facebook.com,16,32,2019-06-07
github.com,3,7,2019-06-07
google,86,153,2019-06-07
l.facebook.com,8,20,2019-06-07
m.facebook.com,2,3,2019-06-07
msn.com,2,6,2019-06-07
paper.dropbox.com,1,1,2019-06-07
tw.search.yahoo.com,1,1,2019-06-07
wlan.cc.ncu.edu.tw,1,2,2019-06-07
(direct),199,448,2019-06-08
accupass.com,8,23,2019-06-08
ahrefs.com,1,2,2019-06-08
Facebook_PicSee,9,22,2019-06-08
facebook.com,12,27,2019-06-08
github.com,2,9,2019-06-08
google,87,165,2019-06-08
l.facebook.com,5,8,2019-06-08
m.facebook.com,1,1,2019-06-08
mail.yahoo.com,1,1,2019-06-08
maxlist.xyz,2,2,2019-06-08
msn.com,2,3,2019-06-08
sogou,2,2,2019-06-08
tw.search.yahoo.com,1,1,2019-06-08
wlan.cc.ncu.edu.tw,1,5,2019-06-08
(direct),241,501,2019-06-09
accupass.com,10,28,2019-06-09
draw.io,1,1,2019-06-09
evernote.com,1,1,2019-06-09
Facebook_PicSee,13,30,2019-06-09
facebook.com,11,34,2019-06-09
github.com,3,9,2019-06-09
google,106,190,2019-06-09
l.facebook.com,5,19,2019-06-09
mail.google.com,1,2,2019-06-09
mail.yahoo.com,2,4,2019-06-09
maxlist.xyz,1,1,2019-06-09
msn.com,3,7,2019-06-09
sogou,1,1,2019-06-09
wlan.cc.ncu.edu.tw,1,4,2019-06-09
(direct),490,827,2019-06-10
accupass.com,24,50,2019-06-10
ai100.taocart.com,1,2,2019-06-10
analytics.google.com,2,5,2019-06-10
draw.io,1,2,2019-06-10
elearning.yuntech.edu.tw,3,3,2019-06-10
Facebook_PicSee,46,89,2019-06-10
facebook.com,29,68,2019-06-10
github.com,3,10,2019-06-10
google,159,245,2019-06-10
l.facebook.com,7,17,2019-06-10
lm.facebook.com,1,2,2019-06-10
m.facebook.com,10,11,2019-06-10
mail.google.com,1,1,2019-06-10
mail.yahoo.com,2,3,2019-06-10
maxlist.xyz,1,2,2019-06-10
medium.com,1,1,2019-06-10
msn.com,3,3,2019-06-10
sogou,2,2,2019-06-10
wlan.cc.ncu.edu.tw,1,9,2019-06-10
yahoo,1,1,2019-06-10
(direct),357,680,2019-06-11
accupass.com,15,26,2019-06-11
analytics.google.com,2,9,2019-06-11
elearning.yuntech.edu.tw,1,1,2019-06-11
Facebook_PicSee,31,70,2019-06-11
facebook.com,25,51,2019-06-11
github.com,1,1,2019-06-11
google,164,285,2019-06-11
l.facebook.com,5,12,2019-06-11
mail.google.com,1,1,2019-06-11
mail.yahoo.com,2,5,2019-06-11
wlan.cc.ncu.edu.tw,1,3,2019-06-11
(direct),323,567,2019-06-12
accupass.com,13,26,2019-06-12
analytics.google.com,2,3,2019-06-12
bing,1,1,2019-06-12
draw.io,1,1,2019-06-12
Facebook_PicSee,23,44,2019-06-12
facebook.com,21,45,2019-06-12
github.com,2,2,2019-06-12
google,148,249,2019-06-12
l.facebook.com,8,17,2019-06-12
lm.facebook.com,1,1,2019-06-12
