interestOtherCategory,vistornum,sessionnum,logdate
Arts & Entertainment/Comics & Animation/Anime & Manga,19,40,2019-07-14
Arts & Entertainment/Music & Audio/Pop Music,24,41,2019-07-14
Arts & Entertainment/Music & Audio/World Music/East Asian Music,28,54,2019-07-14
Arts & Entertainment/TV & Video/Online Video,39,83,2019-07-14
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,11,20,2019-07-14
Books & Literature/E-Books,27,44,2019-07-14
Computers & Electronics/Enterprise Technology/Data Management,10,18,2019-07-14
Computers & Electronics/Programming/Scripting Languages,26,57,2019-07-14
Food & Drink/Restaurants,16,32,2019-07-14
Games/Roleplaying Games,20,40,2019-07-14
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,14,15,2019-07-14
Internet & Telecom/Search Engines,16,25,2019-07-14
Internet & Telecom/Web Portals,14,18,2019-07-14
News/Business News/Financial Markets News,17,36,2019-07-14
Online Communities/Social Networks,11,29,2019-07-14
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,13,26,2019-07-14
Science/Computer Science/Machine Learning & Artificial Intelligence,27,57,2019-07-14
Science/Mathematics/Statistics,15,26,2019-07-14
Sports/Team Sports/Baseball,11,21,2019-07-14
Travel/Air Travel,16,29,2019-07-14
Travel/Hotels & Accommodations,10,25,2019-07-14
Arts & Entertainment/Celebrities & Entertainment News,18,21,2019-07-15
Arts & Entertainment/Comics & Animation/Anime & Manga,32,48,2019-07-15
Arts & Entertainment/Music & Audio/Pop Music,34,58,2019-07-15
Arts & Entertainment/Music & Audio/World Music/East Asian Music,38,72,2019-07-15
Arts & Entertainment/TV & Video/Online Video,51,81,2019-07-15
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,24,31,2019-07-15
Books & Literature/E-Books,35,54,2019-07-15
Computers & Electronics/Enterprise Technology/Data Management,18,30,2019-07-15
Computers & Electronics/Programming/C & C++,12,24,2019-07-15
Computers & Electronics/Programming/Scripting Languages,37,64,2019-07-15
Computers & Electronics/Software/Operating Systems/Windows OS,11,17,2019-07-15
Food & Drink/Restaurants,22,28,2019-07-15
Games/Computer & Video Games/Strategy Games,12,16,2019-07-15
Games/Roleplaying Games,18,38,2019-07-15
Internet & Telecom/Email & Messaging,12,14,2019-07-15
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,13,26,2019-07-15
Internet & Telecom/Search Engines,20,29,2019-07-15
Internet & Telecom/Web Portals,22,29,2019-07-15
Internet & Telecom/Web Services/Web Design & Development,17,36,2019-07-15
Jobs & Education/Education/Colleges & Universities,20,29,2019-07-15
News/Business News/Financial Markets News,23,34,2019-07-15
News/Politics/Campaigns & Elections,14,20,2019-07-15
Online Communities/Feed Aggregation & Social Bookmarking,11,23,2019-07-15
Online Communities/Social Networks,15,26,2019-07-15
Reference/General Reference/Dictionaries & Encyclopedias,18,24,2019-07-15
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,17,22,2019-07-15
Reference/Language Resources/Foreign Language Resources/Translation Tools & Resources,10,13,2019-07-15
Science/Computer Science/Machine Learning & Artificial Intelligence,38,67,2019-07-15
Science/Mathematics,19,29,2019-07-15
Science/Mathematics/Statistics,23,37,2019-07-15
Sports/Team Sports/Baseball,14,22,2019-07-15
Sports/Team Sports/Basketball,19,29,2019-07-15
Travel/Air Travel,29,44,2019-07-15
Travel/Hotels & Accommodations,16,28,2019-07-15
Arts & Entertainment/Celebrities & Entertainment News,25,39,2019-07-16
Arts & Entertainment/Comics & Animation/Anime & Manga,26,40,2019-07-16
Arts & Entertainment/Music & Audio/Pop Music,38,73,2019-07-16
Arts & Entertainment/Music & Audio/World Music/East Asian Music,38,74,2019-07-16
Arts & Entertainment/TV & Video/Online Video,51,97,2019-07-16
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,25,36,2019-07-16
Books & Literature/E-Books,52,72,2019-07-16
Computers & Electronics/Enterprise Technology/Data Management,21,36,2019-07-16
Computers & Electronics/Programming/Scripting Languages,40,70,2019-07-16
Computers & Electronics/Software/Operating Systems/Linux & Unix,10,21,2019-07-16
Food & Drink/Restaurants,18,26,2019-07-16
Games/Roleplaying Games,22,34,2019-07-16
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,21,28,2019-07-16
Internet & Telecom/Search Engines,30,49,2019-07-16
Internet & Telecom/Web Portals,30,57,2019-07-16
Internet & Telecom/Web Services/Web Design & Development,17,27,2019-07-16
Jobs & Education/Education/Colleges & Universities,19,25,2019-07-16
News/Business News/Financial Markets News,26,44,2019-07-16
News/Politics/Campaigns & Elections,19,34,2019-07-16
Online Communities/Social Networks,20,29,2019-07-16
People & Society/Social Issues & Advocacy/Work & Labor Issues/Unions & Labor Movement,10,11,2019-07-16
Reference/General Reference/Dictionaries & Encyclopedias,24,36,2019-07-16
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,13,20,2019-07-16
Reference/Language Resources/Foreign Language Resources/Translation Tools & Resources,10,20,2019-07-16
Science/Computer Science/Machine Learning & Artificial Intelligence,36,69,2019-07-16
Science/Mathematics,14,20,2019-07-16
Science/Mathematics/Statistics,21,37,2019-07-16
Sports/Team Sports/Baseball,11,25,2019-07-16
Sports/Team Sports/Basketball,16,38,2019-07-16
Travel/Air Travel,29,48,2019-07-16
Travel/Hotels & Accommodations,14,20,2019-07-16
Travel/Travel Agencies & Services,10,19,2019-07-16
Arts & Entertainment/Celebrities & Entertainment News,23,38,2019-07-17
Arts & Entertainment/Comics & Animation/Anime & Manga,29,48,2019-07-17
Arts & Entertainment/Music & Audio/Pop Music,38,76,2019-07-17
Arts & Entertainment/Music & Audio/World Music/East Asian Music,41,79,2019-07-17
Arts & Entertainment/TV & Video/Online Video,47,76,2019-07-17
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,23,29,2019-07-17
Books & Literature/E-Books,51,82,2019-07-17
Computers & Electronics/Enterprise Technology/Data Management,21,39,2019-07-17
Computers & Electronics/Programming/Scripting Languages,41,69,2019-07-17
Computers & Electronics/Software/Operating Systems/Linux & Unix,14,31,2019-07-17
Food & Drink/Restaurants,21,31,2019-07-17
Games/Computer & Video Games/Strategy Games,11,15,2019-07-17
Games/Roleplaying Games,22,28,2019-07-17
Internet & Telecom/Email & Messaging,11,21,2019-07-17
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,13,22,2019-07-17
Internet & Telecom/Search Engines,24,34,2019-07-17
Internet & Telecom/Web Portals,27,47,2019-07-17
Internet & Telecom/Web Services/Web Design & Development,14,26,2019-07-17
