interestOtherCategory,vistornum,sessionnum,logdate
Computers & Electronics/Enterprise Technology/Data Management,22,55,2019-07-24
Computers & Electronics/Programming/Scripting Languages,51,117,2019-07-24
Computers & Electronics/Software/Operating Systems/Linux & Unix,13,20,2019-07-24
Computers & Electronics/Software/Operating Systems/Windows OS,15,17,2019-07-24
Finance/Investing/Stocks & Bonds/Exchanges,10,13,2019-07-24
Food & Drink/Restaurants,24,33,2019-07-24
Games/Computer & Video Games/Action & Platform Games,15,22,2019-07-24
Games/Computer & Video Games/Browser Games,14,22,2019-07-24
Games/Computer & Video Games/Massively Multiplayer Games,11,15,2019-07-24
Games/Computer & Video Games/Strategy Games,20,33,2019-07-24
Games/Roleplaying Games,33,52,2019-07-24
Internet & Telecom/Email & Messaging,16,26,2019-07-24
Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons,13,18,2019-07-24
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,17,35,2019-07-24
Internet & Telecom/Search Engines,26,38,2019-07-24
Internet & Telecom/Web Portals,36,59,2019-07-24
Internet & Telecom/Web Services/Web Design & Development,13,35,2019-07-24
Jobs & Education/Education/Colleges & Universities,28,49,2019-07-24
News/Business News/Financial Markets News,32,60,2019-07-24
News/Politics/Campaigns & Elections,20,30,2019-07-24
News/Weather,10,23,2019-07-24
Online Communities/Feed Aggregation & Social Bookmarking,16,25,2019-07-24
Online Communities/Social Networks,30,55,2019-07-24
People & Society/Social Issues & Advocacy/Work & Labor Issues/Unions & Labor Movement,13,24,2019-07-24
Reference/General Reference/Dictionaries & Encyclopedias,30,47,2019-07-24
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,20,35,2019-07-24
Science/Computer Science/Machine Learning & Artificial Intelligence,57,120,2019-07-24
Science/Mathematics,14,31,2019-07-24
Science/Mathematics/Statistics,35,74,2019-07-24
Sports/Team Sports/Baseball,19,41,2019-07-24
Sports/Team Sports/Basketball,24,55,2019-07-24
Travel/Air Travel,41,71,2019-07-24
Travel/Hotels & Accommodations,12,21,2019-07-24
Arts & Entertainment/Celebrities & Entertainment News,16,22,2019-07-25
Arts & Entertainment/Comics & Animation/Anime & Manga,35,62,2019-07-25
Arts & Entertainment/Music & Audio/Pop Music,51,86,2019-07-25
Arts & Entertainment/Music & Audio/World Music/East Asian Music,56,94,2019-07-25
Arts & Entertainment/TV & Video/Online Video,55,82,2019-07-25
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,24,30,2019-07-25
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Talk Shows,10,10,2019-07-25
Books & Literature/E-Books,55,91,2019-07-25
Computers & Electronics/Computer Hardware/Laptops & Notebooks,11,21,2019-07-25
Computers & Electronics/Enterprise Technology/Data Management,21,45,2019-07-25
Computers & Electronics/Programming,11,15,2019-07-25
Computers & Electronics/Programming/Scripting Languages,51,101,2019-07-25
Computers & Electronics/Software/Freeware & Shareware,10,27,2019-07-25
Computers & Electronics/Software/Operating Systems/Linux & Unix,14,25,2019-07-25
Food & Drink/Restaurants,28,44,2019-07-25
Games/Computer & Video Games/Action & Platform Games,12,20,2019-07-25
Games/Computer & Video Games/Browser Games,12,16,2019-07-25
Games/Computer & Video Games/Strategy Games,15,27,2019-07-25
Games/Roleplaying Games,23,38,2019-07-25
Internet & Telecom/Email & Messaging,22,32,2019-07-25
Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons,13,21,2019-07-25
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,21,33,2019-07-25
Internet & Telecom/Search Engines,28,38,2019-07-25
Internet & Telecom/Web Portals,36,52,2019-07-25
Internet & Telecom/Web Services/Web Design & Development,21,42,2019-07-25
Jobs & Education/Education/Colleges & Universities,38,51,2019-07-25
Jobs & Education/Jobs/Job Listings,10,15,2019-07-25
News/Business News/Financial Markets News,41,63,2019-07-25
News/Politics/Campaigns & Elections,18,26,2019-07-25
News/Weather,12,14,2019-07-25
Online Communities/Feed Aggregation & Social Bookmarking,12,25,2019-07-25
Online Communities/Social Networks,25,43,2019-07-25
Reference/General Reference/Dictionaries & Encyclopedias,20,38,2019-07-25
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,24,34,2019-07-25
Science/Computer Science/Machine Learning & Artificial Intelligence,61,114,2019-07-25
Science/Mathematics,13,18,2019-07-25
Science/Mathematics/Statistics,25,56,2019-07-25
Sports/Team Sports/Baseball,25,35,2019-07-25
Sports/Team Sports/Basketball,27,46,2019-07-25
Travel/Air Travel,32,51,2019-07-25
Travel/Hotels & Accommodations,14,23,2019-07-25
Arts & Entertainment/Celebrities & Entertainment News,16,17,2019-07-26
Arts & Entertainment/Comics & Animation/Anime & Manga,31,56,2019-07-26
Arts & Entertainment/Music & Audio/Music Videos,11,16,2019-07-26
Arts & Entertainment/Music & Audio/Pop Music,46,72,2019-07-26
Arts & Entertainment/Music & Audio/World Music/East Asian Music,52,81,2019-07-26
Arts & Entertainment/TV & Video/Online Video,51,93,2019-07-26
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,17,23,2019-07-26
Books & Literature/E-Books,50,68,2019-07-26
Computers & Electronics/Computer Hardware/Laptops & Notebooks,11,19,2019-07-26
Computers & Electronics/Electronics & Electrical/Electronic Components,10,18,2019-07-26
Computers & Electronics/Enterprise Technology/Data Management,17,41,2019-07-26
Computers & Electronics/Programming/Scripting Languages,44,97,2019-07-26
Computers & Electronics/Software/Operating Systems/Linux & Unix,12,20,2019-07-26
Computers & Electronics/Software/Operating Systems/Windows OS,10,22,2019-07-26
Finance/Investing/Stocks & Bonds/Exchanges,10,14,2019-07-26
Food & Drink/Restaurants,27,41,2019-07-26
Games/Computer & Video Games/Browser Games,15,18,2019-07-26
Games/Computer & Video Games/Strategy Games,11,18,2019-07-26
Games/Roleplaying Games,23,44,2019-07-26
Internet & Telecom/Email & Messaging,15,22,2019-07-26
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,19,33,2019-07-26
Internet & Telecom/Search Engines,27,34,2019-07-26
Internet & Telecom/Web Portals,27,43,2019-07-26
Internet & Telecom/Web Services/Web Design & Development,12,29,2019-07-26
Jobs & Education/Education/Colleges & Universities,26,39,2019-07-26
News/Business News/Financial Markets News,32,55,2019-07-26
News/Politics/Campaigns & Elections,14,22,2019-07-26
Online Communities/Feed Aggregation & Social Bookmarking,11,26,2019-07-26
Online Communities/Social Networks,26,50,2019-07-26
Reference/General Reference/Dictionaries & Encyclopedias,21,40,2019-07-26
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,14,26,2019-07-26
Science/Computer Science/Machine Learning & Artificial Intelligence,48,107,2019-07-26
Science/Mathematics,12,26,2019-07-26
Science/Mathematics/Statistics,26,59,2019-07-26
Sports/Team Sports/Baseball,18,29,2019-07-26
Sports/Team Sports/Basketball,16,32,2019-07-26
Travel/Air Travel,27,46,2019-07-26
Arts & Entertainment/Celebrities & Entertainment News,18,29,2019-07-27
Arts & Entertainment/Comics & Animation/Anime & Manga,27,47,2019-07-27
Arts & Entertainment/Music & Audio/Pop Music,25,48,2019-07-27
Arts & Entertainment/Music & Audio/World Music/East Asian Music,26,60,2019-07-27
Arts & Entertainment/TV & Video/Online Video,33,62,2019-07-27
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,17,28,2019-07-27
Books & Literature/E-Books,33,53,2019-07-27
Computers & Electronics/Programming/Scripting Languages,28,55,2019-07-27
Food & Drink/Restaurants,12,25,2019-07-27
Games/Computer & Video Games/Strategy Games,10,13,2019-07-27
Games/Roleplaying Games,16,24,2019-07-27
Internet & Telecom/Search Engines,20,29,2019-07-27
