interestOtherCategory,vistornum,sessionnum,logdate
Arts & Entertainment/Celebrities & Entertainment News,17,34,2019-06-30
Arts & Entertainment/Comics & Animation/Anime & Manga,34,49,2019-06-30
Arts & Entertainment/Music & Audio/Pop Music,33,62,2019-06-30
Arts & Entertainment/Music & Audio/World Music/East Asian Music,39,73,2019-06-30
Arts & Entertainment/TV & Video/Online Video,33,61,2019-06-30
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,17,34,2019-06-30
Books & Literature/E-Books,41,75,2019-06-30
Computers & Electronics/Programming/Scripting Languages,32,72,2019-06-30
Food & Drink/Restaurants,15,26,2019-06-30
Games/Computer & Video Games/Strategy Games,11,14,2019-06-30
Games/Roleplaying Games,19,26,2019-06-30
Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons,10,20,2019-06-30
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,10,14,2019-06-30
Internet & Telecom/Search Engines,17,28,2019-06-30
Internet & Telecom/Web Portals,22,37,2019-06-30
Jobs & Education/Education/Colleges & Universities,17,32,2019-06-30
News/Business News/Financial Markets News,20,38,2019-06-30
Online Communities/Social Networks,20,30,2019-06-30
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,12,27,2019-06-30
Science/Computer Science/Machine Learning & Artificial Intelligence,35,63,2019-06-30
Science/Mathematics/Statistics,38,82,2019-06-30
Sports/Team Sports/Baseball,13,19,2019-06-30
Sports/Team Sports/Basketball,17,28,2019-06-30
Arts & Entertainment/Celebrities & Entertainment News,18,30,2019-07-01
Arts & Entertainment/Comics & Animation/Anime & Manga,45,70,2019-07-01
Arts & Entertainment/Music & Audio/Music Videos,15,19,2019-07-01
Arts & Entertainment/Music & Audio/Pop Music,60,105,2019-07-01
Arts & Entertainment/Music & Audio/World Music/East Asian Music,62,111,2019-07-01
Arts & Entertainment/TV & Video/Online Video,54,94,2019-07-01
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,29,47,2019-07-01
Books & Literature/E-Books,59,84,2019-07-01
Business & Industrial/Advertising & Marketing,12,22,2019-07-01
Computers & Electronics/Enterprise Technology/Data Management,28,43,2019-07-01
Computers & Electronics/Programming,13,20,2019-07-01
Computers & Electronics/Programming/C & C++,11,17,2019-07-01
Computers & Electronics/Programming/Java (Programming Language),10,12,2019-07-01
Computers & Electronics/Programming/Scripting Languages,58,93,2019-07-01
Computers & Electronics/Software/Operating Systems/Linux & Unix,10,16,2019-07-01
Food & Drink/Restaurants,24,34,2019-07-01
Games/Computer & Video Games/Action & Platform Games,15,23,2019-07-01
Games/Computer & Video Games/Massively Multiplayer Games,10,13,2019-07-01
Games/Computer & Video Games/Strategy Games,20,32,2019-07-01
Games/Roleplaying Games,31,53,2019-07-01
Internet & Telecom/Email & Messaging,15,24,2019-07-01
Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons,16,26,2019-07-01
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,11,19,2019-07-01
Internet & Telecom/Search Engines,33,45,2019-07-01
Internet & Telecom/Web Portals,37,55,2019-07-01
Internet & Telecom/Web Services/Web Design & Development,13,20,2019-07-01
Jobs & Education/Education/Colleges & Universities,30,52,2019-07-01
News/Business News/Financial Markets News,28,47,2019-07-01
News/Politics/Campaigns & Elections,13,21,2019-07-01
Online Communities/Feed Aggregation & Social Bookmarking,10,19,2019-07-01
Online Communities/Social Networks,20,32,2019-07-01
Reference/General Reference/Dictionaries & Encyclopedias,26,38,2019-07-01
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,15,29,2019-07-01
Science/Computer Science/Machine Learning & Artificial Intelligence,62,96,2019-07-01
Science/Mathematics,10,15,2019-07-01
Science/Mathematics/Statistics,64,107,2019-07-01
Sports/Team Sports/Baseball,18,30,2019-07-01
Sports/Team Sports/Basketball,26,50,2019-07-01
Travel/Air Travel,12,15,2019-07-01
Travel/Travel Agencies & Services,12,14,2019-07-01
Arts & Entertainment/Celebrities & Entertainment News,24,35,2019-07-02
Arts & Entertainment/Comics & Animation/Anime & Manga,37,57,2019-07-02
Arts & Entertainment/Music & Audio/Pop Music,47,85,2019-07-02
Arts & Entertainment/Music & Audio/World Music/East Asian Music,50,91,2019-07-02
Arts & Entertainment/TV & Video/Online Video,43,85,2019-07-02
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,18,28,2019-07-02
Books & Literature/E-Books,51,87,2019-07-02
Business & Industrial/Advertising & Marketing,10,19,2019-07-02
Computers & Electronics/Enterprise Technology/Data Management,31,65,2019-07-02
Computers & Electronics/Programming,10,18,2019-07-02
Computers & Electronics/Programming/Java (Programming Language),13,25,2019-07-02
Computers & Electronics/Programming/Scripting Languages,63,137,2019-07-02
Food & Drink/Restaurants,18,30,2019-07-02
Games/Computer & Video Games/Action & Platform Games,11,15,2019-07-02
Games/Computer & Video Games/Strategy Games,18,23,2019-07-02
Games/Roleplaying Games,21,28,2019-07-02
Internet & Telecom/Email & Messaging,11,20,2019-07-02
Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons,16,19,2019-07-02
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,12,24,2019-07-02
