interestOtherCategory,vistornum,sessionnum,logdate
Arts & Entertainment/Celebrities & Entertainment News,14,27,2019-07-07
Arts & Entertainment/Comics & Animation/Anime & Manga,32,73,2019-07-07
Arts & Entertainment/Music & Audio/Pop Music,31,65,2019-07-07
Arts & Entertainment/Music & Audio/World Music/East Asian Music,33,71,2019-07-07
Arts & Entertainment/TV & Video/Online Video,44,119,2019-07-07
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,13,32,2019-07-07
Books & Literature/E-Books,48,115,2019-07-07
Computers & Electronics/Enterprise Technology/Data Management,13,35,2019-07-07
Computers & Electronics/Programming/Scripting Languages,34,87,2019-07-07
Food & Drink/Restaurants,11,33,2019-07-07
Games/Computer & Video Games/Strategy Games,10,15,2019-07-07
Games/Roleplaying Games,17,39,2019-07-07
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,12,19,2019-07-07
Internet & Telecom/Search Engines,16,32,2019-07-07
Internet & Telecom/Web Portals,18,43,2019-07-07
Jobs & Education/Education/Colleges & Universities,14,26,2019-07-07
News/Business News/Financial Markets News,13,31,2019-07-07
Online Communities/Social Networks,15,37,2019-07-07
Science/Computer Science/Machine Learning & Artificial Intelligence,39,88,2019-07-07
Science/Mathematics/Statistics,36,80,2019-07-07
Sports/Team Sports/Baseball,16,40,2019-07-07
Sports/Team Sports/Basketball,15,38,2019-07-07
Travel/Air Travel,12,25,2019-07-07
Arts & Entertainment/Celebrities & Entertainment News,13,19,2019-07-08
Arts & Entertainment/Comics & Animation/Anime & Manga,42,78,2019-07-08
Arts & Entertainment/Music & Audio/Music Videos,10,16,2019-07-08
Arts & Entertainment/Music & Audio/Pop Music,58,112,2019-07-08
Arts & Entertainment/Music & Audio/World Music/East Asian Music,56,109,2019-07-08
Arts & Entertainment/TV & Video/Online Video,71,135,2019-07-08
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,23,35,2019-07-08
Books & Literature/E-Books,50,87,2019-07-08
Computers & Electronics/Enterprise Technology/Data Management,25,62,2019-07-08
Computers & Electronics/Programming/C & C++,12,19,2019-07-08
Computers & Electronics/Programming/Java (Programming Language),13,22,2019-07-08
Computers & Electronics/Programming/Scripting Languages,58,119,2019-07-08
Computers & Electronics/Software/Operating Systems/Linux & Unix,14,23,2019-07-08
Food & Drink/Restaurants,17,29,2019-07-08
Games/Computer & Video Games/Action & Platform Games,10,21,2019-07-08
Games/Computer & Video Games/Strategy Games,16,29,2019-07-08
Games/Roleplaying Games,32,54,2019-07-08
Internet & Telecom/Email & Messaging,12,22,2019-07-08
Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons,11,18,2019-07-08
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,20,32,2019-07-08
Internet & Telecom/Search Engines,17,29,2019-07-08
Internet & Telecom/Web Portals,23,36,2019-07-08
Internet & Telecom/Web Services/Web Design & Development,14,26,2019-07-08
Jobs & Education/Education/Colleges & Universities,21,37,2019-07-08
News/Business News/Financial Markets News,30,47,2019-07-08
News/Politics/Campaigns & Elections,15,28,2019-07-08
Online Communities/Feed Aggregation & Social Bookmarking,10,22,2019-07-08
Online Communities/Social Networks,20,41,2019-07-08
Reference/General Reference/Dictionaries & Encyclopedias,16,28,2019-07-08
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,19,38,2019-07-08
Science/Computer Science/Machine Learning & Artificial Intelligence,55,105,2019-07-08
Science/Mathematics/Statistics,51,107,2019-07-08
Sports/Team Sports/Baseball,20,38,2019-07-08
Sports/Team Sports/Basketball,30,61,2019-07-08
Travel/Air Travel,24,33,2019-07-08
Arts & Entertainment/Celebrities & Entertainment News,15,20,2019-07-09
Arts & Entertainment/Comics & Animation/Anime & Manga,40,63,2019-07-09
Arts & Entertainment/Music & Audio/Music Videos,12,19,2019-07-09
Arts & Entertainment/Music & Audio/Pop Music,50,89,2019-07-09
Arts & Entertainment/Music & Audio/World Music/East Asian Music,52,96,2019-07-09
Arts & Entertainment/TV & Video/Online Video,55,96,2019-07-09
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,19,29,2019-07-09
Books & Literature/E-Books,47,79,2019-07-09
Computers & Electronics/Enterprise Technology/Data Management,20,47,2019-07-09
Computers & Electronics/Programming/Java (Programming Language),12,22,2019-07-09
Computers & Electronics/Programming/Scripting Languages,48,108,2019-07-09
Computers & Electronics/Programming/Windows & .NET,10,15,2019-07-09
Food & Drink/Restaurants,13,26,2019-07-09
Games/Computer & Video Games/Strategy Games,13,19,2019-07-09
Games/Roleplaying Games,25,43,2019-07-09
Internet & Telecom/Email & Messaging,12,19,2019-07-09
Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons,10,16,2019-07-09
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,15,24,2019-07-09
Internet & Telecom/Search Engines,25,41,2019-07-09
Internet & Telecom/Web Portals,28,43,2019-07-09
Internet & Telecom/Web Services/Web Design & Development,11,15,2019-07-09
Jobs & Education/Education/Colleges & Universities,24,44,2019-07-09
News/Business News/Financial Markets News,26,47,2019-07-09
News/Politics/Campaigns & Elections,10,22,2019-07-09
Online Communities/Feed Aggregation & Social Bookmarking,13,28,2019-07-09
Online Communities/Social Networks,23,51,2019-07-09
Reference/General Reference/Dictionaries & Encyclopedias,16,36,2019-07-09
