interestOtherCategory,vistornum,sessionnum,logdate
Arts & Entertainment/Celebrities & Entertainment News,38,49,2019-06-03
Arts & Entertainment/Comics & Animation/Anime & Manga,46,84,2019-06-03
Arts & Entertainment/Movies/Action & Adventure Films/Superhero Films,25,40,2019-06-03
Arts & Entertainment/Music & Audio/Music Videos,14,29,2019-06-03
Arts & Entertainment/Music & Audio/Pop Music,75,148,2019-06-03
Arts & Entertainment/Music & Audio/World Music/East Asian Music,72,142,2019-06-03
Arts & Entertainment/TV & Video/Online Video,73,125,2019-06-03
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,39,76,2019-06-03
Books & Literature/E-Books,52,91,2019-06-03
Business & Industrial/Advertising & Marketing,56,112,2019-06-03
Computers & Electronics/Computer Hardware/Laptops & Notebooks,12,20,2019-06-03
Computers & Electronics/Electronics & Electrical/Electronic Components,10,11,2019-06-03
Computers & Electronics/Enterprise Technology/Data Management,38,66,2019-06-03
Computers & Electronics/Programming/C & C++,15,29,2019-06-03
Computers & Electronics/Programming/Development Tools,17,40,2019-06-03
Computers & Electronics/Programming/Java (Programming Language),15,31,2019-06-03
Computers & Electronics/Programming/Scripting Languages,116,252,2019-06-03
Computers & Electronics/Software/Business & Productivity Software/Spreadsheet Software,11,24,2019-06-03
Computers & Electronics/Software/Operating Systems/Linux & Unix,16,22,2019-06-03
Computers & Electronics/Software/Operating Systems/Windows OS,16,21,2019-06-03
Food & Drink/Restaurants,30,54,2019-06-03
Games/Computer & Video Games/Action & Platform Games,15,29,2019-06-03
Games/Computer & Video Games/Strategy Games,16,25,2019-06-03
Games/Roleplaying Games,22,41,2019-06-03
Internet & Telecom/Email & Messaging,29,58,2019-06-03
Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons,12,28,2019-06-03
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,20,33,2019-06-03
Internet & Telecom/Search Engines,25,32,2019-06-03
Internet & Telecom/Web Portals,30,41,2019-06-03
Internet & Telecom/Web Services/Web Design & Development,26,58,2019-06-03
Jobs & Education/Education/Colleges & Universities,33,59,2019-06-03
Jobs & Education/Education/Computer Education,12,24,2019-06-03
Jobs & Education/Education/Standardized & Admissions Tests,12,18,2019-06-03
Jobs & Education/Jobs/Job Listings,10,22,2019-06-03
News/Business News/Financial Markets News,44,69,2019-06-03
News/Politics/Campaigns & Elections,17,30,2019-06-03
Online Communities/Feed Aggregation & Social Bookmarking,10,15,2019-06-03
Online Communities/Social Networks,33,53,2019-06-03
