country,vistornum,sessionnum,logdate
China,10,13,2019-07-21
Germany,1,2,2019-07-21
Hong Kong,5,5,2019-07-21
Japan,5,6,2019-07-21
Malaysia,2,3,2019-07-21
Russia,5,5,2019-07-21
Taiwan,306,619,2019-07-21
United States,4,4,2019-07-21
(not set),1,1,2019-07-22
Australia,1,1,2019-07-22
Canada,1,1,2019-07-22
China,4,8,2019-07-22
Germany,1,2,2019-07-22
Hong Kong,3,3,2019-07-22
Japan,2,2,2019-07-22
Macao,3,3,2019-07-22
Malaysia,2,3,2019-07-22
Singapore,2,2,2019-07-22
Spain,1,1,2019-07-22
Taiwan,422,760,2019-07-22
Thailand,1,1,2019-07-22
United States,2,2,2019-07-22
(not set),2,2,2019-07-23
Canada,3,3,2019-07-23
China,24,33,2019-07-23
Germany,1,2,2019-07-23
Hong Kong,6,6,2019-07-23
Malaysia,1,1,2019-07-23
Singapore,2,2,2019-07-23
South Korea,1,1,2019-07-23
Taiwan,412,782,2019-07-23
United States,5,5,2019-07-23
(not set),1,1,2019-07-24
China,8,12,2019-07-24
Germany,1,2,2019-07-24
Guam,1,2,2019-07-24
Hong Kong,7,8,2019-07-24
Japan,5,5,2019-07-24
Malaysia,2,2,2019-07-24
Russia,3,3,2019-07-24
Singapore,3,3,2019-07-24
Taiwan,406,698,2019-07-24
United States,6,6,2019-07-24
Canada,2,2,2019-07-25
China,4,6,2019-07-25
Egypt,1,1,2019-07-25
Germany,1,2,2019-07-25
Guam,1,5,2019-07-25
Hong Kong,9,13,2019-07-25
Hungary,1,1,2019-07-25
Japan,1,1,2019-07-25
Macao,1,1,2019-07-25
Malaysia,2,2,2019-07-25
Singapore,1,3,2019-07-25
Taiwan,401,707,2019-07-25
United States,6,6,2019-07-25
China,1,4,2019-07-26
Egypt,1,1,2019-07-26
Germany,2,4,2019-07-26
Hong Kong,7,11,2019-07-26
Japan,6,6,2019-07-26
Malaysia,1,2,2019-07-26
Singapore,1,1,2019-07-26
Taiwan,358,594,2019-07-26
United States,12,12,2019-07-26
Vietnam,1,1,2019-07-26
China,4,5,2019-07-27
Germany,1,2,2019-07-27
Hong Kong,2,2,2019-07-27
Japan,8,8,2019-07-27
Taiwan,261,471,2019-07-27
United States,1,1,2019-07-27
