country,vistornum,sessionnum,logdate
China,7,9,2019-07-07
Germany,2,4,2019-07-07
Hong Kong,5,8,2019-07-07
Japan,4,5,2019-07-07
Malaysia,2,2,2019-07-07
Taiwan,279,567,2019-07-07
United States,3,3,2019-07-07
China,4,10,2019-07-08
France,1,3,2019-07-08
Germany,1,2,2019-07-08
Hong Kong,1,1,2019-07-08
India,1,1,2019-07-08
Ireland,1,2,2019-07-08
Japan,6,7,2019-07-08
Malaysia,2,2,2019-07-08
Philippines,1,1,2019-07-08
Singapore,2,2,2019-07-08
Taiwan,420,766,2019-07-08
Thailand,1,3,2019-07-08
United States,6,7,2019-07-08
China,2,6,2019-07-09
Germany,2,5,2019-07-09
Hong Kong,3,3,2019-07-09
India,1,2,2019-07-09
Japan,4,5,2019-07-09
Malaysia,1,1,2019-07-09
Philippines,1,1,2019-07-09
Singapore,1,2,2019-07-09
Taiwan,387,718,2019-07-09
Thailand,1,1,2019-07-09
United States,1,3,2019-07-09
China,2,5,2019-07-10
Germany,2,3,2019-07-10
Hong Kong,5,5,2019-07-10
Japan,5,10,2019-07-10
Macao,1,1,2019-07-10
Malaysia,1,1,2019-07-10
Philippines,1,1,2019-07-10
Singapore,2,3,2019-07-10
Taiwan,376,653,2019-07-10
Thailand,1,1,2019-07-10
United States,4,5,2019-07-10
Australia,1,1,2019-07-11
China,9,12,2019-07-11
Germany,3,6,2019-07-11
Hong Kong,6,6,2019-07-11
Japan,7,10,2019-07-11
Malaysia,2,3,2019-07-11
Mexico,1,5,2019-07-11
Singapore,7,7,2019-07-11
Switzerland,1,1,2019-07-11
Taiwan,431,750,2019-07-11
Ukraine,2,2,2019-07-11
United States,6,7,2019-07-11
(not set),5,5,2019-07-12
Canada,1,1,2019-07-12
China,1,1,2019-07-12
Germany,3,4,2019-07-12
Hong Kong,3,3,2019-07-12
Japan,4,7,2019-07-12
Malaysia,2,4,2019-07-12
Mexico,2,4,2019-07-12
Taiwan,346,645,2019-07-12
Thailand,1,2,2019-07-12
United States,4,4,2019-07-12
Canada,1,1,2019-07-13
China,4,5,2019-07-13
Germany,2,4,2019-07-13
Hong Kong,2,2,2019-07-13
Indonesia,1,1,2019-07-13
Japan,3,3,2019-07-13
Mexico,1,2,2019-07-13
New Zealand,1,1,2019-07-13
Taiwan,289,559,2019-07-13
United States,7,9,2019-07-13
