logdate,28dayActiveUsers
2019-06-23,4452
2019-06-24,4434
2019-06-25,4438
2019-06-26,4349
2019-06-27,4290
2019-06-28,4254
2019-06-29,4241
2019-06-30,4185
2019-07-01,4183
2019-07-02,4196
2019-07-03,4195
2019-07-04,4208
2019-07-05,4216
2019-07-06,4207
2019-07-07,4181
2019-07-08,3972
2019-07-09,3901
2019-07-10,3842
2019-07-11,3858
2019-07-12,3876
2019-07-13,3895
2019-07-14,3865
2019-07-15,3824
2019-07-16,3830
2019-07-17,3871
2019-07-18,3865
2019-07-19,3851
2019-07-20,3884
2019-07-21,3904
2019-07-22,3914
2019-07-23,3939
2019-07-24,4004
2019-07-25,4046
2019-07-26,4076
2019-07-27,4106
2019-07-28,4151
2019-07-29,4167
2019-07-30,4188
2019-07-31,4199
2019-08-01,4426
2019-08-02,4602
2019-08-03,4669
2019-08-04,4708
2019-08-05,4820
2019-08-06,4926
2019-08-07,5042
2019-08-08,5040
2019-08-09,5089
2019-08-10,5122
2019-08-11,5180
2019-08-12,5223
2019-08-13,5294
2019-08-14,5305
2019-08-15,5330
2019-08-16,5355
2019-08-17,5370
2019-08-18,5387
2019-08-19,5456
2019-08-20,5498
2019-08-21,5508
2019-08-22,5578
2019-08-23,5601
2019-08-24,5672
2019-08-25,5767
2019-08-26,6126
2019-08-27,6345
2019-08-28,6471
2019-08-29,6510
2019-08-30,6470
2019-08-31,6519
2019-09-01,6611
2019-09-02,6673
2019-09-03,6698
2019-09-04,6707
2019-09-05,6745
