ageGroup,vistornum,sessionnum,logdate
18-24,39,88,2019-07-07
25-34,47,119,2019-07-07
35-44,24,44,2019-07-07
18-24,58,111,2019-07-08
25-34,85,157,2019-07-08
35-44,27,50,2019-07-08
18-24,48,85,2019-07-09
25-34,79,147,2019-07-09
35-44,32,56,2019-07-09
18-24,57,102,2019-07-10
25-34,95,161,2019-07-10
35-44,32,47,2019-07-10
18-24,49,81,2019-07-11
25-34,81,121,2019-07-11
35-44,31,46,2019-07-11
18-24,43,89,2019-07-12
25-34,53,91,2019-07-12
35-44,23,30,2019-07-12
18-24,41,77,2019-07-13
25-34,36,65,2019-07-13
35-44,15,22,2019-07-13
