ageGroup,vistornum,sessionnum,logdate
18-24,40,69,2019-07-14
25-34,49,109,2019-07-14
35-44,13,21,2019-07-14
18-24,45,68,2019-07-15
25-34,82,128,2019-07-15
35-44,26,43,2019-07-15
18-24,47,77,2019-07-16
25-34,84,131,2019-07-16
35-44,27,37,2019-07-16
18-24,49,76,2019-07-17
25-34,87,150,2019-07-17
35-44,22,35,2019-07-17
18-24,33,56,2019-07-18
25-34,63,108,2019-07-18
35-44,25,36,2019-07-18
45-54,12,12,2019-07-18
18-24,28,46,2019-07-19
25-34,57,94,2019-07-19
35-44,19,27,2019-07-19
45-54,10,13,2019-07-19
18-24,36,55,2019-07-20
25-34,45,91,2019-07-20
