ageGroup,vistornum,sessionnum,logdate
18-24,32,54,2019-06-30
25-34,45,85,2019-06-30
35-44,22,37,2019-06-30
18-24,59,92,2019-07-01
25-34,95,151,2019-07-01
35-44,32,45,2019-07-01
45-54,10,22,2019-07-01
18-24,49,85,2019-07-02
25-34,70,123,2019-07-02
35-44,35,74,2019-07-02
45-54,13,20,2019-07-02
18-24,49,89,2019-07-03
25-34,79,119,2019-07-03
35-44,43,79,2019-07-03
45-54,10,13,2019-07-03
18-24,59,100,2019-07-04
25-34,77,119,2019-07-04
35-44,23,33,2019-07-04
45-54,11,15,2019-07-04
18-24,38,74,2019-07-05
25-34,78,114,2019-07-05
35-44,24,38,2019-07-05
45-54,11,17,2019-07-05
18-24,35,63,2019-07-06
25-34,54,112,2019-07-06
35-44,21,48,2019-07-06
