ageGroup,vistornum,sessionnum,logdate
18-24,32,60,2019-06-23
25-34,43,77,2019-06-23
35-44,28,41,2019-06-23
45-54,10,14,2019-06-23
18-24,37,69,2019-06-24
25-34,93,150,2019-06-24
35-44,28,63,2019-06-24
45-54,12,21,2019-06-24
18-24,45,85,2019-06-25
25-34,83,150,2019-06-25
35-44,31,48,2019-06-25
45-54,11,29,2019-06-25
18-24,43,80,2019-06-26
25-34,70,111,2019-06-26
35-44,30,50,2019-06-26
45-54,13,24,2019-06-26
18-24,49,82,2019-06-27
25-34,66,108,2019-06-27
35-44,31,50,2019-06-27
45-54,14,22,2019-06-27
18-24,38,52,2019-06-28
25-34,77,102,2019-06-28
35-44,28,42,2019-06-28
18-24,32,61,2019-06-29
25-34,48,86,2019-06-29
35-44,20,36,2019-06-29
18-24,32,54,2019-06-30
25-34,45,85,2019-06-30
35-44,22,37,2019-06-30
18-24,59,92,2019-07-01
25-34,95,151,2019-07-01
35-44,32,45,2019-07-01
45-54,10,22,2019-07-01
18-24,49,85,2019-07-02
25-34,70,123,2019-07-02
35-44,35,74,2019-07-02
45-54,13,20,2019-07-02
18-24,49,89,2019-07-03
25-34,79,119,2019-07-03
35-44,43,79,2019-07-03
45-54,10,13,2019-07-03
18-24,59,100,2019-07-04
25-34,77,119,2019-07-04
35-44,23,33,2019-07-04
45-54,11,15,2019-07-04
18-24,38,74,2019-07-05
25-34,78,114,2019-07-05
35-44,24,38,2019-07-05
45-54,11,17,2019-07-05
18-24,35,63,2019-07-06
25-34,54,112,2019-07-06
35-44,21,48,2019-07-06
18-24,39,88,2019-07-07
25-34,47,119,2019-07-07
35-44,24,44,2019-07-07
18-24,58,111,2019-07-08
25-34,85,157,2019-07-08
35-44,27,50,2019-07-08
18-24,48,85,2019-07-09
25-34,79,147,2019-07-09
35-44,32,56,2019-07-09
18-24,57,102,2019-07-10
25-34,95,161,2019-07-10
35-44,32,47,2019-07-10
18-24,49,81,2019-07-11
25-34,81,121,2019-07-11
35-44,31,46,2019-07-11
