medium,vistornum,sessionnum,logdate
(none),163,339,2019-07-14
(not set),9,27,2019-07-14
organic,107,180,2019-07-14
referral,44,106,2019-07-14
(none),220,366,2019-07-15
(not set),14,33,2019-07-15
organic,157,252,2019-07-15
referral,73,141,2019-07-15
(none),203,347,2019-07-16
(not set),15,35,2019-07-16
organic,167,281,2019-07-16
referral,64,134,2019-07-16
(none),198,322,2019-07-17
(not set),14,25,2019-07-17
organic,159,254,2019-07-17
referral,54,92,2019-07-17
(none),179,303,2019-07-18
(not set),20,43,2019-07-18
organic,165,277,2019-07-18
referral,58,100,2019-07-18
(none),165,291,2019-07-19
(not set),20,46,2019-07-19
organic,130,195,2019-07-19
referral,63,129,2019-07-19
(none),148,310,2019-07-20
(not set),11,24,2019-07-20
organic,109,176,2019-07-20
referral,35,80,2019-07-20
