medium,vistornum,sessionnum,logdate
referral,52,110,2019-07-21
(none),201,360,2019-07-22
(not set),18,39,2019-07-22
organic,175,289,2019-07-22
referral,52,102,2019-07-22
(none),225,415,2019-07-23
(not set),15,32,2019-07-23
organic,163,266,2019-07-23
referral,60,124,2019-07-23
(none),197,350,2019-07-24
(not set),8,22,2019-07-24
organic,176,269,2019-07-24
referral,66,101,2019-07-24
(none),202,378,2019-07-25
(not set),14,26,2019-07-25
organic,162,250,2019-07-25
referral,58,96,2019-07-25
(none),184,297,2019-07-26
(not set),13,20,2019-07-26
organic,144,230,2019-07-26
referral,51,89,2019-07-26
(none),124,221,2019-07-27
(not set),10,21,2019-07-27
organic,100,156,2019-07-27
referral,47,91,2019-07-27
(none),133,240,2019-07-28
(not set),11,27,2019-07-28
organic,108,176,2019-07-28
referral,34,91,2019-07-28
(none),180,330,2019-07-29
(not set),19,36,2019-07-29
organic,160,238,2019-07-29
referral,55,122,2019-07-29
(none),188,339,2019-07-30
(not set),16,28,2019-07-30
organic,190,287,2019-07-30
referral,65,122,2019-07-30
(none),172,297,2019-07-31
(not set),11,19,2019-07-31
organic,181,246,2019-07-31
referral,53,91,2019-07-31
(none),371,519,2019-08-01
(not set),19,29,2019-08-01
organic,210,311,2019-08-01
referral,119,218,2019-08-01
(none),329,514,2019-08-02
(not set),12,24,2019-08-02
organic,176,267,2019-08-02
referral,95,164,2019-08-02
(none),187,316,2019-08-03
(not set),10,26,2019-08-03
organic,100,163,2019-08-03
referral,65,108,2019-08-03
(none),209,370,2019-08-04
(not set),8,23,2019-08-04
organic,115,186,2019-08-04
referral,45,90,2019-08-04
(none),288,473,2019-08-05
(not set),22,41,2019-08-05
organic,180,301,2019-08-05
referral,114,172,2019-08-05
(none),260,461,2019-08-06
(not set),17,36,2019-08-06
organic,187,309,2019-08-06
referral,102,169,2019-08-06
(none),266,426,2019-08-07
(not set),16,34,2019-08-07
organic,173,296,2019-08-07
referral,118,198,2019-08-07
(none),225,401,2019-08-08
(not set),11,19,2019-08-08
organic,150,212,2019-08-08
