interestInMarketCategory,vistornum,sessionnum,logdate
Apparel & Accessories,14,30,2019-06-30
Autos & Vehicles/Auto Repair & Maintenance,10,27,2019-06-30
Autos & Vehicles/Motor Vehicles,22,43,2019-06-30
Beauty Products & Services/Makeup & Cosmetics,11,31,2019-06-30
Business Services,13,27,2019-06-30
Business Services/Advertising & Marketing Services,53,106,2019-06-30
Business Services/Business Technology,13,24,2019-06-30
Business Services/Business Technology/Enterprise Software,46,92,2019-06-30
Business Services/Business Technology/Network Systems & Services,12,28,2019-06-30
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,10,21,2019-06-30
Business Services/Business Technology/Web Services/Web Design & Development,18,29,2019-06-30
Computers & Peripherals/Computer Accessories & Components,36,68,2019-06-30
Computers & Peripherals/Computers/Laptops & Notebooks,14,23,2019-06-30
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,20,39,2019-06-30
Consumer Electronics/Game Consoles/Sony PlayStation,10,15,2019-06-30
Consumer Electronics/Mobile Phones,62,117,2019-06-30
Dating Services,22,47,2019-06-30
Education/Foreign Language Study,27,46,2019-06-30
Education/Post-Secondary Education,32,58,2019-06-30
Education/Post-Secondary Education/Technology Education,26,57,2019-06-30
Education/Primary & Secondary Schools (K-12),20,49,2019-06-30
Education/Test Preparation & Tutoring,16,30,2019-06-30
Employment,47,99,2019-06-30
Employment/Career Consulting Services,22,45,2019-06-30
Employment/IT & Technical Jobs,30,65,2019-06-30
Financial Services/Banking Services,14,27,2019-06-30
Financial Services/Investment Services,45,95,2019-06-30
Financial Services/Tax Services,11,31,2019-06-30
Gifts & Occasions/Holiday & Seasonal Items,12,19,2019-06-30
Real Estate/Residential Properties,22,44,2019-06-30
Software/Antivirus & Security Software,11,18,2019-06-30
Software/Business & Productivity Software,56,112,2019-06-30
Software/Design Software/Drawing & Animation Software,16,27,2019-06-30
Software/Design Software/Photo Software,18,28,2019-06-30
Travel/Air Travel,26,56,2019-06-30
Travel/Bus & Rail Travel,21,32,2019-06-30
Travel/Hotels & Accommodations,22,46,2019-06-30
Travel/Trips by Destination/Trips to Asia-Pacific,48,92,2019-06-30
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,16,25,2019-06-30
Apparel & Accessories,14,21,2019-07-01
Apparel & Accessories/Women's Apparel,11,14,2019-07-01
Autos & Vehicles/Auto Repair & Maintenance,13,23,2019-07-01
Autos & Vehicles/Motor Vehicles,33,52,2019-07-01
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Scooters & Mopeds,10,16,2019-07-01
Autos & Vehicles/Vehicles (Other)/Bicycles & Accessories,11,20,2019-07-01
Beauty Products & Services/Makeup & Cosmetics,16,26,2019-07-01
Business Services,19,25,2019-07-01
Business Services/Advertising & Marketing Services,93,147,2019-07-01
Business Services/Business Financial Services,14,26,2019-07-01
Business Services/Business Technology,26,38,2019-07-01
Business Services/Business Technology/Enterprise Software,84,135,2019-07-01
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,16,22,2019-07-01
Business Services/Business Technology/Network Systems & Services,19,26,2019-07-01
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,21,34,2019-07-01
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,26,37,2019-07-01
Business Services/Business Technology/Web Services/Web Design & Development,42,65,2019-07-01
Business Services/Business Technology/Web Services/Web Hosting,18,30,2019-07-01
Business Services/Payment Processing & Merchant Services,21,34,2019-07-01
Business Services/Staffing & Recruitment Services,15,32,2019-07-01
Computers & Peripherals/Computer Accessories & Components,55,87,2019-07-01
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,10,14,2019-07-01
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,32,47,2019-07-01
Computers & Peripherals/Computers/Laptops & Notebooks,20,32,2019-07-01
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,25,36,2019-07-01
Consumer Electronics/Game Consoles/Sony PlayStation,13,20,2019-07-01
Consumer Electronics/Mobile Phones,97,159,2019-07-01
Dating Services,35,56,2019-07-01
Education/Foreign Language Study,47,77,2019-07-01
Education/Post-Secondary Education,58,88,2019-07-01
Education/Post-Secondary Education/Technology Education,56,95,2019-07-01
Education/Primary & Secondary Schools (K-12),44,86,2019-07-01
Education/Test Preparation & Tutoring,22,42,2019-07-01
Employment,69,108,2019-07-01
Employment/Career Consulting Services,31,47,2019-07-01
Employment/IT & Technical Jobs,51,81,2019-07-01
