interestInMarketCategory,vistornum,sessionnum,logdate
Apparel & Accessories,10,22,2019-07-14
Autos & Vehicles/Motor Vehicles,17,27,2019-07-14
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW,10,15,2019-07-14
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,10,19,2019-07-14
Beauty Products & Services/Hair Care Products,14,21,2019-07-14
Business Services,13,22,2019-07-14
Business Services/Advertising & Marketing Services,49,96,2019-07-14
Business Services/Business Technology/Enterprise Software,30,62,2019-07-14
Business Services/Business Technology/Web Services/Web Design & Development,16,28,2019-07-14
Computers & Peripherals/Computer Accessories & Components,31,56,2019-07-14
Computers & Peripherals/Computers/Laptops & Notebooks,16,29,2019-07-14
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,11,16,2019-07-14
Consumer Electronics/Mobile Phones,41,75,2019-07-14
Dating Services,15,30,2019-07-14
Education/Foreign Language Study,17,33,2019-07-14
Education/Post-Secondary Education,18,21,2019-07-14
Education/Post-Secondary Education/Technology Education,13,24,2019-07-14
Education/Primary & Secondary Schools (K-12),16,29,2019-07-14
Education/Test Preparation & Tutoring,15,24,2019-07-14
Employment,33,65,2019-07-14
Employment/Career Consulting Services,19,34,2019-07-14
Employment/IT & Technical Jobs,22,47,2019-07-14
Financial Services/Banking Services,14,33,2019-07-14
Financial Services/Investment Services,32,62,2019-07-14
Gifts & Occasions/Holiday & Seasonal Items,14,21,2019-07-14
Real Estate/Residential Properties,16,32,2019-07-14
Software/Antivirus & Security Software,11,23,2019-07-14
Software/Business & Productivity Software,42,87,2019-07-14
Software/Design Software/Drawing & Animation Software,17,39,2019-07-14
Software/Design Software/Photo Software,15,31,2019-07-14
Sports & Fitness/Sporting Goods,10,24,2019-07-14
Travel/Air Travel,36,68,2019-07-14
Travel/Bus & Rail Travel,20,34,2019-07-14
Travel/Hotels & Accommodations,33,67,2019-07-14
Travel/Trips by Destination/Trips to Asia-Pacific,38,76,2019-07-14
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,21,30,2019-07-14
Apparel & Accessories,15,16,2019-07-15
Autos & Vehicles/Auto Repair & Maintenance,11,20,2019-07-15
Autos & Vehicles/Motor Vehicles,20,30,2019-07-15
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW,13,20,2019-07-15
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,15,29,2019-07-15
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Scooters & Mopeds,11,16,2019-07-15
Beauty Products & Services/Makeup & Cosmetics,12,15,2019-07-15
Business Services,17,21,2019-07-15
Business Services/Advertising & Marketing Services,73,116,2019-07-15
Business Services/Business Technology,16,19,2019-07-15
Business Services/Business Technology/Enterprise Software,54,82,2019-07-15
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,14,25,2019-07-15
Business Services/Business Technology/Network Systems & Services,15,28,2019-07-15
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,13,17,2019-07-15
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,17,28,2019-07-15
Business Services/Business Technology/Web Services/Web Design & Development,36,63,2019-07-15
Business Services/Business Technology/Web Services/Web Hosting,12,13,2019-07-15
Business Services/Payment Processing & Merchant Services,11,14,2019-07-15
Computers & Peripherals/Computer Accessories & Components,43,71,2019-07-15
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,12,22,2019-07-15
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,22,37,2019-07-15
Computers & Peripherals/Computers/Laptops & Notebooks,16,25,2019-07-15
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,10,14,2019-07-15
Consumer Electronics/Mobile Phones,59,88,2019-07-15
Dating Services,20,30,2019-07-15
Education/Foreign Language Study,30,38,2019-07-15
