interestInMarketCategory,vistornum,sessionnum,logdate
Apparel & Accessories,12,26,2019-07-21
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW,13,28,2019-07-21
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,12,17,2019-07-21
Business Services/Advertising & Marketing Services,43,81,2019-07-21
Business Services/Business Technology/Enterprise Software,27,60,2019-07-21
Business Services/Business Technology/Network Systems & Services,13,20,2019-07-21
Business Services/Business Technology/Web Services/Web Design & Development,19,32,2019-07-21
Business Services/Business Technology/Web Services/Web Hosting,11,15,2019-07-21
Computers & Peripherals/Computer Accessories & Components,32,56,2019-07-21
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,11,22,2019-07-21
Computers & Peripherals/Computers/Laptops & Notebooks,15,28,2019-07-21
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,10,16,2019-07-21
Consumer Electronics/Mobile Phones,37,72,2019-07-21
Dating Services,17,27,2019-07-21
Education/Foreign Language Study,22,43,2019-07-21
Education/Post-Secondary Education,20,39,2019-07-21
Education/Post-Secondary Education/Technology Education,23,50,2019-07-21
Education/Primary & Secondary Schools (K-12),19,27,2019-07-21
Education/Test Preparation & Tutoring,12,22,2019-07-21
Employment,37,81,2019-07-21
Employment/Career Consulting Services,19,34,2019-07-21
Employment/IT & Technical Jobs,21,40,2019-07-21
Financial Services/Banking Services,15,25,2019-07-21
Financial Services/Investment Services,25,46,2019-07-21
Real Estate/Residential Properties,18,27,2019-07-21
Software/Antivirus & Security Software,14,20,2019-07-21
Software/Business & Productivity Software,47,87,2019-07-21
Software/Design Software/Drawing & Animation Software,17,33,2019-07-21
Software/Design Software/Photo Software,21,45,2019-07-21
Software/Video Software,10,16,2019-07-21
Travel/Air Travel,36,75,2019-07-21
Travel/Bus & Rail Travel,12,26,2019-07-21
Travel/Hotels & Accommodations,21,46,2019-07-21
Travel/Trips by Destination/Trips to Asia-Pacific,21,40,2019-07-21
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,13,22,2019-07-21
Apparel & Accessories,15,22,2019-07-22
Autos & Vehicles/Motor Vehicles,11,17,2019-07-22
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW,15,25,2019-07-22
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,19,28,2019-07-22
Business Services,18,23,2019-07-22
Business Services/Advertising & Marketing Services,70,108,2019-07-22
Business Services/Business Financial Services,13,17,2019-07-22
Business Services/Business Technology/Enterprise Software,49,78,2019-07-22
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,11,22,2019-07-22
Business Services/Business Technology/Network Systems & Services,13,20,2019-07-22
Business Services/Business Technology/Web Services/Web Design & Development,34,46,2019-07-22
Computers & Peripherals/Computer Accessories & Components,46,77,2019-07-22
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,14,27,2019-07-22
Computers & Peripherals/Computers,11,17,2019-07-22
Computers & Peripherals/Computers/Laptops & Notebooks,24,40,2019-07-22
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,14,20,2019-07-22
Consumer Electronics/Mobile Phones,63,117,2019-07-22
Dating Services,21,33,2019-07-22
Education/Foreign Language Study,30,54,2019-07-22
Education/Post-Secondary Education,38,72,2019-07-22
Education/Post-Secondary Education/Technology Education,30,62,2019-07-22
Education/Primary & Secondary Schools (K-12),21,30,2019-07-22
Education/Test Preparation & Tutoring,15,24,2019-07-22
Employment,47,96,2019-07-22
Employment/Career Consulting Services,24,45,2019-07-22
Employment/IT & Technical Jobs,26,61,2019-07-22
Financial Services/Banking Services,21,36,2019-07-22
Financial Services/Credit & Lending/Credit Cards,14,19,2019-07-22
Financial Services/Investment Services,49,84,2019-07-22
Gifts & Occasions/Holiday & Seasonal Items,11,15,2019-07-22
Real Estate/Residential Properties,25,34,2019-07-22
Software/Antivirus & Security Software,19,32,2019-07-22
Software/Audio & Music Software,11,16,2019-07-22
Software/Business & Productivity Software,66,100,2019-07-22
Software/Design Software/Drawing & Animation Software,22,35,2019-07-22
Software/Design Software/Photo Software,25,43,2019-07-22
Travel/Air Travel,52,80,2019-07-22
Travel/Bus & Rail Travel,22,33,2019-07-22
Travel/Car Rental,15,23,2019-07-22
Travel/Hotels & Accommodations,36,62,2019-07-22
Travel/Trips by Destination/Trips to Asia-Pacific,37,63,2019-07-22
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan,10,15,2019-07-22
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,14,23,2019-07-22
Travel/Vacation Packages,11,19,2019-07-22
Apparel & Accessories,18,29,2019-07-23
Apparel & Accessories/Women's Apparel,13,23,2019-07-23
Autos & Vehicles/Motor Vehicles,25,39,2019-07-23
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW,24,33,2019-07-23
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,23,39,2019-07-23
Beauty Products & Services/Hair Care Products,19,35,2019-07-23
Beauty Products & Services/Makeup & Cosmetics,13,30,2019-07-23
Business Services,25,43,2019-07-23
Business Services/Advertising & Marketing Services,110,176,2019-07-23
Business Services/Business Financial Services,14,29,2019-07-23
Business Services/Business Technology,10,16,2019-07-23
Business Services/Business Technology/Enterprise Software,72,127,2019-07-23
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,14,22,2019-07-23
Business Services/Business Technology/Network Systems & Services,21,26,2019-07-23
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,12,25,2019-07-23
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,15,25,2019-07-23
Business Services/Business Technology/Web Services/Web Design & Development,40,66,2019-07-23
Business Services/Business Technology/Web Services/Web Hosting,17,31,2019-07-23
Business Services/Payment Processing & Merchant Services,11,17,2019-07-23
Computers & Peripherals/Computer Accessories & Components,61,108,2019-07-23
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,13,19,2019-07-23
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,25,42,2019-07-23
Computers & Peripherals/Computers,16,20,2019-07-23
Computers & Peripherals/Computers/Desktop Computers,13,25,2019-07-23
Computers & Peripherals/Computers/Laptops & Notebooks,33,66,2019-07-23
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,17,36,2019-07-23
Consumer Electronics/Cameras/Digital SLRs,10,16,2019-07-23
Consumer Electronics/Mobile Phones,89,157,2019-07-23
Dating Services,42,70,2019-07-23
Education/Foreign Language Study,37,72,2019-07-23
Education/Post-Secondary Education,51,89,2019-07-23
Education/Post-Secondary Education/Technology Education,53,105,2019-07-23
Education/Primary & Secondary Schools (K-12),38,66,2019-07-23
Education/Test Preparation & Tutoring,28,44,2019-07-23
Employment,81,169,2019-07-23
Employment/Career Consulting Services,41,64,2019-07-23
Employment/Government & Public Sector Jobs,14,20,2019-07-23
Employment/IT & Technical Jobs,40,77,2019-07-23
Employment/Resumes & Portfolios,11,19,2019-07-23
Employment/Temporary & Seasonal Jobs,10,22,2019-07-23
Event Tickets/Sports Tickets/Baseball Tickets,12,25,2019-07-23
Financial Services/Banking Services,23,36,2019-07-23
Financial Services/Credit & Lending/Credit Cards,22,32,2019-07-23
Financial Services/Investment Services,80,147,2019-07-23
Gifts & Occasions/Holiday & Seasonal Items,32,54,2019-07-23
Gifts & Occasions/Wedding Planning,18,25,2019-07-23
Real Estate/Residential Properties,36,67,2019-07-23
Software/Antivirus & Security Software,29,58,2019-07-23
Software/Business & Productivity Software,92,144,2019-07-23
Software/Design Software/Drawing & Animation Software,37,62,2019-07-23
Software/Design Software/Photo Software,33,80,2019-07-23
Software/Video Software,29,47,2019-07-23
Sports & Fitness/Outdoor Recreational Equipment/Camping & Hiking Equipment,12,17,2019-07-23
Telecom/Internet Service Providers,16,30,2019-07-23
Telecom/Mobile Phone Service Providers,16,33,2019-07-23
Travel/Air Travel,74,130,2019-07-23
Travel/Bus & Rail Travel,33,54,2019-07-23
Travel/Car Rental,15,26,2019-07-23
Travel/Hotels & Accommodations,51,83,2019-07-23
Travel/Trips by Destination/Trips to Asia-Pacific,66,116,2019-07-23
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan,13,23,2019-07-23
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,28,55,2019-07-23
Travel/Vacation Packages,13,31,2019-07-23
Apparel & Accessories,15,24,2019-07-24
Apparel & Accessories/Women's Apparel,12,18,2019-07-24
Autos & Vehicles/Auto Repair & Maintenance,12,23,2019-07-24
Autos & Vehicles/Motor Vehicles,17,32,2019-07-24
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW,19,33,2019-07-24
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Mitsubishi,11,26,2019-07-24
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,25,48,2019-07-24
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Motorcycles,12,20,2019-07-24
Beauty Products & Services/Makeup & Cosmetics,11,13,2019-07-24
Business Services,26,51,2019-07-24
Business Services/Advertising & Marketing Services,91,167,2019-07-24
Business Services/Business Financial Services,18,31,2019-07-24
Business Services/Business Technology,14,18,2019-07-24
Business Services/Business Technology/Enterprise Software,71,129,2019-07-24
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,17,32,2019-07-24
Business Services/Business Technology/Network Systems & Services,24,38,2019-07-24
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,14,30,2019-07-24
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,10,25,2019-07-24
Business Services/Business Technology/Web Services/Web Design & Development,42,74,2019-07-24
Business Services/Business Technology/Web Services/Web Hosting,19,32,2019-07-24
Computers & Peripherals/Computer Accessories & Components,64,116,2019-07-24
