interestInMarketCategory,vistornum,sessionnum,logdate
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,13,24,2019-08-10
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,22,49,2019-08-10
Computers & Peripherals/Computers/Desktop Computers,12,24,2019-08-10
Computers & Peripherals/Computers/Laptops & Notebooks,25,47,2019-08-10
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,11,21,2019-08-10
Consumer Electronics/Game Consoles/Sony PlayStation,10,19,2019-08-10
Consumer Electronics/Mobile Phones,74,142,2019-08-10
Dating Services,29,68,2019-08-10
Education/Foreign Language Study,30,61,2019-08-10
Education/Post-Secondary Education,38,70,2019-08-10
Education/Post-Secondary Education/Technology Education,35,63,2019-08-10
Education/Primary & Secondary Schools (K-12),27,53,2019-08-10
Education/Test Preparation & Tutoring,19,37,2019-08-10
Employment,59,127,2019-08-10
Employment/Career Consulting Services,34,81,2019-08-10
Employment/IT & Technical Jobs,36,73,2019-08-10
Employment/Sales & Marketing Jobs,10,29,2019-08-10
Financial Services/Banking Services,21,34,2019-08-10
Financial Services/Credit & Lending/Credit Cards,10,19,2019-08-10
Financial Services/Investment Services,54,100,2019-08-10
Gifts & Occasions/Holiday Items & Decorations,14,25,2019-08-10
Real Estate/Residential Properties,30,66,2019-08-10
Software/Antivirus & Security Software,29,53,2019-08-10
Software/Audio & Music Software,10,10,2019-08-10
Software/Business & Productivity Software,64,122,2019-08-10
Software/Design Software/Drawing & Animation Software,25,62,2019-08-10
Software/Design Software/Photo Software,17,38,2019-08-10
Software/Video Software,14,35,2019-08-10
Sports & Fitness,10,13,2019-08-10
Telecom/Internet Service Providers,10,17,2019-08-10
Telecom/Mobile Phone Service Providers,13,26,2019-08-10
Travel/Air Travel,37,83,2019-08-10
Travel/Bus & Rail Travel,24,45,2019-08-10
Travel/Hotels & Accommodations,39,73,2019-08-10
Travel/Trips by Destination/Trips to Asia-Pacific,51,94,2019-08-10
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan,16,27,2019-08-10
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,26,46,2019-08-10
Apparel & Accessories,20,35,2019-08-11
Apparel & Accessories/Women's Apparel,10,16,2019-08-11
Autos & Vehicles/Motor Vehicles,28,40,2019-08-11
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW,16,21,2019-08-11
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Honda,21,34,2019-08-11
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,12,18,2019-08-11
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Motorcycles,12,15,2019-08-11
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Scooters & Mopeds,11,21,2019-08-11
Beauty Products & Services/Makeup & Cosmetics,12,15,2019-08-11
Business Services,23,42,2019-08-11
Business Services/Advertising & Marketing Services,63,115,2019-08-11
Business Services/Business Technology,16,24,2019-08-11
Business Services/Business Technology/Enterprise Software,45,84,2019-08-11
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,11,19,2019-08-11
Business Services/Business Technology/Network Systems & Services,18,28,2019-08-11
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,14,23,2019-08-11
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,12,26,2019-08-11
Business Services/Business Technology/Web Services/Web Design & Development,33,54,2019-08-11
Business Services/Business Technology/Web Services/Web Hosting,14,24,2019-08-11
Business Services/Payment Processing & Merchant Services,18,30,2019-08-11
Business Services/Staffing & Recruitment Services,10,14,2019-08-11
Computers & Peripherals/Computer Accessories & Components,56,106,2019-08-11
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,24,46,2019-08-11
Computers & Peripherals/Computers/Desktop Computers,15,31,2019-08-11
Computers & Peripherals/Computers/Laptops & Notebooks,26,44,2019-08-11
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,16,27,2019-08-11
Consumer Electronics/Game Consoles/Nintendo Consoles,10,13,2019-08-11
Consumer Electronics/Game Consoles/Sony PlayStation,14,22,2019-08-11
Consumer Electronics/Mobile Phones,78,132,2019-08-11
Dating Services,29,55,2019-08-11
Education/Foreign Language Study,30,56,2019-08-11
Education/Post-Secondary Education,53,79,2019-08-11
Education/Post-Secondary Education/Technology Education,51,82,2019-08-11
Education/Primary & Secondary Schools (K-12),30,47,2019-08-11
Education/Test Preparation & Tutoring,18,33,2019-08-11
Employment,61,108,2019-08-11
Employment/Career Consulting Services,38,75,2019-08-11
Employment/IT & Technical Jobs,39,69,2019-08-11
Employment/Sales & Marketing Jobs,11,22,2019-08-11
Financial Services/Banking Services,22,32,2019-08-11
Financial Services/Credit & Lending/Credit Cards,10,13,2019-08-11
Financial Services/Investment Services,58,103,2019-08-11
Gifts & Occasions/Holiday Items & Decorations,16,17,2019-08-11
Real Estate/Residential Properties,41,77,2019-08-11
Software/Antivirus & Security Software,27,44,2019-08-11
Software/Business & Productivity Software,67,118,2019-08-11
Software/Design Software/Drawing & Animation Software,30,55,2019-08-11
Software/Design Software/Photo Software,21,33,2019-08-11
Software/Tax & Accounting Software,10,17,2019-08-11
Software/Video Software,18,28,2019-08-11
Sports & Fitness/Outdoor Recreational Equipment/Camping & Hiking Equipment,11,15,2019-08-11
Telecom/Internet Service Providers,15,24,2019-08-11
Telecom/Mobile Phone Service Providers,11,16,2019-08-11
Travel/Air Travel,34,70,2019-08-11
Travel/Bus & Rail Travel,29,51,2019-08-11
Travel/Hotels & Accommodations,53,97,2019-08-11
Travel/Trips by Destination/Trips to Asia-Pacific,60,98,2019-08-11
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan,11,20,2019-08-11
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,30,45,2019-08-11
Travel/Vacation Packages,11,17,2019-08-11
Apparel & Accessories,22,41,2019-08-12
Apparel & Accessories/Activewear,17,33,2019-08-12
Apparel & Accessories/Shoes/Athletic Shoes,11,17,2019-08-12
Autos & Vehicles/Motor Vehicles,50,75,2019-08-12
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW,22,28,2019-08-12
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Honda,29,45,2019-08-12
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,26,52,2019-08-12
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Luxury Vehicles,10,13,2019-08-12
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Motorcycles,11,15,2019-08-12
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Scooters & Mopeds,15,24,2019-08-12
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/SUVs,11,15,2019-08-12
Beauty Products & Services/Hair Care Products,12,23,2019-08-12
Beauty Products & Services/Makeup & Cosmetics,15,27,2019-08-12
Business Services,40,79,2019-08-12
Business Services/Advertising & Marketing Services,125,235,2019-08-12
Business Services/Advertising & Marketing Services/SEO & SEM Services,10,34,2019-08-12
Business Services/Business Financial Services,20,36,2019-08-12
Business Services/Business Technology,27,46,2019-08-12
Business Services/Business Technology/Enterprise Software,84,176,2019-08-12
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,22,55,2019-08-12
Business Services/Business Technology/Network Systems & Services,28,52,2019-08-12
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,22,39,2019-08-12
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,25,50,2019-08-12
Business Services/Business Technology/Network Systems & Services/Network Equipment & Virtualization,13,17,2019-08-12
Business Services/Business Technology/Web Services/Web Design & Development,50,100,2019-08-12
Business Services/Business Technology/Web Services/Web Hosting,25,35,2019-08-12
Business Services/Payment Processing & Merchant Services,34,62,2019-08-12
Computers & Peripherals/Computer Accessories & Components,99,189,2019-08-12
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,21,41,2019-08-12
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,39,83,2019-08-12
Computers & Peripherals/Computers,16,30,2019-08-12
Computers & Peripherals/Computers/Desktop Computers,25,45,2019-08-12
Computers & Peripherals/Computers/Laptops & Notebooks,49,99,2019-08-12
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,28,56,2019-08-12
Consumer Electronics/Audio,14,23,2019-08-12
Consumer Electronics/Audio/Headphones & Headsets,20,33,2019-08-12
Consumer Electronics/Game Consoles/Nintendo Consoles,12,16,2019-08-12
Consumer Electronics/Game Consoles/Sony PlayStation,11,24,2019-08-12
Consumer Electronics/Mobile Phone Accessories,25,38,2019-08-12
Consumer Electronics/Mobile Phones,120,194,2019-08-12
Dating Services,40,64,2019-08-12
Education/Foreign Language Study,53,105,2019-08-12
Education/Post-Secondary Education,64,126,2019-08-12
Education/Post-Secondary Education/Technology Education,70,139,2019-08-12
Education/Primary & Secondary Schools (K-12),54,91,2019-08-12
Education/Test Preparation & Tutoring,35,51,2019-08-12
Employment,97,179,2019-08-12
Employment/Accounting & Finance Jobs,13,19,2019-08-12
Employment/Career Consulting Services,55,111,2019-08-12
Employment/Executive & Management Jobs,11,18,2019-08-12
Employment/Government & Public Sector Jobs,14,19,2019-08-12
Employment/IT & Technical Jobs,47,95,2019-08-12
Employment/Sales & Marketing Jobs,11,21,2019-08-12
Financial Services/Banking Services,40,60,2019-08-12
Financial Services/Credit & Lending,12,21,2019-08-12
Financial Services/Credit & Lending/Credit Cards,17,24,2019-08-12
Financial Services/Investment Services,107,191,2019-08-12
Gifts & Occasions/Holiday Items & Decorations,24,38,2019-08-12
Home & Garden/Home Appliances,13,21,2019-08-12
Real Estate/Residential Properties,63,103,2019-08-12
Software/Antivirus & Security Software,43,76,2019-08-12
Software/Audio & Music Software,13,23,2019-08-12
Software/Business & Productivity Software,121,223,2019-08-12
Software/Design Software/Drawing & Animation Software,58,115,2019-08-12
Software/Design Software/Photo Software,36,70,2019-08-12
Software/Tax & Accounting Software,17,30,2019-08-12
Software/Video Software,30,59,2019-08-12
Sports & Fitness,10,20,2019-08-12
Sports & Fitness/Fitness Products & Services/Gyms & Athletic Clubs,11,18,2019-08-12
Sports & Fitness/Outdoor Recreational Equipment/Camping & Hiking Equipment,15,20,2019-08-12
Telecom/Internet Service Providers,28,47,2019-08-12
Telecom/Mobile Phone Service Providers,22,36,2019-08-12
Travel/Air Travel,68,119,2019-08-12
Travel/Bus & Rail Travel,37,60,2019-08-12
Travel/Car Rental,19,43,2019-08-12
Travel/Hotels & Accommodations,58,98,2019-08-12
Travel/Trips by Destination/Trips to Asia-Pacific,85,153,2019-08-12
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to China,14,24,2019-08-12
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan,17,24,2019-08-12
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,39,71,2019-08-12
Travel/Vacation Packages,13,23,2019-08-12
Apparel & Accessories,26,40,2019-08-13
Apparel & Accessories/Activewear,12,17,2019-08-13
Apparel & Accessories/Shoes/Athletic Shoes,11,16,2019-08-13
Apparel & Accessories/Women's Apparel,12,26,2019-08-13
Autos & Vehicles/Motor Vehicles,47,72,2019-08-13
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW,16,24,2019-08-13
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Honda,28,38,2019-08-13
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,21,36,2019-08-13
Beauty Products & Services/Hair Care Products,13,17,2019-08-13
Beauty Products & Services/Makeup & Cosmetics,15,27,2019-08-13
Business Services,29,55,2019-08-13
Business Services/Advertising & Marketing Services,87,156,2019-08-13
Business Services/Advertising & Marketing Services/SEO & SEM Services,14,24,2019-08-13
Business Services/Business Financial Services,13,21,2019-08-13
Business Services/Business Technology,17,21,2019-08-13
Business Services/Business Technology/Enterprise Software,67,125,2019-08-13
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,18,36,2019-08-13
Business Services/Business Technology/Network Systems & Services,22,46,2019-08-13
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,18,40,2019-08-13
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,20,32,2019-08-13
Business Services/Business Technology/Network Systems & Services/Network Equipment & Virtualization,14,23,2019-08-13
Business Services/Business Technology/Web Services/Web Design & Development,51,106,2019-08-13
Business Services/Business Technology/Web Services/Web Hosting,23,38,2019-08-13
Business Services/Payment Processing & Merchant Services,30,56,2019-08-13
Business Services/Staffing & Recruitment Services,13,24,2019-08-13
Computers & Peripherals/Computer Accessories & Components,72,133,2019-08-13
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,17,28,2019-08-13
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,38,69,2019-08-13
Computers & Peripherals/Computers,18,41,2019-08-13
Computers & Peripherals/Computers/Desktop Computers,16,28,2019-08-13
Computers & Peripherals/Computers/Laptops & Notebooks,40,72,2019-08-13
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,21,32,2019-08-13
Consumer Electronics/Audio,14,29,2019-08-13
Consumer Electronics/Audio/Headphones & Headsets,20,39,2019-08-13
Consumer Electronics/Game Consoles/Sony PlayStation,12,24,2019-08-13
Consumer Electronics/Mobile Phone Accessories,22,41,2019-08-13
Consumer Electronics/Mobile Phones,90,149,2019-08-13
Dating Services,36,63,2019-08-13
Education/Foreign Language Study,49,91,2019-08-13
Education/Post-Secondary Education,57,103,2019-08-13
Education/Post-Secondary Education/Technology Education,58,107,2019-08-13
Education/Primary & Secondary Schools (K-12),47,89,2019-08-13
Education/Test Preparation & Tutoring,32,53,2019-08-13
Employment,86,151,2019-08-13
Employment/Career Consulting Services,57,110,2019-08-13
Employment/Executive & Management Jobs,12,18,2019-08-13
Employment/Government & Public Sector Jobs,10,16,2019-08-13
Employment/IT & Technical Jobs,52,99,2019-08-13
Employment/Sales & Marketing Jobs,17,33,2019-08-13
Event Tickets/Concert & Music Festival Tickets,10,12,2019-08-13
Financial Services/Banking Services,34,53,2019-08-13
Financial Services/Credit & Lending,15,24,2019-08-13
Financial Services/Credit & Lending/Credit Cards,11,15,2019-08-13
Financial Services/Investment Services,88,147,2019-08-13
Gifts & Occasions/Holiday Items & Decorations,24,33,2019-08-13
Home & Garden/Home Appliances/Small Appliances,10,17,2019-08-13
Real Estate/Residential Properties,47,67,2019-08-13
Software/Antivirus & Security Software,38,65,2019-08-13
Software/Audio & Music Software,13,20,2019-08-13
Software/Business & Productivity Software,105,184,2019-08-13
Software/Design Software/Drawing & Animation Software,46,84,2019-08-13
Software/Design Software/Photo Software,25,44,2019-08-13
Software/Video Software,26,40,2019-08-13
Sports & Fitness,12,27,2019-08-13
Telecom/Internet Service Providers,23,43,2019-08-13
Telecom/Mobile Phone Service Providers,20,38,2019-08-13
Travel/Air Travel,45,80,2019-08-13
Travel/Bus & Rail Travel,33,48,2019-08-13
Travel/Car Rental,12,24,2019-08-13
Travel/Hotels & Accommodations,52,80,2019-08-13
Travel/Trips by Destination/Trips to Asia-Pacific,79,123,2019-08-13
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan,17,28,2019-08-13
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,32,50,2019-08-13
Travel/Vacation Packages,14,25,2019-08-13
Apparel & Accessories,22,33,2019-08-14
Apparel & Accessories/Women's Apparel,13,25,2019-08-14
Autos & Vehicles/Motor Vehicles,36,57,2019-08-14
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW,14,24,2019-08-14
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Honda,24,37,2019-08-14
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,16,23,2019-08-14
Beauty Products & Services/Hair Care Products,11,17,2019-08-14
Business Services,27,44,2019-08-14
Business Services/Advertising & Marketing Services,72,124,2019-08-14
Business Services/Advertising & Marketing Services/SEO & SEM Services,10,28,2019-08-14
Business Services/Business Technology,19,27,2019-08-14
Business Services/Business Technology/Enterprise Software,56,102,2019-08-14
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,11,18,2019-08-14
Business Services/Business Technology/Network Systems & Services,15,27,2019-08-14
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,21,38,2019-08-14
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,16,22,2019-08-14
Business Services/Business Technology/Network Systems & Services/Network Equipment & Virtualization,11,16,2019-08-14
Business Services/Business Technology/Web Services/Web Design & Development,34,73,2019-08-14
Business Services/Business Technology/Web Services/Web Hosting,16,27,2019-08-14
Business Services/Payment Processing & Merchant Services,25,48,2019-08-14
Computers & Peripherals/Computer Accessories & Components,60,104,2019-08-14
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,15,25,2019-08-14
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,28,52,2019-08-14
Computers & Peripherals/Computers,17,27,2019-08-14
Computers & Peripherals/Computers/Desktop Computers,16,28,2019-08-14
Computers & Peripherals/Computers/Laptops & Notebooks,26,52,2019-08-14
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,14,24,2019-08-14
Consumer Electronics/Audio,13,17,2019-08-14
Consumer Electronics/Audio/Headphones & Headsets,15,28,2019-08-14
Consumer Electronics/Game Consoles/Sony PlayStation,12,17,2019-08-14
Consumer Electronics/Mobile Phone Accessories,17,30,2019-08-14
Consumer Electronics/Mobile Phones,84,140,2019-08-14
Dating Services,21,36,2019-08-14
Education/Foreign Language Study,31,60,2019-08-14
Education/Post-Secondary Education,45,71,2019-08-14
Education/Post-Secondary Education/Technology Education,45,88,2019-08-14
Education/Primary & Secondary Schools (K-12),35,62,2019-08-14
Education/Test Preparation & Tutoring,29,48,2019-08-14
Employment,66,121,2019-08-14
Employment/Career Consulting Services,39,74,2019-08-14
Employment/IT & Technical Jobs,34,64,2019-08-14
Employment/Sales & Marketing Jobs,10,19,2019-08-14
Financial Services/Banking Services,20,38,2019-08-14
Financial Services/Credit & Lending/Credit Cards,13,19,2019-08-14
Financial Services/Investment Services,65,110,2019-08-14
Gifts & Occasions/Holiday Items & Decorations,11,19,2019-08-14
Gifts & Occasions/Wedding Planning,10,13,2019-08-14
Real Estate/Residential Properties,43,71,2019-08-14
Software/Antivirus & Security Software,27,43,2019-08-14
Software/Business & Productivity Software,71,118,2019-08-14
Software/Design Software/Drawing & Animation Software,35,55,2019-08-14
Software/Design Software/Photo Software,24,35,2019-08-14
Software/Video Software,26,40,2019-08-14
Telecom/Internet Service Providers,17,27,2019-08-14
Telecom/Mobile Phone Service Providers,13,31,2019-08-14
Travel/Air Travel,40,68,2019-08-14
Travel/Bus & Rail Travel,23,29,2019-08-14
Travel/Car Rental,11,22,2019-08-14
Travel/Hotels & Accommodations,47,77,2019-08-14
Travel/Trips by Destination/Trips to Asia-Pacific,59,102,2019-08-14
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan,15,25,2019-08-14
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,35,63,2019-08-14
Travel/Vacation Packages,10,18,2019-08-14
Apparel & Accessories,21,35,2019-08-15
Autos & Vehicles/Motor Vehicles,35,56,2019-08-15
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW,19,30,2019-08-15
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Honda,18,31,2019-08-15
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,14,19,2019-08-15
Beauty Products & Services/Makeup & Cosmetics,10,15,2019-08-15
Business Services,28,45,2019-08-15
Business Services/Advertising & Marketing Services,74,127,2019-08-15
Business Services/Advertising & Marketing Services/SEO & SEM Services,10,21,2019-08-15
Business Services/Business Technology,11,15,2019-08-15
Business Services/Business Technology/Enterprise Software,63,109,2019-08-15
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,14,26,2019-08-15
Business Services/Business Technology/Network Systems & Services,30,43,2019-08-15
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,24,35,2019-08-15
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,16,25,2019-08-15
Business Services/Business Technology/Web Services/Web Design & Development,46,83,2019-08-15
Business Services/Business Technology/Web Services/Web Hosting,22,34,2019-08-15
Business Services/Payment Processing & Merchant Services,31,65,2019-08-15
Computers & Peripherals/Computer Accessories & Components,75,117,2019-08-15
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,20,27,2019-08-15
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,30,56,2019-08-15
Computers & Peripherals/Computers,17,27,2019-08-15
Computers & Peripherals/Computers/Desktop Computers,21,28,2019-08-15
Computers & Peripherals/Computers/Laptops & Notebooks,34,60,2019-08-15
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,17,23,2019-08-15
Consumer Electronics/Mobile Phone Accessories,12,19,2019-08-15
Consumer Electronics/Mobile Phones,81,128,2019-08-15
Dating Services,24,48,2019-08-15
Education/Foreign Language Study,29,55,2019-08-15
Education/Post-Secondary Education,35,52,2019-08-15
Education/Post-Secondary Education/Technology Education,45,69,2019-08-15
Education/Primary & Secondary Schools (K-12),34,50,2019-08-15
Education/Test Preparation & Tutoring,23,40,2019-08-15
Employment,64,106,2019-08-15
Employment/Accounting & Finance Jobs,10,11,2019-08-15
Employment/Career Consulting Services,44,77,2019-08-15
Employment/Executive & Management Jobs,10,14,2019-08-15
Employment/IT & Technical Jobs,35,64,2019-08-15
Financial Services/Banking Services,26,43,2019-08-15
Financial Services/Credit & Lending/Credit Cards,16,26,2019-08-15
Financial Services/Investment Services,71,107,2019-08-15
Gifts & Occasions/Holiday Items & Decorations,16,24,2019-08-15
Real Estate/Residential Properties,32,54,2019-08-15
Software/Antivirus & Security Software,31,49,2019-08-15
Software/Audio & Music Software,13,19,2019-08-15
Software/Business & Productivity Software,72,120,2019-08-15
Software/Design Software/Drawing & Animation Software,39,60,2019-08-15
Software/Design Software/Photo Software,24,32,2019-08-15
Software/Tax & Accounting Software,11,16,2019-08-15
Software/Video Software,23,35,2019-08-15
Telecom/Internet Service Providers,14,20,2019-08-15
Telecom/Mobile Phone Service Providers,18,35,2019-08-15
Travel/Air Travel,31,63,2019-08-15
Travel/Bus & Rail Travel,24,36,2019-08-15
Travel/Hotels & Accommodations,46,79,2019-08-15
Travel/Trips by Destination/Trips to Asia-Pacific,58,102,2019-08-15
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,37,51,2019-08-15
Apparel & Accessories,21,24,2019-08-16
Apparel & Accessories/Women's Apparel,11,15,2019-08-16
Autos & Vehicles/Motor Vehicles,31,43,2019-08-16
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Honda,16,21,2019-08-16
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,11,14,2019-08-16
Beauty Products & Services/Hair Care Products,14,18,2019-08-16
Beauty Products & Services/Makeup & Cosmetics,11,13,2019-08-16
Business Services,24,45,2019-08-16
Business Services/Advertising & Marketing Services,62,81,2019-08-16
Business Services/Business Technology,14,25,2019-08-16
Business Services/Business Technology/Enterprise Software,58,86,2019-08-16
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,13,16,2019-08-16
Business Services/Business Technology/Network Systems & Services,22,25,2019-08-16
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,16,26,2019-08-16
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,15,24,2019-08-16
Business Services/Business Technology/Network Systems & Services/Network Equipment & Virtualization,11,17,2019-08-16
Business Services/Business Technology/Web Services/Web Design & Development,36,52,2019-08-16
Business Services/Business Technology/Web Services/Web Hosting,14,24,2019-08-16
Business Services/Payment Processing & Merchant Services,21,29,2019-08-16
Computers & Peripherals/Computer Accessories & Components,53,72,2019-08-16
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,16,25,2019-08-16
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,26,41,2019-08-16
Computers & Peripherals/Computers,13,16,2019-08-16
Computers & Peripherals/Computers/Desktop Computers,11,13,2019-08-16
Computers & Peripherals/Computers/Laptops & Notebooks,22,28,2019-08-16
Consumer Electronics/Mobile Phones,68,94,2019-08-16
Dating Services,28,36,2019-08-16
Education/Foreign Language Study,29,39,2019-08-16
Education/Post-Secondary Education,30,43,2019-08-16
Education/Post-Secondary Education/Technology Education,40,61,2019-08-16
Education/Primary & Secondary Schools (K-12),32,48,2019-08-16
Education/Test Preparation & Tutoring,22,34,2019-08-16
Employment,55,83,2019-08-16
Employment/Career Consulting Services,40,64,2019-08-16
Employment/IT & Technical Jobs,31,44,2019-08-16
Financial Services/Banking Services,26,36,2019-08-16
Financial Services/Credit & Lending,11,16,2019-08-16
Financial Services/Credit & Lending/Credit Cards,10,10,2019-08-16
Financial Services/Financial Planning,11,13,2019-08-16
Financial Services/Investment Services,68,95,2019-08-16
Gifts & Occasions/Holiday Items & Decorations,20,31,2019-08-16
Gifts & Occasions/Wedding Planning,14,17,2019-08-16
Real Estate/Residential Properties,34,44,2019-08-16
Software/Antivirus & Security Software,25,38,2019-08-16
Software/Business & Productivity Software,61,82,2019-08-16
Software/Design Software/Drawing & Animation Software,30,40,2019-08-16
Software/Design Software/Photo Software,18,29,2019-08-16
Software/Video Software,15,25,2019-08-16
Telecom/Internet Service Providers,11,14,2019-08-16
Telecom/Mobile Phone Service Providers,10,14,2019-08-16
Travel/Air Travel,26,33,2019-08-16
Travel/Bus & Rail Travel,16,16,2019-08-16
Travel/Hotels & Accommodations,40,53,2019-08-16
Travel/Trips by Destination/Trips to Asia-Pacific,54,74,2019-08-16
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan,10,14,2019-08-16
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,21,28,2019-08-16
Travel/Vacation Packages,11,16,2019-08-16
Apparel & Accessories,13,23,2019-08-17
Autos & Vehicles/Motor Vehicles,32,53,2019-08-17
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Honda,20,36,2019-08-17
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,14,22,2019-08-17
Beauty Products & Services/Hair Care Products,12,16,2019-08-17
Business Services,18,36,2019-08-17
Business Services/Advertising & Marketing Services,35,74,2019-08-17
Business Services/Business Technology,11,17,2019-08-17
Business Services/Business Technology/Enterprise Software,43,79,2019-08-17
Business Services/Business Technology/Network Systems & Services,15,27,2019-08-17
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,11,23,2019-08-17
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,12,22,2019-08-17
Business Services/Business Technology/Web Services/Web Design & Development,27,42,2019-08-17
Business Services/Business Technology/Web Services/Web Hosting,13,23,2019-08-17
Business Services/Payment Processing & Merchant Services,19,34,2019-08-17
Computers & Peripherals/Computer Accessories & Components,51,96,2019-08-17
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,10,21,2019-08-17
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,24,49,2019-08-17
Computers & Peripherals/Computers/Desktop Computers,15,32,2019-08-17
Computers & Peripherals/Computers/Laptops & Notebooks,24,57,2019-08-17
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,15,25,2019-08-17
Consumer Electronics/Game Consoles/Sony PlayStation,10,26,2019-08-17
Consumer Electronics/Mobile Phone Accessories,11,14,2019-08-17
Consumer Electronics/Mobile Phones,57,100,2019-08-17
Dating Services,20,42,2019-08-17
Education/Foreign Language Study,25,43,2019-08-17
Education/Post-Secondary Education,41,62,2019-08-17
Education/Post-Secondary Education/Technology Education,36,56,2019-08-17
