interestInMarketCategory,vistornum,sessionnum,logdate
Apparel & Accessories,15,35,2019-07-07
Apparel & Accessories/Women's Apparel,11,20,2019-07-07
Autos & Vehicles/Motor Vehicles,16,39,2019-07-07
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,11,29,2019-07-07
Beauty Products & Services/Makeup & Cosmetics,12,28,2019-07-07
Business Services/Advertising & Marketing Services,58,134,2019-07-07
Business Services/Business Financial Services,11,24,2019-07-07
Business Services/Business Technology,15,35,2019-07-07
Business Services/Business Technology/Enterprise Software,49,121,2019-07-07
Business Services/Business Technology/Network Systems & Services,13,25,2019-07-07
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,13,36,2019-07-07
Business Services/Business Technology/Web Services/Web Design & Development,25,51,2019-07-07
Computers & Peripherals/Computer Accessories & Components,32,64,2019-07-07
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,15,28,2019-07-07
Computers & Peripherals/Computers/Laptops & Notebooks,16,29,2019-07-07
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,14,21,2019-07-07
Consumer Electronics/Mobile Phones,61,135,2019-07-07
Dating Services,30,77,2019-07-07
Education/Foreign Language Study,20,48,2019-07-07
Education/Post-Secondary Education,31,69,2019-07-07
Education/Post-Secondary Education/Technology Education,28,74,2019-07-07
Education/Primary & Secondary Schools (K-12),23,67,2019-07-07
Education/Test Preparation & Tutoring,12,31,2019-07-07
Employment,35,89,2019-07-07
Employment/Career Consulting Services,16,33,2019-07-07
Employment/IT & Technical Jobs,21,56,2019-07-07
Financial Services/Banking Services,10,29,2019-07-07
Financial Services/Investment Services,41,98,2019-07-07
Gifts & Occasions/Holiday & Seasonal Items,12,30,2019-07-07
Real Estate/Residential Properties,24,62,2019-07-07
Software/Antivirus & Security Software,20,51,2019-07-07
Software/Business & Productivity Software,57,142,2019-07-07
Software/Design Software/Drawing & Animation Software,21,47,2019-07-07
Software/Design Software/Photo Software,17,34,2019-07-07
Travel/Air Travel,30,66,2019-07-07
Travel/Bus & Rail Travel,17,36,2019-07-07
Travel/Hotels & Accommodations,25,53,2019-07-07
Travel/Trips by Destination/Trips to Asia-Pacific,42,97,2019-07-07
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,19,42,2019-07-07
Apparel & Accessories,21,35,2019-07-08
Apparel & Accessories/Jewelry & Watches/Watches,11,15,2019-07-08
Apparel & Accessories/Women's Apparel,11,16,2019-07-08
Autos & Vehicles/Auto Repair & Maintenance,14,20,2019-07-08
Autos & Vehicles/Motor Vehicles,28,49,2019-07-08
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,20,32,2019-07-08
Beauty Products & Services/Makeup & Cosmetics,11,21,2019-07-08
Business Services,22,36,2019-07-08
Business Services/Advertising & Marketing Services,94,173,2019-07-08
Business Services/Business Financial Services,20,39,2019-07-08
Business Services/Business Technology,18,29,2019-07-08
Business Services/Business Technology/Enterprise Software,76,158,2019-07-08
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,17,30,2019-07-08
Business Services/Business Technology/Network Systems & Services,22,44,2019-07-08
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,21,41,2019-07-08
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,22,40,2019-07-08
Business Services/Business Technology/Web Services/Web Design & Development,46,85,2019-07-08
Business Services/Business Technology/Web Services/Web Hosting,13,20,2019-07-08
Business Services/Payment Processing & Merchant Services,19,36,2019-07-08
Computers & Peripherals/Computer Accessories & Components,52,87,2019-07-08
